drug_name,drugbank_id,atc_code,atc_level_3,atc_level_4,is_cardiovascular,degree_centrality,weighted_degree,betweenness_centrality,pri_score,contraindicated_count,major_count,moderate_count,minor_count
cyclopenthiazide,DB13532,"['G01AE10', 'C03AB07', 'C03EA07', 'C03AA07']",['G0,['G01,True,0.38302805471829354,0.6509171520472921,0.07791523054788663,0.5332344547980115,1139,512,0,1
guanfacine,DB01018,['C02AC02'],['C0,['C02,True,0.41015534430790634,0.6661740415543771,0.0675207067974684,0.5324864844194594,985,782,0,2
nilvadipine,DB06712,['C08CA10'],['C0,['C08,True,0.4164154880593554,0.6514387551073633,0.09250927229958987,0.5266537227174335,809,985,0,2
timolol,DB00373,"['C07AA06', 'S01ED51', 'C07BA06', 'C07DA06', 'S01ED01']",['C0,['C07,True,0.44238349176907027,0.6745631574371903,0.04399439513154821,0.5251048941682878,727,1178,0,3
alprenolol,DB00866,['C07AA01'],['C0,['C07,True,0.38952005564572223,0.645614187603234,0.057111208256090784,0.5235132975579047,1039,637,0,4
diltiazem,DB00343,"['C08DB01', 'C05AE03']",['C0,['C08,True,0.4358914908416415,0.6686516560897158,0.0439180517378855,0.5229131500976681,743,1136,0,1
ibuprofen,DB01050,"['C01EB16', 'R02AX02', 'N02AJ19', 'M01AE51', 'G02CC01', 'M01AE01', 'M02AA13', 'N02AJ08', 'N02AJ23']",['C0,['C01,True,0.3899837699976814,0.6434843084412762,0.05719245489390698,0.5220153978298474,1010,672,0,0
indapamide,DB00808,"['C03BA11', 'C09BX01', 'G01AE10', 'C10BX13', 'C09BX06']",['C0,['C03,True,0.42267563181080453,0.6657828392593237,0.03218211803042639,0.5218922952400393,854,968,0,1
phenprocoumon,DB00946,['B01AA04'],['B0,['B01,True,0.38696962670994667,0.6159262801008433,0.12923943778269528,0.5196210242798569,832,835,1,1
carvedilol,DB01136,"['C07AG02', 'C07FX06']",['C0,['C07,True,0.40737305819615116,0.6270538120490307,0.11860686209428664,0.5189454362456664,715,1039,0,3
labetalol,DB00598,"['C07BG01', 'C07CG01', 'C07AG01']",['C0,['C07,True,0.4324136332019476,0.6535251673476484,0.0600309158222233,0.5177086966290116,666,1196,0,3
fluocinolone acetonide,DB00591,"['S01CA10', 'D07BC02', 'S02BA08', 'C05AA10', 'S01BA15', 'D07AC04', 'S02CA05', 'D07CC02']",['S0,['S01,True,0.3565963366566195,0.5704598800312962,0.22032992919351657,0.517682032711857,786,752,0,0
cyclothiazide,DB00606,"['G01AE10', 'C03AB09', 'C03AA09']",['G0,['G01,True,0.3545096220728032,0.6111449187168565,0.06707796368172503,0.5152752900893542,1121,407,0,1
methyclothiazide,DB00232,"['C03AA08', 'C03AB08', 'G01AE10']",['C0,['C03,True,0.34755390679341525,0.6052768842910545,0.07105648163772048,0.5149209970857292,1146,352,0,1
triamcinolone,DB00620,"['D07AB09', 'R01AD11', 'R03BA06', 'D07BB03', 'A01AC01', 'H02AB08', 'D07CB01', 'S01BA05', 'D07XB02', 'S02CA04', 'C05AA12']",['D0,['D07,True,0.32204961743565963,0.5427279840041728,0.2313796626518912,0.5143367536888171,921,468,0,0
buthiazide,DB15861,['C03EA14'],['C0,['C03,True,0.34917690702527243,0.6029731374424063,0.06402850180619357,0.5112707528124301,1112,393,0,1
ketanserin,DB12465,['C02KD01'],['C0,['C02,True,0.3181080454440065,0.5696340085195166,0.10443885415779017,0.5100987165268402,1173,196,0,3
torasemide,DB00214,"['C03CA04', 'G01AE10']",['C0,['C03,True,0.3827961975423139,0.6305311657828393,0.027809941263907883,0.5100751420673366,985,665,0,1
indobufen,DB12545,['B01AC10'],['B0,['B01,True,0.3501043357291908,0.5953229592280275,0.05406349968196817,0.5036906385245168,1042,468,0,0
carbaspirin calcium,DB13612,"['N02BA15', 'B01AC08']",['N0,['N02,True,0.34709019244145606,0.5943666869512301,0.045967184515891164,0.502632704525765,1065,432,0,0
clevidipine,DB04920,['C08CA16'],['C0,['C08,True,0.40945977277996753,0.629009823524298,0.03221610168042163,0.5023667164773804,705,1060,0,1
cicletanine,DB12766,['C03BX03'],['C0,['C03,True,0.33387433341061906,0.5917586716508737,0.017235920462360516,0.5007975356070556,1182,256,0,2
pargyline,DB01626,"['C02LL01', 'C02KC01']",['C0,['C02,True,0.31393461627637376,0.5593323480831087,0.07932613875638723,0.4997409052999564,1132,221,0,1
celiprolol,DB04846,['C07AB08'],['C0,['C07,True,0.36216090888012986,0.596931235329914,0.04867748247486194,0.49915342978132865,939,620,0,3
furosemide,DB00695,"['C03EB01', 'C03CA01', 'G01AE10', 'C03CB01']",['C0,['C03,True,0.3584511940644563,0.5775884551856038,0.08859302041759011,0.49548504135453697,826,718,0,2
fluindione,DB13136,['B01AA12'],['B0,['B01,True,0.34222119174588456,0.5654177171172737,0.09612403682223558,0.49473062368813286,894,581,0,1
dicoumarol,DB00266,['B01AA01'],['B0,['B01,True,0.3429167632738233,0.5656785186473094,0.0963410838467965,0.49468067920634873,889,589,0,1
digoxin,DB00390,['C01AA05'],['C0,['C01,True,0.39462091351727335,0.5987133791184909,0.06758580802410433,0.49410720277961595,622,1079,0,1
mibefradil,DB01388,['C08CX01'],['C0,['C08,True,0.3876651982378855,0.6088846387898809,0.0225595644803016,0.4935433648580462,772,898,0,2
betamethasone,DB00443,"['R01AD06', 'D07BC01', 'S01BA06', 'S01BB04', 'S01CB04', 'H02AB01', 'C05AA05', 'S03CA06', 'D07XC01', 'D07AC01', 'A07EA04', 'S02BA07', 'R03BA04', 'S03BA03', 'S01CA05', 'D07CC01']",['R0,['R01,True,0.31949918849988407,0.5294705728940277,0.16861343266403805,0.4934292215637228,845,533,0,0
metoprolol,DB00264,"['C07FB02', 'C07FX05', 'C07FX03', 'C07FB13', 'C07AB02', 'C07BB52', 'C07CB02', 'C07BB02']",['C0,['C07,True,0.3978669139809877,0.6057115535077806,0.043031929980898415,0.4928023148094951,643,1072,0,1
nisoldipine,DB00401,['C08CA07'],['C0,['C08,True,0.391374913053559,0.6069720942362862,0.023062545290154526,0.49136066180083726,720,966,0,2
chlorthalidone,DB00310,"['G01AE10', 'C03EA06', 'C03BB04', 'C03BA04']",['G0,['G01,True,0.33596104799443544,0.5787185951490915,0.019891663894759205,0.49129431824982434,1059,389,0,1
mecamylamine,DB00657,['C02BB01'],['C0,['C02,True,0.34778576396939487,0.5480744153699035,0.14479233186762555,0.4904772319768449,709,788,0,3
dronedarone,DB04855,['C01BD07'],['C0,['C01,True,0.39740319962902854,0.588411718682083,0.07512676294390822,0.48834715934920503,513,1201,0,0
pentoxifylline,DB00806,"['C04AD03', 'R03DA20']",['C0,['C04,True,0.3596104799443543,0.5632009041119708,0.09607462366888639,0.48692694554726756,700,851,0,0
felodipine,DB01023,"['C07FB02', 'C08CA02', 'C09BB05']",['C0,['C07,True,0.37352191050313005,0.5912370685908024,0.022830825333562975,0.48639783775763157,779,830,0,2
nadolol,DB01203,"['C07BA12', 'C07AA12']",['C0,['C07,True,0.39462091351727335,0.5954533599930453,0.03693124954620601,0.4858966402230184,601,1098,0,3
epoprostenol,DB01240,['B01AC09'],['B0,['B01,True,0.3489450498492928,0.5580718073546032,0.08461752192453878,0.48485373430278134,770,734,0,1
talinolol,DB11770,['C07AB13'],['C0,['C07,True,0.3695803385114769,0.5821524819612275,0.033853751080889054,0.4838649044010476,752,838,1,3
bisoprolol,DB00612,"['C07FX04', 'C07BB07', 'C07AB07', 'C09BX05', 'C09BX02', 'C09BX04', 'C09BX06', 'C07FB07']",['C0,['C07,True,0.40830048690006954,0.5985395114318004,0.03365805759171906,0.48385410626404274,487,1271,0,3
betaxolol,DB00195,"['S01ED02', 'C07AB05', 'S01ED52']",['S0,['S01,True,0.36308833758404824,0.5716769538381292,0.055249898291637366,0.4832868360295331,734,830,0,2
ethyl biscoumacetate,DB08794,['B01AA08'],['B0,['B01,True,0.31602133086019013,0.5346866034947405,0.08237544870906251,0.4815100278633159,922,440,0,1
propafenone,DB01182,['C01BC03'],['C0,['C01,True,0.37699976814282404,0.5736329653133965,0.06011244454081216,0.481268224596928,607,1018,0,1
eplerenone,DB00700,['C03DA04'],['C0,['C03,True,0.3454671922095989,0.5699382769712249,0.017816064249158447,0.4809114939935989,898,590,0,2
metolazone,DB00524,"['C03EA12', 'G01AE10', 'C03BA08']",['C0,['C03,True,0.36076976582425224,0.5767191167521516,0.021377699980646293,0.4806585236757812,796,758,0,2
diphenadione,DB13347,['B01AA10'],['B0,['B01,True,0.3157894736842105,0.5328175258628184,0.08230301419159433,0.480253229018217,910,451,0,1
nitrendipine,DB01054,"['C08CA08', 'C09BB06']",['C0,['C08,True,0.3438441919777417,0.5654611840389464,0.01947521480218717,0.47879653652394044,880,601,0,2
spironolactone,DB00421,['C03DA01'],['C0,['C03,True,0.30118247159749595,0.5371207511084065,0.01901726305828234,0.47805284780660084,1092,205,0,2
prednisolone,DB00860,"['D07AA03', 'S01CA02', 'D07XA02', 'A01AC54', 'R01AD02', 'S01BB02', 'S01CB02', 'R01AD52', 'V03AB05', 'S03BA02', 'D07BA01', 'D07CA03', 'S01BA04', 'S02BA03', 'A01AC04', 'A07EA01', 'H02AB06', 'S02CA01', 'C05AA04', 'S03CA02']",['D0,['D07,True,0.27451889635984233,0.46705207337216376,0.21069719346845225,0.47776400776827316,819,365,0,0
caplacizumab,DB06081,['B01AX07'],['B0,['B01,True,0.1822397403199629,0.335912370685908,0.4245615239520409,0.4770474777937286,742,44,0,0
conivaptan,DB00872,['C03XA02'],['C0,['C03,True,0.3776953396707628,0.5723289576632183,0.03549827363324145,0.4752940001477244,590,1038,0,1
bepridil,DB01244,['C08EA02'],['C0,['C08,True,0.3364247623463946,0.5548117882291577,0.018924498186447456,0.47425192510752173,873,576,0,2
procainamide,DB01035,['C01BA02'],['C0,['C01,True,0.36216090888012986,0.5561157958793358,0.05976982003914249,0.4740984562400612,620,942,0,0
acebutolol,DB01193,"['C07AB04', 'C07BB04']",['C0,['C07,True,0.3454671922095989,0.5525949752238547,0.04132883273216969,0.47371642629350685,767,720,0,3
phenindione,DB00498,['B01AA02'],['B0,['B01,True,0.30002318571759795,0.5143440841519603,0.07514424890708926,0.47295069989535443,927,366,0,1
tioclomarol,DB13451,['B01AA11'],['B0,['B01,True,0.30002318571759795,0.5142136833869425,0.07514424890708926,0.4728536198513205,927,365,1,1
clorindione,DB13275,['B01AA09'],['B0,['B01,True,0.30002318571759795,0.5138224810918891,0.07514424890708926,0.4725623797192187,923,370,0,1
bupranolol,DB08808,['C07AA19'],['C0,['C07,True,0.339670762810109,0.5499434930018257,0.026269782615935242,0.47105913198633026,805,657,0,3
sotalol,DB00489,"['C07AA07', 'C07BA07', 'C07FX02']",['C0,['C07,True,0.32946904706700675,0.5411197079022864,0.025181169110178647,0.46875770493343527,836,584,0,1
ifenprodil,DB08954,['C04AX28'],['C0,['C04,True,0.2782286111755159,0.49421889941754327,0.06696663355062651,0.46809114932926726,992,207,0,1
bumetanide,DB00887,"['G01AE10', 'C03CB02', 'C03EB02', 'C03CA02']",['G0,['G01,True,0.3190354741479249,0.5300356428757715,0.031748714281384136,0.46666726937226854,856,519,0,1
benidipine,DB09231,['C08CA15'],['C0,['C08,True,0.34755390679341525,0.5495957576284447,0.019384155473426926,0.4665179510255353,717,782,0,0
mebutizide,DB13430,"['C03AA13', 'C03EA05']",['C0,['C03,True,0.2749826107118015,0.49113274797878814,0.05325548442933904,0.4649111102137784,999,187,0,0
phenol,DB03255,"['C05BB05', 'R02AA19', 'N01BX03', 'D08AE03']",['C0,['C05,True,0.24460932065847438,0.45844562288098756,0.07967572577785254,0.464550072137092,1054,1,0,0
lacidipine,DB09236,['C08CA09'],['C0,['C08,True,0.3048921864131695,0.5222985308180474,0.012655817749837619,0.4638848340374574,941,372,0,2
esmolol,DB00187,['C07AB09'],['C0,['C07,True,0.32715047530721075,0.5290793705989741,0.02538638887956811,0.4612513583848182,769,640,0,2
nimodipine,DB00393,['C08CA06'],['C0,['C08,True,0.3048921864131695,0.5183865078675128,0.012655817749837619,0.4610002005363274,911,402,0,2
moricizine,DB00680,['C01BG01'],['C0,['C01,True,0.2633897519128217,0.4832217682343736,0.02430379802988502,0.4603270167868889,1057,78,0,1
rivaroxaban,DB06228,"['B01AF51', 'B01AF01']",['B0,['B01,True,0.34917690702527243,0.5238198730765887,0.07803777185409029,0.4600975438469256,503,1003,0,0
vincamine,DB13374,['C04AX07'],['C0,['C04,True,0.16856016693716672,0.2768842910545075,0.5774846746617008,0.4597531580682661,431,294,0,2
ibopamine,DB13316,"['S01FB03', 'C01CA16']",['S0,['S01,True,0.28889404127057733,0.49491437016430495,0.04057996483649585,0.4572648576729188,888,358,0,0
fluocinonide,DB01047,"['C05AA11', 'D07AC08', 'D07CC05']",['C0,['C05,True,0.27312775330396477,0.46027123359123706,0.12747487306958716,0.4565823916760233,781,397,0,0
nitroprusside,DB00325,['C02DD01'],['C0,['C02,True,0.29167632738233246,0.451099713118317,0.20551610353518418,0.4555922800811198,526,731,0,1
fluocortolone,DB08971,"['D07AC05', 'D07CC06', 'D07BC03', 'S01CA04', 'D07XC05', 'H02AB03', 'C05AA08']",['D0,['D07,True,0.27127289589612796,0.4580978875076067,0.1240731887839222,0.45525453567540614,783,387,0,0
tolvaptan,DB06212,['C03XA01'],['C0,['C03,True,0.31671690238812894,0.5135616795618534,0.02287125745508071,0.4540555095071168,751,615,0,0
nylidrin,DB06152,"['C04AA02', 'G02CA02']",['C0,['C04,True,0.28193832599118945,0.490480744153699,0.021386694271528908,0.45389627517716025,924,292,0,0
lercanidipine,DB00528,"['C09DB08', 'C09BB02', 'C08CA13']",['C0,['C09,True,0.310920472988639,0.5105189950447709,0.017329559371856196,0.4533114601785864,790,549,0,2
urapidil,DB12661,['C02CA06'],['C0,['C02,True,0.2742870391838627,0.48343910284273667,0.019579752799442195,0.4525574800928679,951,230,0,2
nebivolol,DB04861,"['C07FB12', 'C09DX05', 'C09BX07', 'C10BX22', 'C07BB12', 'C07AB12']",['C0,['C07,True,0.3313239044748435,0.5183865078675128,0.022957863627126235,0.4515809084822066,647,779,0,3
amiloride,DB00594,['C03DB01'],['C0,['C03,True,0.2497101785300255,0.46161870816308787,0.0130994917289261,0.4500511612768001,1029,47,0,1
etacrynic acid,DB00903,['C03CC01'],['C0,['C03,True,0.2993276141896592,0.49556637398939407,0.02516172869170934,0.44931262778776465,791,498,1,1
triamterene,DB00384,['C03DB02'],['C0,['C03,True,0.31671690238812894,0.502216813005303,0.036400202310595174,0.4485811181598637,666,699,0,1
treprostinil,DB00374,['B01AC21'],['B0,['B01,True,0.3009506144215163,0.4928714248456924,0.03467759475758911,0.4484282825992025,753,544,0,1
epinephrine,DB00668,"['A01AD01', 'R03AK01', 'B02BC09', 'C01CA24', 'S01EA01', 'R01AA14', 'R03AA01', 'S01EA51']",['A0,['A01,True,0.3014143287734755,0.4857863166130575,0.053900397891980575,0.4467926336787591,694,605,0,1
xipamide,DB13803,['C03BA10'],['C0,['C03,True,0.282170183167169,0.48400417282448055,0.01082469326857601,0.44664743801840623,876,339,0,2
prasugrel,DB06209,['B01AC22'],['B0,['B01,True,0.3197310456758637,0.4935234286707815,0.06145908194950457,0.44611916986187794,567,812,0,0
dobutamine,DB00841,['C01CA07'],['C0,['C01,True,0.3090656155808022,0.4950447709293228,0.03286178858194234,0.4459493421777077,688,644,0,1
manidipine,DB09238,"['C08CA11', 'C09BB12']",['C0,['C08,True,0.32784604683514956,0.5092584543162654,0.011150735109710659,0.4441120521684663,608,805,0,1
methyldopa,DB00968,['C02AB01'],['C0,['C02,True,0.3051240435891491,0.46561766495696777,0.11977975409762616,0.4434177019333861,504,810,0,2
quinethazone,DB01325,"['G01AE10', 'C03BA02', 'C03BB02']",['G0,['G01,True,0.2559703222814746,0.4582282882726245,0.011247546838082446,0.442433402506729,938,166,0,0
ticlopidine,DB00208,['B01AC05'],['B0,['B01,True,0.34083004869000694,0.49930452925323826,0.0552815998501142,0.44141233377563893,399,1071,0,0
epitizide,DB13989,['C03EA03'],['C0,['C03,True,0.25481103640157665,0.4560549421889942,0.010838275600256797,0.4413584164403831,933,166,0,0
finerenone,DB16165,['C03DA05'],['C0,['C03,True,0.28564804080686296,0.47722333304355385,0.01502162259080492,0.4403714839835922,785,447,0,0
ranolazine,DB00243,['C01EB18'],['C0,['C01,True,0.36076976582425224,0.5100843258280449,0.04030696787378921,0.4398234772522421,281,1275,0,0
doxazosin,DB00590,"['C02CA04', 'G04CA55']",['C0,['C02,True,0.3201947600278229,0.4925671563939842,0.03343742115273838,0.439647523183215,559,820,0,2
barnidipine,DB09227,['C08CA12'],['C0,['C08,True,0.3364247623463946,0.5049986959923498,0.017889559409851482,0.43935600623526083,491,958,0,2
lisinopril,DB00722,"['C09BA03', 'C10BX07', 'C09AA03', 'C09BB03']",['C0,['C09,True,0.30558775794110826,0.48513431278796837,0.026946424997936518,0.4390298567127571,651,664,0,3
dopamine,DB00988,['C01CA04'],['C0,['C01,True,0.30234175747739395,0.48035295140398154,0.035094190487654206,0.43857749417641734,641,663,0,0
droxidopa,DB06262,['C01CA27'],['C0,['C01,True,0.31277533039647576,0.4884377988350865,0.02543812717736161,0.43805964720327883,600,748,0,1
moexipril,DB00691,"['C09AA13', 'C09BA13']",['C0,['C09,True,0.2599118942731278,0.4512735808050074,0.026884566367797673,0.4372713054187585,851,267,0,3
fosinopril,DB00492,"['C09BA09', 'C09AA09']",['C0,['C09,True,0.30558775794110826,0.4818742936625228,0.025841240094980178,0.43640820397935776,626,689,0,3
muzolimine,DB13801,['C03CD01'],['C0,['C03,True,0.2659401808485973,0.4578805528992437,0.008860410136928683,0.4352202469018103,839,306,0,2
dipyridamole,DB00975,['B01AC07'],['B0,['B01,True,0.2543473220496174,0.43288707293749457,0.07336497401672636,0.43508583780775456,760,337,0,0
amlodipine,DB00381,"['C09BB13', 'C09BB04', 'C10BX18', 'C07FB12', 'C09DB05', 'C09XA53', 'C10BX03', 'C09BX04', 'C09DB07', 'C09DX06', 'C09BX01', 'C10BX11', 'C09DB02', 'C10BX09', 'C09DX01', 'C10BX19', 'C09DB01', 'C09XA54', 'C10BX07', 'C09BB03', 'C07FB07', 'C09DB06', 'C07FB13', 'C09DX08', 'C08CA01', 'C09BX06', 'C09BX03', 'C09DB04', 'C09DX03', 'C08GA02', 'C08CA51', 'C09DB09', 'C10BX14', 'C09BB07', 'C09DX07']",['C0,['C09,True,0.3185717597959657,0.4895244718769017,0.013789413672566418,0.4341708280020337,552,820,0,2
dabigatran etexilate,DB06695,['B01AE07'],['B0,['B01,True,0.31439833062833294,0.4703555594192819,0.07234671083740055,0.4336778050397284,443,913,0,0
perindopril,DB00790,"['C09BX01', 'C09BA04', 'C10BX11', 'C10BX13', 'C09AA04', 'C09BX02', 'C10BX12', 'C09BB04', 'C10BX15', 'C10BX21', 'C10BX14', 'C09BX04', 'C09BX06']",['C0,['C09,True,0.3051240435891491,0.4776145353386073,0.025836058733897584,0.43347118506935717,598,715,0,3
edoxaban,DB09075,['B01AF03'],['B0,['B01,True,0.3037329005332715,0.46783447796227073,0.053454985008196544,0.43237532888241703,531,779,0,0
atenolol,DB00335,"['C07CB53', 'C07AB03', 'C07FB03', 'C07DB01', 'C07BB03', 'C07CB03']",['C0,['C07,True,0.31161604451657776,0.4811788229157611,0.020450147953586944,0.4322628661660187,559,782,1,2
tienilic acid,DB04831,['C03CC02'],['C0,['C03,True,0.2926037560862509,0.4718769016778232,0.010755412576157388,0.431920559552027,678,582,0,2
nicorandil,DB09220,['C01DX16'],['C0,['C01,True,0.30605147229306745,0.4800052160306007,0.008533136493610883,0.4313687874538965,603,716,0,1
mephentermine,DB01365,['C01CA11'],['C0,['C01,True,0.23811731973104566,0.3925497696253151,0.16773143418643863,0.4306798855349562,616,410,0,1
perhexiline,DB01074,['C08EX02'],['C0,['C08,True,0.28054718293531183,0.4615317743197427,0.01119139765891982,0.4302147728507909,716,494,0,0
streptokinase,DB00086,"['B01AD01', 'B06AA55']",['B0,['B01,True,0.21354045907720845,0.38833347822307224,0.08550764200363503,0.42949482995942634,831,89,0,1
practolol,DB01297,['C07AB01'],['C0,['C07,True,0.3032691861813123,0.4725723724245849,0.018931793502900116,0.42917353211089826,578,727,0,3
ticagrelor,DB08816,['B01AC24'],['B0,['B01,True,0.28680732668676095,0.45162131617838824,0.058994200818541315,0.428970898540168,577,660,0,0
theobromine,DB01412,"['C03BD01', 'R03DA07', 'R03DA57']",['C0,['C03,True,0.26014375144910734,0.43814657045988004,0.03601221142132537,0.42828128176578933,742,380,0,0
