drug_name,pri_score,degree_component,weighted_component,betweenness_component,severity_component
moexipril,0.437271,0.064978,0.135382,0.005377,0.231534
fosinopril,0.436408,0.076397,0.144562,0.005168,0.210281
muzolimine,0.43522,0.066485,0.137364,0.001772,0.229599
dipyridamole,0.435086,0.063587,0.129866,0.014673,0.22696
amlodipine,0.434171,0.079643,0.146857,0.002758,0.204913
dabigatran etexilate,0.433678,0.0786,0.141107,0.014469,0.199502
perindopril,0.433471,0.076281,0.143284,0.005167,0.208739
edoxaban,0.432375,0.075933,0.14035,0.010691,0.205401
atenolol,0.432263,0.077904,0.144354,0.00409,0.205915
tienilic acid,0.431921,0.073151,0.141563,0.002151,0.215055
nicorandil,0.431369,0.076513,0.144002,0.001707,0.209148
mephentermine,0.43068,0.059529,0.117765,0.033546,0.219839
perhexiline,0.430215,0.070137,0.13846,0.002238,0.21938
streptokinase,0.429495,0.053385,0.1165,0.017102,0.242508
practolol,0.429174,0.075817,0.141772,0.003786,0.207798
ticagrelor,0.428971,0.071702,0.135486,0.011799,0.209984
theobromine,0.428281,0.065036,0.131444,0.007202,0.224599
captopril,0.426955,0.062428,0.124598,0.018133,0.221797
epanolol,0.42636,0.075817,0.139659,0.006181,0.204702
hydrocortisone,0.425156,0.071876,0.135095,0.009314,0.208871
esatenolol,0.424975,0.07431,0.139046,0.003681,0.207937
gepefrine,0.424929,0.059008,0.116552,0.02987,0.219499
apixaban,0.422779,0.073731,0.134339,0.012233,0.202476
clopidogrel,0.420391,0.070658,0.129853,0.015655,0.204225
canrenoic acid,0.420008,0.052632,0.117778,0.00092,0.248678
canrenone,0.420008,0.052632,0.117778,0.00092,0.248678
heparin,0.419785,0.052226,0.11354,0.012426,0.241593
bevantolol,0.419605,0.07431,0.136895,0.003681,0.204719
piretanide,0.419357,0.056689,0.122055,0.001349,0.239264
cloranolol,0.419117,0.07431,0.136699,0.003681,0.204427
fendiline,0.418976,0.05779,0.123203,0.001073,0.236911
lidoflazine,0.418748,0.05779,0.123124,0.001073,0.23676
prenylamine,0.418633,0.05779,0.123085,0.001073,0.236685
levamlodipine,0.418247,0.072687,0.135434,0.003068,0.207057
bencyclane,0.417261,0.05779,0.122616,0.001073,0.235782
gallopamil,0.416575,0.05779,0.122381,0.001073,0.235331
landiolol,0.415881,0.062312,0.120073,0.019356,0.21414
fluorometholone,0.41559,0.049559,0.107502,0.017476,0.241053
digitoxin,0.415409,0.068108,0.129397,0.006777,0.211128
trimethaphan,0.413705,0.061384,0.122838,0.007103,0.22238
antithrombin iii human,0.413312,0.065732,0.126358,0.007598,0.213624
enalapril,0.411435,0.062601,0.122798,0.008049,0.217986
fondaparinux,0.410575,0.065732,0.125341,0.007598,0.211905
bretylium,0.410571,0.058428,0.120921,0.001237,0.229985
vorapaxar,0.410204,0.065326,0.123881,0.010261,0.210736
enoxaparin,0.409541,0.050023,0.109758,0.00593,0.24383
reviparin,0.409415,0.050023,0.109719,0.00593,0.243743
norepinephrine,0.409118,0.05866,0.118704,0.006878,0.224876
dalteparin,0.408659,0.050023,0.109484,0.00593,0.243221
bemiparin,0.408155,0.050023,0.109328,0.00593,0.242874
tinzaparin,0.408029,0.050023,0.109289,0.00593,0.242787
nadroparin,0.408029,0.050023,0.109289,0.00593,0.242787
danaparoid,0.407903,0.050023,0.10925,0.00593,0.2427
parnaparin,0.40765,0.050023,0.109172,0.00593,0.242526
acetyldigoxin,0.406953,0.06092,0.120621,0.005383,0.220029
sulodexide,0.40648,0.050081,0.108872,0.005947,0.24158
cilnidipine,0.405681,0.053327,0.113905,0.001085,0.237364
losartan,0.405058,0.066253,0.125419,0.003018,0.210367
fenoldopam,0.403713,0.069209,0.126554,0.004746,0.203204
fenofibrate,0.403019,0.080281,0.133426,0.004619,0.184693
ephedrine,0.402838,0.056515,0.114857,0.00562,0.225846
riociguat,0.401669,0.06747,0.123581,0.007074,0.203544
theodrenaline,0.400629,0.065268,0.120112,0.010742,0.204507
tadalafil,0.400352,0.07118,0.127819,0.001801,0.199552
phenylephrine,0.400263,0.059008,0.116787,0.004527,0.219941
ibutilide,0.399024,0.064282,0.122159,0.001401,0.211181
valsartan,0.398841,0.066311,0.122929,0.003592,0.20601
diazoxide,0.396357,0.063065,0.117504,0.008734,0.207054
hydralazine,0.396057,0.073325,0.127675,0.001559,0.193498
isoprenaline,0.395355,0.051646,0.10805,0.003167,0.232492
irbesartan,0.39478,0.068282,0.123607,0.001724,0.201167
moxisylyte,0.393765,0.066369,0.121768,0.001741,0.203886
isoxsuprine,0.393453,0.047531,0.103134,0.00166,0.241128
quinapril,0.393233,0.056515,0.112392,0.003326,0.221
tertatolol,0.391995,0.064514,0.119473,0.002213,0.205795
gemfibrozil,0.391941,0.074484,0.125041,0.005859,0.186556
bosentan,0.390144,0.073151,0.124194,0.00413,0.188669
benazepril,0.388958,0.053211,0.107894,0.002526,0.225327
potassium,0.388869,0.049559,0.104412,0.000775,0.234123
prazosin,0.385481,0.050893,0.104164,0.002975,0.227449
eprosartan,0.385404,0.051182,0.104777,0.001953,0.227492
macitentan,0.385312,0.070369,0.121573,0.001382,0.191989
telmisartan,0.38362,0.059587,0.11234,0.002184,0.209509
midodrine,0.382591,0.048052,0.100239,0.002484,0.231815
metyrosine,0.3823,0.064572,0.115457,0.003572,0.198698
buflomedil,0.382072,0.048284,0.100096,0.00332,0.230372
candesartan,0.381576,0.062543,0.114335,0.001546,0.203151
anistreplase,0.381218,0.040807,0.089807,0.006038,0.244567
adenosine,0.380877,0.040459,0.090746,0.000424,0.249248
arbutamine,0.380872,0.045734,0.097527,0.000634,0.236977
linsidomine,0.380392,0.051704,0.103369,0.00315,0.222169
ximelagatran,0.38028,0.050951,0.102143,0.004405,0.222782
reteplase,0.379537,0.040865,0.089429,0.006052,0.243191
tenecteplase,0.379392,0.040865,0.08939,0.006052,0.243085
mepindolol,0.37916,0.062659,0.113344,0.002139,0.201018
cilazapril,0.378773,0.049965,0.101295,0.002223,0.22529
alteplase,0.378736,0.040923,0.089285,0.006071,0.242458
bopindolol,0.378726,0.062659,0.113188,0.002139,0.20074
guanethidine,0.37862,0.066775,0.116578,0.001257,0.19401
saruplase,0.378519,0.040865,0.089155,0.006052,0.242447
temocapril,0.378458,0.055124,0.106172,0.003124,0.214038
trandolapril,0.378143,0.049965,0.1011,0.002223,0.224855
ramipril,0.37742,0.049675,0.100565,0.002208,0.224971
sacubitril,0.377271,0.05924,0.109876,0.00204,0.206115
imidapril,0.37723,0.050023,0.100878,0.002227,0.224102
betrixaban,0.37676,0.049096,0.098948,0.004749,0.223967
tirofiban,0.376684,0.057674,0.107607,0.004066,0.207337
dihydroergocristine,0.376549,0.060399,0.110606,0.002041,0.203503
naftidrofuryl,0.376062,0.039532,0.088151,0.000579,0.247801
beraprost,0.375291,0.047647,0.096979,0.004479,0.226186
meticrane,0.37355,0.04156,0.090133,0.000852,0.241004
mefruside,0.37355,0.04156,0.090133,0.000852,0.241004
clorexolone,0.37355,0.04156,0.090133,0.000852,0.241004
clofenamide,0.37355,0.04156,0.090133,0.000852,0.241004
fenquizone,0.37355,0.04156,0.090133,0.000852,0.241004
clopamide,0.373492,0.041502,0.090042,0.000851,0.241096
etilefrine,0.372541,0.043299,0.091776,0.001924,0.235542
synephrine,0.372541,0.043299,0.091776,0.001924,0.235542
isosorbide mononitrate,0.371677,0.062022,0.107294,0.010119,0.192243
levosimendan,0.371327,0.039706,0.087095,0.000767,0.243759
methoxamine,0.371271,0.043531,0.091672,0.002047,0.234021
zofenopril,0.370498,0.049096,0.097814,0.002189,0.221399
prenalterol,0.370166,0.042836,0.090733,0.001212,0.235386
metaraminol,0.37002,0.043531,0.09132,0.002047,0.233123
spirapril,0.368939,0.049154,0.097396,0.002194,0.220195
lepirudin,0.368133,0.037909,0.082818,0.004632,0.242775
dopexamine,0.367912,0.042256,0.088999,0.002604,0.234053
pentosan polysulfate,0.367691,0.041329,0.08746,0.003734,0.235168
azilsartan medoxomil,0.367502,0.046719,0.094658,0.00097,0.225155
cyclandelate,0.367094,0.044401,0.091985,0.000487,0.230222
delapril,0.36555,0.049038,0.096236,0.002191,0.218085
ambrisentan,0.365491,0.063819,0.109263,0.002151,0.190259
rescinnamine,0.364937,0.04927,0.096288,0.002203,0.217176
defibrotide,0.363988,0.037503,0.081983,0.001573,0.242929
triflusal,0.363315,0.037445,0.081735,0.001565,0.24257
nicergoline,0.363151,0.053095,0.099926,0.000987,0.209143
selexipag,0.362841,0.062022,0.10702,0.002047,0.191752
bivalirudin,0.362441,0.037155,0.081122,0.001535,0.242629
desirudin,0.362441,0.037155,0.081122,0.001535,0.242629
flecainide,0.362424,0.055878,0.100943,0.004852,0.200752
urokinase,0.362138,0.040807,0.084682,0.006038,0.230611
troxerutin,0.361771,0.037097,0.080875,0.001533,0.242266
ancrod,0.361714,0.037213,0.081018,0.001543,0.241939
dermatan sulfate,0.361661,0.037155,0.080927,0.001535,0.242044
ditazole,0.361192,0.037155,0.080809,0.001535,0.241693
cangrelor,0.361142,0.037445,0.081188,0.001565,0.240944
argatroban,0.361036,0.037155,0.08077,0.001535,0.241576
brinase,0.360778,0.037213,0.080783,0.001543,0.241238
drotrecogin alfa,0.360622,0.037213,0.080744,0.001543,0.241121
protein c,0.359594,0.036923,0.080092,0.001527,0.241052
octopamine,0.359517,0.039764,0.084017,0.000933,0.234803
oxyfedrine,0.357853,0.039126,0.082935,0.000237,0.235556
norfenefrine,0.357653,0.039184,0.08287,0.000577,0.235022
trimazosin,0.3576,0.039937,0.083939,0.000161,0.233563
dofetilide,0.357516,0.049965,0.094684,0.00228,0.210586
carteolol,0.357205,0.034721,0.076623,0.000619,0.245242
limaprost,0.357191,0.037213,0.079884,0.001543,0.238551
xamoterol,0.35647,0.038952,0.082348,0.000236,0.234933
sitaxentan,0.355839,0.059471,0.102886,0.00123,0.192251
cibenzoline,0.355227,0.032518,0.07292,0.000591,0.249198
fimasartan,0.353162,0.041502,0.084526,0.000806,0.226327
olmesartan,0.352944,0.047705,0.091554,0.000411,0.213275
phenoxybenzamine,0.352808,0.042894,0.085778,0.001907,0.22223
dihydralazine,0.352561,0.051878,0.094645,0.003301,0.202737
moxonidine,0.352463,0.044806,0.088281,0.000423,0.218952
aliskiren,0.351952,0.048574,0.09218,0.000309,0.210889
metildigoxin,0.351727,0.046661,0.089129,0.00367,0.212267
phentolamine,0.351119,0.040981,0.083509,0.000179,0.22645
debrisoquine,0.349446,0.050835,0.093237,0.001555,0.20382
bethanidine,0.348403,0.044227,0.086351,0.000852,0.216972
rosuvastatin,0.348177,0.059471,0.098779,0.005351,0.184576
indoramin,0.347257,0.040923,0.0824,0.000173,0.223761
colestipol,0.345395,0.020345,0.044441,0.037874,0.242735
rilmenidine,0.34483,0.043995,0.085204,0.000414,0.215217
tolazoline,0.343041,0.040923,0.081266,0.000172,0.22068
simvastatin,0.342443,0.059066,0.09767,0.001948,0.183759
nitroglycerin,0.339897,0.04185,0.081279,0.000944,0.215824
cerivastatin,0.336545,0.05808,0.094984,0.001745,0.181737
encainide,0.336265,0.038662,0.07665,0.000638,0.220315
vernakalant,0.336061,0.038836,0.076806,0.000643,0.219776
tedisamil,0.33464,0.026374,0.059098,0.000158,0.249011
bunaftine,0.33464,0.026374,0.059098,0.000158,0.249011
lorcainide,0.334462,0.026258,0.058876,0.000156,0.249172
ajmaline,0.334449,0.026316,0.058967,0.000157,0.249009
prajmaline,0.334449,0.026316,0.058967,0.000157,0.249009
lorajmine,0.334449,0.026316,0.058967,0.000157,0.249009
iloprost,0.334194,0.030257,0.063062,0.009266,0.231609
fenofibric acid,0.333974,0.049559,0.087277,0.001435,0.195702
mavacamten,0.333022,0.059761,0.094423,0.003256,0.175582
pinacidil,0.332699,0.042082,0.079766,0.000211,0.21064
alirocumab,0.332015,0.021968,0.049344,0.011099,0.249604
evolocumab,0.332015,0.021968,0.049344,0.011099,0.249604
sparsentan,0.330726,0.045154,0.081944,0.001959,0.201669
etripamil,0.330534,0.028866,0.062162,0.000199,0.239307
fasudil,0.329511,0.02875,0.061745,0.000357,0.238659
mersalyl,0.328793,0.049559,0.085869,0.000821,0.192544
fluvastatin,0.326602,0.054197,0.088751,0.001676,0.181979
cholestyramine,0.324521,0.024055,0.053021,0.002505,0.24494
guanazodine,0.322909,0.036633,0.070951,9.5e-05,0.215229
methoserpidine,0.322594,0.036633,0.070873,9.5e-05,0.214992
probucol,0.321887,0.022374,0.050178,0.000112,0.249223
trapidil,0.320672,0.024403,0.053256,0.000495,0.242518
cloricromen,0.320623,0.025214,0.054534,0.00053,0.240345
eptifibatide,0.320445,0.024287,0.053034,0.000463,0.242661
guanoxan,0.320385,0.036633,0.070325,9.5e-05,0.213331
deslanoside,0.320349,0.029446,0.06061,0.001552,0.22874
picotamide,0.320227,0.024287,0.052995,0.000463,0.242482
endralazine,0.320159,0.036691,0.070338,9.6e-05,0.213033
cadralazine,0.319844,0.036691,0.07026,9.6e-05,0.212796
acetyldigitoxin,0.319788,0.029446,0.060493,0.001552,0.228297
deserpidine,0.319578,0.036923,0.070469,9.9e-05,0.212088
guanoclor,0.317071,0.036633,0.069504,9.5e-05,0.210839
guanoxabenz,0.315335,0.036633,0.069073,9.5e-05,0.209533
mexiletine,0.313733,0.044922,0.076689,0.002412,0.18971
remikiren,0.312892,0.036865,0.068734,9.9e-05,0.207193
bietaserpine,0.311233,0.036633,0.068056,9.5e-05,0.206448
colesevelam,0.309018,0.019766,0.04345,0.001521,0.244282
rauwolfia serpentina root,0.308393,0.036633,0.067352,9.5e-05,0.204312
tolonidine,0.307919,0.036633,0.067235,9.5e-05,0.203956
aprocitentan,0.307845,0.039532,0.070351,0.000198,0.197764
atorvastatin,0.307635,0.044343,0.074328,0.002689,0.186275
tasosartan,0.307288,0.025272,0.052239,7.6e-05,0.229702
aloxiprin,0.306794,0.021679,0.046149,0.002403,0.236564
pentaerythritol tetranitrate,0.306304,0.046719,0.076702,0.000439,0.182444
cafedrine,0.305756,0.035358,0.064601,0.002765,0.203033
pentifylline,0.305056,0.035184,0.064248,0.002699,0.202924
ivabradine,0.304599,0.032054,0.060962,0.000235,0.211347
procarbazine,0.303736,0.016926,0.037881,0.000214,0.248716
floctafenine,0.302973,0.018201,0.040046,0.00022,0.244506
clorgiline,0.302344,0.016346,0.036656,0.00014,0.249202
pheniprazine,0.302344,0.016346,0.036656,0.00014,0.249202
pivhydrazine,0.302344,0.016346,0.036656,0.00014,0.249202
safrazine,0.302344,0.016346,0.036656,0.00014,0.249202
harmaline,0.302344,0.016346,0.036656,0.00014,0.249202
nimesulide,0.302198,0.020983,0.044584,0.000512,0.236119
metipranolol,0.301625,0.018549,0.040476,0.0001,0.2425
vericiguat,0.301276,0.018549,0.040437,2.5e-05,0.242266
nialamide,0.301124,0.016346,0.036499,0.00014,0.248138
isocarboxazid,0.300819,0.016346,0.03646,0.00014,0.247872
polidocanol,0.300662,0.002087,0.004694,0.043881,0.25
hydracarbazine,0.300208,0.016346,0.036382,0.00014,0.24734
dexketoprofen,0.300069,0.018896,0.040828,0.000237,0.240107
indoprofen,0.299359,0.018201,0.039538,0.00022,0.241401
phosphocreatine,0.299045,0.04243,0.070808,0.000357,0.185451
flurbiprofen,0.298926,0.01936,0.041441,0.00025,0.237874
ketoprofen,0.298776,0.019186,0.041128,0.000244,0.238218
rasagiline,0.298584,0.018375,0.039733,0.000177,0.2403
cymarin,0.298477,0.024519,0.049331,0.001045,0.223582
linezolid,0.298469,0.017042,0.037399,0.000151,0.243878
octamoxin,0.298378,0.016346,0.036147,0.00014,0.245745
sulfasalazine,0.298194,0.019824,0.042093,0.000312,0.235965
dinutuximab,0.298161,0.014781,0.033252,0.000128,0.25
caroxazone,0.298073,0.016346,0.036108,0.00014,0.245479
toloxatone,0.298037,0.018085,0.039159,0.000168,0.240625
"7,8-dichloro-1,2,3,4-tetrahydroisoquinoline",0.297926,0.015013,0.033656,0.000125,0.249131
diflunisal,0.297284,0.019476,0.041389,0.000258,0.236161
acemetacin,0.297235,0.018722,0.040124,0.000231,0.238158
oxaprozin,0.29719,0.01878,0.040216,0.000231,0.237963
benmoxin,0.297158,0.016346,0.035991,0.00014,0.244681
benoxaprofen,0.297136,0.018201,0.039225,0.00022,0.23949
ibuproxam,0.297136,0.018201,0.039225,0.00022,0.23949
loxoprofen,0.297136,0.018201,0.039225,0.00022,0.23949
meclofenamic acid,0.297106,0.018896,0.040398,0.000234,0.237577
benzydamine,0.296964,0.018722,0.040085,0.000231,0.237926
aceclofenac,0.29692,0.01878,0.040176,0.000231,0.237731
flunoxaprofen,0.296858,0.018201,0.039185,0.00022,0.239252
amrinone,0.296803,0.042662,0.07039,0.000395,0.183356
meloxicam,0.296701,0.01965,0.041585,0.000289,0.235177
alclofenac,0.296693,0.018722,0.040046,0.000231,0.237693
pirlindole,0.296639,0.018085,0.038964,0.000168,0.239423
magnesium salicylate,0.296155,0.018375,0.039381,0.000229,0.23817
fenoprofen,0.295972,0.018259,0.039159,0.00022,0.238333
antrafenine,0.295972,0.018259,0.039159,0.00022,0.238333
droxicam,0.295972,0.018259,0.039159,0.00022,0.238333
obinutuzumab,0.295828,0.014781,0.032978,0.000128,0.247941
naproxen,0.295777,0.01936,0.040972,0.000265,0.23518
etodolac,0.295555,0.019244,0.04075,0.000244,0.235316
balsalazide,0.295539,0.018838,0.040072,0.000244,0.236385
propyphenazone,0.295468,0.018201,0.03899,0.00022,0.238057
guacetisal,0.295269,0.018838,0.040033,0.000244,0.236154
nitroaspirin,0.295199,0.018954,0.040216,0.000249,0.23578
tepoxalin,0.29519,0.018201,0.038951,0.00022,0.237818
flunixin,0.29519,0.018201,0.038951,0.00022,0.237818
mofebutazone,0.29519,0.018201,0.038951,0.00022,0.237818
proquazone,0.29519,0.018201,0.038951,0.00022,0.237818
isosorbide dinitrate,0.295145,0.02307,0.046697,0.000441,0.224937
carprofen,0.29514,0.018259,0.039042,0.00022,0.237619
etofenamate,0.295094,0.018317,0.039133,0.000223,0.237421
zaltoprofen,0.295067,0.018722,0.039811,0.000233,0.2363
oxyphenbutazone,0.294912,0.018201,0.038912,0.00022,0.23758
isoxicam,0.294912,0.018201,0.038912,0.00022,0.23758
firocoxib,0.294912,0.018201,0.038912,0.00022,0.23758
clonixin,0.294912,0.018201,0.038912,0.00022,0.23758
suxibuzone,0.294912,0.018201,0.038912,0.00022,0.23758
difenpiramide,0.294912,0.018201,0.038912,0.00022,0.23758
nifenazone,0.294912,0.018201,0.038912,0.00022,0.23758
proglumetacin,0.294912,0.018201,0.038912,0.00022,0.23758
imidazole salicylate,0.294912,0.018201,0.038912,0.00022,0.23758
icosapent,0.294863,0.018259,0.039003,0.00022,0.237381
tolmetin,0.294863,0.018259,0.039003,0.00022,0.237381
salsalate,0.294863,0.018259,0.039003,0.00022,0.237381
choline magnesium trisalicylate,0.294863,0.018259,0.039003,0.00022,0.237381
tiaprofenic acid,0.294863,0.018259,0.039003,0.00022,0.237381
azapropazone,0.294863,0.018259,0.039003,0.00022,0.237381
cimicoxib,0.294634,0.018201,0.038872,0.00022,0.237341
fenbufen,0.294634,0.018201,0.038872,0.00022,0.237341
epirizole,0.294634,0.018201,0.038872,0.00022,0.237341
morniflumate,0.294634,0.018201,0.038872,0.00022,0.237341
