drug_id,disease_id,relationship_type,source,match_type,match_value
DB02342,MESH:D005355,therapeutic,CTD,cas_number,362-07-2
DB02342,MESH:D006976,therapeutic,CTD,cas_number,362-07-2
DB02342,MESH:D009374,therapeutic,CTD,cas_number,362-07-2
DB02342,MESH:D010190,therapeutic,CTD,cas_number,362-07-2
DB02342,MESH:D011470,therapeutic,CTD,cas_number,362-07-2
DB02342,MESH:D011471,therapeutic,CTD,cas_number,362-07-2
DB05708,MESH:D012640,marker/mechanism,CTD,drug_name,"3-(2,4-dimethoxybenzylidene)anabaseine"
DB03604,MESH:D000014,marker/mechanism,CTD,cas_number,51-24-1
DB03604,MESH:D001927,marker/mechanism,CTD,cas_number,51-24-1
DB03604,MESH:D017880,marker/mechanism,CTD,cas_number,51-24-1
DB03604,MESH:D019767,marker/mechanism,CTD,cas_number,51-24-1
DB03604,MESH:D010859,marker/mechanism,CTD,cas_number,51-24-1
DB12948,MESH:D005910,therapeutic,CTD,cas_number,69839-83-4
DB12948,MESH:D018316,therapeutic,CTD,cas_number,69839-83-4
DB12948,MESH:D015658,therapeutic,CTD,cas_number,69839-83-4
DB12948,MESH:D008527,therapeutic,CTD,cas_number,69839-83-4
DB12771,MESH:D003928,therapeutic,CTD,cas_number,10597-60-1
DB12771,MESH:D064806,marker/mechanism,CTD,cas_number,10597-60-1
DB12771,MESH:D050171,therapeutic,CTD,cas_number,10597-60-1
DB12771,MESH:D006331,therapeutic,CTD,cas_number,10597-60-1
DB12771,MESH:D006943,therapeutic,CTD,cas_number,10597-60-1
DB12771,MESH:D008107,therapeutic,CTD,cas_number,10597-60-1
DB01509,MESH:D019969,marker/mechanism,CTD,cas_number,4764-17-4
DB01509,MESH:D005334,marker/mechanism,CTD,cas_number,4764-17-4
DB06704,MESH:D008545,therapeutic,CTD,drug_name,3-Iodobenzylguanidine
DB06704,MESH:D009447,therapeutic,CTD,drug_name,3-Iodobenzylguanidine
DB06704,MESH:D010235,therapeutic,CTD,drug_name,3-Iodobenzylguanidine
DB06704,MESH:D012878,therapeutic,CTD,drug_name,3-Iodobenzylguanidine
DB12749,MESH:D009410,therapeutic,CTD,cas_number,6066-49-5
DB12749,MESH:D020734,therapeutic,CTD,cas_number,6066-49-5
DB12749,MESH:D020521,therapeutic,CTD,cas_number,6066-49-5
DB13455,MESH:D004827,therapeutic,CTD,cas_number,1078-21-3
DB13455,MESH:D013375,therapeutic,CTD,cas_number,1078-21-3
DB13244,MESH:D006417,therapeutic,CTD,cas_number,56-91-7
DB06637,MESH:D001145,therapeutic,CTD,cas_number,504-24-5
DB06637,MESH:D001259,marker/mechanism,CTD,cas_number,504-24-5
DB06637,MESH:D002375,therapeutic,CTD,cas_number,504-24-5
DB06637,MESH:D004417,marker/mechanism,CTD,cas_number,504-24-5
DB06637,MESH:D004827,marker/mechanism,CTD,cas_number,504-24-5
DB06637,MESH:D006948,therapeutic,CTD,cas_number,504-24-5
DB06637,MESH:D007022,therapeutic,CTD,cas_number,504-24-5
DB06637,MESH:D007035,marker/mechanism,CTD,cas_number,504-24-5
DB06637,MESH:D009103,therapeutic,CTD,cas_number,504-24-5
DB06637,MESH:D009336,marker/mechanism,CTD,cas_number,504-24-5
DB06637,MESH:D019954,marker/mechanism,CTD,cas_number,504-24-5
DB06637,MESH:D012131,marker/mechanism,CTD,cas_number,504-24-5
DB06637,MESH:D012640,marker/mechanism,CTD,cas_number,504-24-5
DB06637,MESH:D012798,marker/mechanism,CTD,cas_number,504-24-5
DB06637,MESH:D014202,marker/mechanism,CTD,cas_number,504-24-5
DB06637,MESH:D014839,marker/mechanism,CTD,cas_number,504-24-5
DB01440,MESH:D003244,marker/mechanism,CTD,cas_number,591-81-1
DB01440,MESH:D006973,marker/mechanism,CTD,cas_number,591-81-1
DB01440,MESH:D012131,marker/mechanism,CTD,cas_number,591-81-1
DB01440,MESH:D013375,therapeutic,CTD,cas_number,591-81-1
DB01440,MESH:C535803,marker/mechanism,CTD,cas_number,591-81-1
DB01440,MESH:D013610,marker/mechanism,CTD,cas_number,591-81-1
DB03410,MESH:D008546,therapeutic,CTD,cas_number,1076-38-6
DB03410,MESH:D009362,therapeutic,CTD,cas_number,1076-38-6
DB01472,MESH:D009422,marker/mechanism,CTD,cas_number,64-13-1
DB06819,MESH:D058186,therapeutic,CTD,cas_number,1821-12-1
DB06819,MESH:D001008,therapeutic,CTD,cas_number,1821-12-1
DB06819,MESH:D001284,marker/mechanism,CTD,cas_number,1821-12-1
DB06819,MESH:D001930,therapeutic,CTD,cas_number,1821-12-1
DB06819,MESH:D056486,therapeutic,CTD,cas_number,1821-12-1
DB06819,MESH:D004719,therapeutic,CTD,cas_number,1821-12-1
DB06819,MESH:D006342,therapeutic,CTD,cas_number,1821-12-1
DB06819,MESH:D006529,therapeutic,CTD,cas_number,1821-12-1
DB06819,MESH:D022124,therapeutic,CTD,cas_number,1821-12-1
DB06819,MESH:D006943,therapeutic,CTD,cas_number,1821-12-1
DB06819,MESH:D007673,therapeutic,CTD,cas_number,1821-12-1
DB06819,MESH:D007674,therapeutic,CTD,cas_number,1821-12-1
DB06819,MESH:D008569,therapeutic,CTD,cas_number,1821-12-1
DB06819,MESH:D009069,therapeutic,CTD,cas_number,1821-12-1
DB06819,MESH:D009203,therapeutic,CTD,cas_number,1821-12-1
DB06819,MESH:D009369,therapeutic,CTD,cas_number,1821-12-1
DB06819,MESH:D009798,therapeutic,CTD,cas_number,1821-12-1
DB06819,MESH:D010300,therapeutic,CTD,cas_number,1821-12-1
DB06819,MESH:D015427,therapeutic,CTD,cas_number,1821-12-1
DB06819,MESH:D013733,marker/mechanism,CTD,cas_number,1821-12-1
DB00116,MESH:D000855,therapeutic,CTD,drug_name,"5,6,7,8-tetrahydrofolic acid"
DB00116,MESH:D018376,therapeutic,CTD,drug_name,"5,6,7,8-tetrahydrofolic acid"
DB00116,MESH:D003967,therapeutic,CTD,drug_name,"5,6,7,8-tetrahydrofolic acid"
DB00116,MESH:D007674,therapeutic,CTD,drug_name,"5,6,7,8-tetrahydrofolic acid"
DB00116,MESH:D007970,therapeutic,CTD,drug_name,"5,6,7,8-tetrahydrofolic acid"
DB02959,MESH:D020879,marker/mechanism,CTD,drug_name,5-Hydroxytryptophan
DB02959,MESH:D020230,marker/mechanism,CTD,drug_name,5-Hydroxytryptophan
DB12216,MESH:D000544,therapeutic,CTD,cas_number,484-20-8
DB12216,MESH:D006332,therapeutic,CTD,cas_number,484-20-8
DB12216,MESH:D003072,therapeutic,CTD,cas_number,484-20-8
DB12216,MESH:D006505,marker/mechanism,CTD,cas_number,484-20-8
DB12216,MESH:D009203,therapeutic,CTD,cas_number,484-20-8
DB12216,MESH:D000090862,therapeutic,CTD,cas_number,484-20-8
DB12216,MESH:D010787,marker/mechanism,CTD,cas_number,484-20-8
DB12216,MESH:D011565,therapeutic,CTD,cas_number,484-20-8
DB04789,MESH:D001321,marker/mechanism,CTD,cas_number,134-35-0
DB04789,MESH:D006712,therapeutic,CTD,cas_number,134-35-0
DB04789,MESH:D009436,therapeutic,CTD,cas_number,134-35-0
DB08550,MESH:D001919,therapeutic,CTD,drug_name,"7,8-dichloro-1,2,3,4-tetrahydroisoquinoline"
DB08550,MESH:D007022,therapeutic,CTD,drug_name,"7,8-dichloro-1,2,3,4-tetrahydroisoquinoline"
DB01933,MESH:D001943,therapeutic,CTD,cas_number,112953-11-4
DB02207,MESH:D002375,marker/mechanism,CTD,cas_number,2942-42-9
DB02207,MESH:D004409,therapeutic,CTD,cas_number,2942-42-9
DB02207,MESH:D006930,therapeutic,CTD,cas_number,2942-42-9
DB02207,MESH:D006948,therapeutic,CTD,cas_number,2942-42-9
DB02207,MESH:D007035,marker/mechanism,CTD,cas_number,2942-42-9
DB02207,MESH:D008569,marker/mechanism,CTD,cas_number,2942-42-9
DB02207,MESH:D001523,therapeutic,CTD,cas_number,2942-42-9
DB02207,MESH:D009410,therapeutic,CTD,cas_number,2942-42-9
DB02207,MESH:D010146,therapeutic,CTD,cas_number,2942-42-9
DB02207,MESH:D012640,marker/mechanism,CTD,cas_number,2942-42-9
DB02207,MESH:D012640,therapeutic,CTD,cas_number,2942-42-9
DB02207,MESH:D013375,therapeutic,CTD,cas_number,2942-42-9
DB12001,MESH:D001943,therapeutic,CTD,drug_name,abemaciclib
DB12001,MESH:D003967,marker/mechanism,CTD,drug_name,abemaciclib
DB12001,MESH:D005221,marker/mechanism,CTD,drug_name,abemaciclib
DB12001,MESH:D064726,therapeutic,CTD,drug_name,abemaciclib
DB12001,MESH:D001749,therapeutic,CTD,drug_name,abemaciclib
DB05812,MESH:D011471,therapeutic,CTD,drug_name,abiraterone
DB05812,MESH:D064129,therapeutic,CTD,drug_name,abiraterone
DB00083,MESH:D004421,therapeutic,CTD,drug_name,abobotulinumtoxinA
DB00083,MESH:D006930,therapeutic,CTD,drug_name,abobotulinumtoxinA
DB00083,MESH:D010243,marker/mechanism,CTD,drug_name,abobotulinumtoxinA
DB11703,MESH:D000086382,therapeutic,CTD,drug_name,acalabrutinib
DB11703,MESH:D000860,therapeutic,CTD,drug_name,acalabrutinib
DB11703,MESH:D012128,therapeutic,CTD,drug_name,acalabrutinib
DB00659,MESH:D000435,therapeutic,CTD,drug_name,Acamprosate
DB00659,MESH:D000437,therapeutic,CTD,drug_name,Acamprosate
DB00659,MESH:D001008,marker/mechanism,CTD,drug_name,Acamprosate
DB00659,MESH:D002545,therapeutic,CTD,drug_name,Acamprosate
DB00659,MESH:D019970,therapeutic,CTD,drug_name,Acamprosate
DB00659,MESH:D009021,therapeutic,CTD,drug_name,Acamprosate
DB00659,MESH:D009461,therapeutic,CTD,drug_name,Acamprosate
DB00659,MESH:D013375,therapeutic,CTD,drug_name,Acamprosate
DB00284,MESH:D002312,therapeutic,CTD,cas_number,56180-94-0
DB00284,MESH:D002318,therapeutic,CTD,cas_number,56180-94-0
DB00284,MESH:D056486,marker/mechanism,CTD,cas_number,56180-94-0
DB00284,MESH:D003924,therapeutic,CTD,cas_number,56180-94-0
DB00284,MESH:D004719,therapeutic,CTD,cas_number,56180-94-0
DB00284,MESH:D005234,therapeutic,CTD,cas_number,56180-94-0
DB00284,MESH:D005770,therapeutic,CTD,cas_number,56180-94-0
DB00284,MESH:D006943,therapeutic,CTD,cas_number,56180-94-0
DB00284,MESH:D007249,therapeutic,CTD,cas_number,56180-94-0
DB00284,MESH:D017114,marker/mechanism,CTD,cas_number,56180-94-0
DB00284,MESH:D065626,therapeutic,CTD,cas_number,56180-94-0
DB00284,MESH:D009765,therapeutic,CTD,cas_number,56180-94-0
DB01193,MESH:D000787,therapeutic,CTD,cas_number,37517-30-9
DB01193,MESH:D001008,therapeutic,CTD,cas_number,37517-30-9
DB01193,MESH:D001145,therapeutic,CTD,cas_number,37517-30-9
DB01193,MESH:D001919,marker/mechanism,CTD,cas_number,37517-30-9
DB01193,MESH:D056486,marker/mechanism,CTD,cas_number,37517-30-9
DB01193,MESH:D003875,marker/mechanism,CTD,cas_number,37517-30-9
DB01193,MESH:D000075222,therapeutic,CTD,cas_number,37517-30-9
DB01193,MESH:D006327,marker/mechanism,CTD,cas_number,37517-30-9
DB01193,MESH:D006331,marker/mechanism,CTD,cas_number,37517-30-9
DB01193,MESH:D006973,therapeutic,CTD,cas_number,37517-30-9
DB01193,MESH:D007022,marker/mechanism,CTD,cas_number,37517-30-9
DB01193,MESH:D009157,marker/mechanism,CTD,cas_number,37517-30-9
DB01193,MESH:D017202,therapeutic,CTD,cas_number,37517-30-9
DB01193,MESH:D013610,therapeutic,CTD,cas_number,37517-30-9
DB01193,MESH:D017180,marker/mechanism,CTD,cas_number,37517-30-9
DB01193,MESH:D018366,marker/mechanism,CTD,cas_number,37517-30-9
DB01193,MESH:D014693,therapeutic,CTD,cas_number,37517-30-9
DB01193,MESH:D018879,therapeutic,CTD,cas_number,37517-30-9
DB06736,MESH:D001172,therapeutic,CTD,cas_number,89796-99-6
DB06736,MESH:D056486,marker/mechanism,CTD,cas_number,89796-99-6
DB06736,MESH:D002779,marker/mechanism,CTD,cas_number,89796-99-6
DB06736,MESH:D003221,marker/mechanism,CTD,cas_number,89796-99-6
DB06736,MESH:D006261,marker/mechanism,CTD,cas_number,89796-99-6
DB06736,MESH:D006356,marker/mechanism,CTD,cas_number,89796-99-6
DB06736,MESH:D006469,marker/mechanism,CTD,cas_number,89796-99-6
DB06736,MESH:D006967,marker/mechanism,CTD,cas_number,89796-99-6
DB06736,MESH:D008107,marker/mechanism,CTD,cas_number,89796-99-6
DB06736,MESH:D017116,therapeutic,CTD,cas_number,89796-99-6
DB06736,MESH:D008581,marker/mechanism,CTD,cas_number,89796-99-6
DB06736,MESH:D010146,therapeutic,CTD,cas_number,89796-99-6
DB06736,MESH:D014657,marker/mechanism,CTD,cas_number,89796-99-6
DB06736,MESH:D014717,marker/mechanism,CTD,cas_number,89796-99-6
DB01418,MESH:D058186,marker/mechanism,CTD,cas_number,152-72-7
DB01418,MESH:D001018,therapeutic,CTD,cas_number,152-72-7
DB01418,MESH:D001145,therapeutic,CTD,cas_number,152-72-7
DB01418,MESH:D001281,therapeutic,CTD,cas_number,152-72-7
DB01418,MESH:D020520,therapeutic,CTD,cas_number,152-72-7
DB01418,MESH:D056486,marker/mechanism,CTD,cas_number,152-72-7
DB01418,MESH:D002779,marker/mechanism,CTD,cas_number,152-72-7
DB01418,MESH:D004211,marker/mechanism,CTD,cas_number,152-72-7
DB01418,MESH:D004617,therapeutic,CTD,cas_number,152-72-7
DB01418,MESH:D020428,marker/mechanism,CTD,cas_number,152-72-7
DB01418,MESH:D006261,marker/mechanism,CTD,cas_number,152-72-7
DB01418,MESH:D006406,marker/mechanism,CTD,cas_number,152-72-7
DB01418,MESH:D006408,marker/mechanism,CTD,cas_number,152-72-7
DB01418,MESH:D006470,marker/mechanism,CTD,cas_number,152-72-7
DB01418,MESH:D006987,marker/mechanism,CTD,cas_number,152-72-7
DB01418,MESH:D020300,marker/mechanism,CTD,cas_number,152-72-7
DB01418,MESH:D009135,marker/mechanism,CTD,cas_number,152-72-7
DB01418,MESH:D019547,marker/mechanism,CTD,cas_number,152-72-7
DB01418,MESH:D009336,marker/mechanism,CTD,cas_number,152-72-7
DB01418,MESH:D009408,marker/mechanism,CTD,cas_number,152-72-7
DB01418,MESH:D010146,marker/mechanism,CTD,cas_number,152-72-7
DB01418,MESH:D012214,therapeutic,CTD,cas_number,152-72-7
DB01418,MESH:D012422,marker/mechanism,CTD,cas_number,152-72-7
DB01418,MESH:D012871,marker/mechanism,CTD,cas_number,152-72-7
DB01418,MESH:D020521,marker/mechanism,CTD,cas_number,152-72-7
DB01418,MESH:D013921,therapeutic,CTD,cas_number,152-72-7
DB01418,MESH:D013923,therapeutic,CTD,cas_number,152-72-7
DB01418,MESH:D016055,marker/mechanism,CTD,cas_number,152-72-7
DB01418,MESH:D018366,marker/mechanism,CTD,cas_number,152-72-7
DB01418,MESH:D054556,therapeutic,CTD,cas_number,152-72-7
DB01418,MESH:D020246,therapeutic,CTD,cas_number,152-72-7
DB01614,MESH:D001930,marker/mechanism,CTD,cas_number,61-00-7
DB01614,MESH:D007035,marker/mechanism,CTD,cas_number,61-00-7
DB01614,MESH:D053609,marker/mechanism,CTD,cas_number,61-00-7
DB01615,MESH:D013575,marker/mechanism,CTD,cas_number,13461-01-3
DB00316,MESH:D015746,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D015746,therapeutic,CTD,cas_number,103-90-2
DB00316,MESH:D000014,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D009008,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D000138,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D000140,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D058186,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D000402,therapeutic,CTD,cas_number,103-90-2
DB00316,MESH:D020751,therapeutic,CTD,cas_number,103-90-2
DB00316,MESH:D000707,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D000740,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D000743,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D000799,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D000799,therapeutic,CTD,cas_number,103-90-2
DB00316,MESH:D000855,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D001002,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D001161,therapeutic,CTD,cas_number,103-90-2
DB00316,MESH:D018771,therapeutic,CTD,cas_number,103-90-2
DB00316,MESH:D015210,therapeutic,CTD,cas_number,103-90-2
DB00316,MESH:D001172,therapeutic,CTD,cas_number,103-90-2
DB00316,MESH:D001249,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D001281,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D001289,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D000067877,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D001321,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D053099,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D001649,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D001660,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D001724,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D019575,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D001919,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D001927,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D001929,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D006528,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D006528,therapeutic,CTD,cas_number,103-90-2
DB00316,MESH:D002292,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D016534,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D009202,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D002318,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D002375,therapeutic,CTD,cas_number,103-90-2
DB00316,MESH:D002386,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D056486,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D056487,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D002779,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D015267,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D003072,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D003110,therapeutic,CTD,cas_number,103-90-2
DB00316,MESH:D003128,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D003221,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D003424,therapeutic,CTD,cas_number,103-90-2
DB00316,MESH:D003645,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D004195,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D003875,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D004342,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D062787,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D064420,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D004487,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D004802,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D004830,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D005076,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D005094,therapeutic,CTD,cas_number,103-90-2
DB00316,MESH:D005157,therapeutic,CTD,cas_number,103-90-2
DB00316,MESH:D005234,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D005313,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D005327,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D020567,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D005334,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D005334,therapeutic,CTD,cas_number,103-90-2
DB00316,MESH:D005355,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D005756,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D006471,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D006099,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D006212,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D006261,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D020773,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D006461,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D006470,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D006501,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D006505,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D006529,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D006930,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D006930,therapeutic,CTD,cas_number,103-90-2
DB00316,MESH:D022124,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D006940,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D006941,therapeutic,CTD,cas_number,103-90-2
DB00316,MESH:D006965,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D006973,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D000084462,therapeutic,CTD,cas_number,103-90-2
DB00316,MESH:D006984,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D006985,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D034141,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D007003,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D007008,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D017674,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D007022,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D007022,therapeutic,CTD,cas_number,103-90-2
DB00316,MESH:D007035,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D007035,therapeutic,CTD,cas_number,103-90-2
DB00316,MESH:D020896,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D000860,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D011695,marker/mechanism,CTD,cas_number,103-90-2
DB00316,MESH:D007247,marker/mechanism,CTD,cas_number,103-90-2
