drug_id,category_name,source
DB00013,Plasminogen Activators,DrugBank
DB00013,Proteins,DrugBank
DB00013,Serine Endopeptidases,DrugBank
DB00013,Serine Proteases,DrugBank
DB00013,"Urokinase-Type Plasminogen Activator, antagonists & inhibitors",DrugBank
DB00014,Adrenal Cortex Hormones,DrugBank
DB00014,"Amino Acids, Peptides, and Proteins",DrugBank
DB00014,Antineoplastic Agents,DrugBank
DB00014,"Antineoplastic Agents, Hormonal",DrugBank
DB00014,Antineoplastic and Immunomodulating Agents,DrugBank
DB00014,Drugs that are Mainly Renally Excreted,DrugBank
DB00014,Endocrine Therapy,DrugBank
DB00014,Gonadotropin Releasing Hormone Receptor Agonist,DrugBank
DB00014,Gonadotropin Releasing Hormone Receptor Agonists,DrugBank
DB00014,Gonadotropin-releasing hormone agonist,DrugBank
DB00014,Gonadotropins and Antigonadotropins,DrugBank
DB00014,Hormones,DrugBank
DB00014,Hormones and Related Agents,DrugBank
DB00014,"Hormones, Hormone Substitutes, and Hormone Antagonists",DrugBank
DB00014,Hyperglycemia-Associated Agents,DrugBank
DB00014,Hypothalamic Hormones,DrugBank
DB00014,Miscellaneous Therapeutic Agents,DrugBank
DB00014,Moderate Risk QTc-Prolonging Agents,DrugBank
DB00014,Nerve Tissue Proteins,DrugBank
DB00014,Neuropeptides,DrugBank
DB00014,Oligopeptides,DrugBank
DB00014,Peptide Hormones,DrugBank
DB00014,Peptides,DrugBank
DB00014,Pituitary Hormone-Releasing Hormones,DrugBank
DB00014,QTc Prolonging Agents,DrugBank
DB00015,Agents causing angioedema,DrugBank
DB00015,"Amino Acids, Peptides, and Proteins",DrugBank
DB00015,Anticoagulants,DrugBank
DB00015,Biological Factors,DrugBank
DB00015,Blood and Blood Forming Organs,DrugBank
DB00015,Blood Proteins,DrugBank
DB00015,Cardiovascular Agents,DrugBank
DB00015,Endopeptidases,DrugBank
DB00015,Enzymes,DrugBank
DB00015,Enzymes and Coenzymes,DrugBank
DB00015,Fibrin Modulating Agents,DrugBank
DB00015,Fibrinolytic Agents,DrugBank
DB00015,Hematologic Agents,DrugBank
DB00015,Hydrolases,DrugBank
DB00015,Peptide Hydrolases,DrugBank
DB00015,Plasminogen Activators,DrugBank
DB00015,Proteins,DrugBank
DB00015,Serine Endopeptidases,DrugBank
DB00015,Serine Proteases,DrugBank
DB00015,Tissue Plasminogen Activator,DrugBank
DB00016,"Amino Acids, Peptides, and Proteins",DrugBank
DB00016,Antianemic Preparations,DrugBank
DB00016,Biological Factors,DrugBank
DB00016,Blood and Blood Forming Organs,DrugBank
DB00016,Carbohydrates,DrugBank
DB00016,Colony-Stimulating Factors,DrugBank
DB00016,Cytokines,DrugBank
DB00016,Erythropoiesis-Stimulating Agents,DrugBank
DB00016,"Erythropoietin, genetics",DrugBank
DB00016,Glycoconjugates,DrugBank
DB00016,Glycoproteins,DrugBank
DB00016,Hematinics,DrugBank
DB00016,Hematologic Agents,DrugBank
DB00016,Hematopoietic Cell Growth Factors,DrugBank
DB00016,Increased Erythroid Cell Production,DrugBank
DB00016,Intercellular Signaling Peptides and Proteins,DrugBank
DB00016,Peptides,DrugBank
DB00016,Proteins,DrugBank
DB00017,"Amino Acids, Peptides, and Proteins",DrugBank
DB00017,Bone Density Conservation Agents,DrugBank
DB00017,"Bone Density, drug effects",DrugBank
DB00017,Calcitonin Preparations,DrugBank
DB00017,Calcium Homeostasis,DrugBank
DB00017,Calcium-Regulating Hormones and Agents,DrugBank
DB00017,Drugs that are Mainly Renally Excreted,DrugBank
DB00017,Hormones,DrugBank
DB00017,"Hormones, Hormone Substitutes, and Hormone Antagonists",DrugBank
DB00017,Nerve Tissue Proteins,DrugBank
DB00017,Neuropeptides,DrugBank
DB00017,Parathyroid and Antiparathyroid Agents,DrugBank
DB00017,Parathyroid Hormones and Analogues,DrugBank
DB00017,Peptide Hormones,DrugBank
DB00017,Peptides,DrugBank
DB00017,Proteins,DrugBank
DB00017,"Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins",DrugBank
DB00017,Thyroid Products,DrugBank
DB00018,Alfa Interferons,DrugBank
DB00018,"Amino Acids, Peptides, and Proteins",DrugBank
DB00018,Biological Factors,DrugBank
DB00018,Cytochrome P-450 CYP1A2 Inhibitors,DrugBank
DB00018,Cytochrome P-450 CYP1A2 Inhibitors (strength unknown),DrugBank
DB00018,Cytochrome P-450 Enzyme Inhibitors,DrugBank
DB00018,Cytokines,DrugBank
DB00018,Immunosuppressive Agents,DrugBank
DB00018,Intercellular Signaling Peptides and Proteins,DrugBank
DB00018,Interferon alpha,DrugBank
DB00018,Interferon Type I,DrugBank
DB00018,Interferon-alpha,DrugBank
DB00018,Interferons,DrugBank
DB00018,Myelosuppressive Agents,DrugBank
DB00018,Peptides,DrugBank
DB00018,Proteins,DrugBank
DB00019,"Adjuvants, Immunologic",DrugBank
DB00019,Alcohols,DrugBank
DB00019,"Amino Acids, Peptides, and Proteins",DrugBank
DB00019,Antineoplastic and Immunomodulating Agents,DrugBank
DB00019,Biological Factors,DrugBank
DB00019,Biological Products,DrugBank
DB00019,Carbohydrates,DrugBank
DB00019,Colony-Stimulating Factors,DrugBank
DB00019,Complex Mixtures,DrugBank
DB00019,"Compounds used in a research, industrial, or household setting",DrugBank
DB00019,Cytokines,DrugBank
DB00019,Ethylene Glycols,DrugBank
DB00019,Glycoconjugates,DrugBank
DB00019,Glycols,DrugBank
DB00019,Glycoproteins,DrugBank
DB00019,Granulocyte Colony-Stimulating Factors,DrugBank
DB00019,Hematinics,DrugBank
DB00019,Hematopoietic Cell Growth Factors,DrugBank
DB00019,Increased Myeloid Cell Production,DrugBank
DB00019,Intercellular Signaling Peptides and Proteins,DrugBank
DB00019,Leukocyte Growth Factor,DrugBank
DB00019,Macromolecular Substances,DrugBank
DB00019,Pegylated agents,DrugBank
DB00019,Peptides,DrugBank
DB00019,Polymers,DrugBank
DB00019,Proteins,DrugBank
DB00020,"Adjuvants, Immunologic",DrugBank
DB00020,"Amino Acids, Peptides, and Proteins",DrugBank
DB00020,Antineoplastic and Immunomodulating Agents,DrugBank
DB00020,Biological Factors,DrugBank
DB00020,Carbohydrates,DrugBank
DB00020,Colony-Stimulating Factors,DrugBank
DB00020,Cytokines,DrugBank
DB00020,Glycoconjugates,DrugBank
DB00020,Glycoproteins,DrugBank
DB00020,Granulocyte-Macrophage Colony-Stimulating Factor,DrugBank
DB00020,Hematopoietic Cell Growth Factors,DrugBank
DB00020,Immunologic Factors,DrugBank
DB00020,Increased Myeloid Cell Production,DrugBank
DB00020,Intercellular Signaling Peptides and Proteins,DrugBank
DB00020,Leukocyte Growth Factor,DrugBank
DB00020,Peptides,DrugBank
DB00020,Proteins,DrugBank
DB00022,"Adjuvants, Immunologic",DrugBank
DB00022,Alcohols,DrugBank
DB00022,Alfa Interferons,DrugBank
DB00022,"Amino Acids, Peptides, and Proteins",DrugBank
DB00022,Anti-Infective Agents,DrugBank
DB00022,Antineoplastic and Immunomodulating Agents,DrugBank
DB00022,Antiviral Agents,DrugBank
DB00022,Biological Factors,DrugBank
DB00022,Cancer immunotherapy,DrugBank
DB00022,"Compounds used in a research, industrial, or household setting",DrugBank
DB00022,Cytochrome P-450 CYP1A2 Inhibitors,DrugBank
DB00022,Cytochrome P-450 CYP1A2 Inhibitors (strength unknown),DrugBank
DB00022,Cytochrome P-450 CYP2C9 Inducers,DrugBank
DB00022,Cytochrome P-450 CYP2C9 Inducers (weak),DrugBank
DB00022,Cytochrome P-450 CYP2D6 Inhibitors,DrugBank
DB00022,Cytochrome P-450 CYP2D6 Inhibitors (weak),DrugBank
DB00022,Cytochrome P-450 Enzyme Inducers,DrugBank
DB00022,Cytochrome P-450 Enzyme Inhibitors,DrugBank
DB00022,Cytokines,DrugBank
DB00022,Drug Carriers,DrugBank
DB00022,Ethylene Glycols,DrugBank
DB00022,Glycols,DrugBank
DB00022,Hepatitis C,DrugBank
DB00022,Immunosuppressive Agents,DrugBank
DB00022,Immunotherapy,DrugBank
DB00022,Intercellular Signaling Peptides and Proteins,DrugBank
DB00022,Interferon alpha,DrugBank
DB00022,Interferon Type I,DrugBank
DB00022,Interferon-alpha,DrugBank
DB00022,Interferons,DrugBank
DB00022,Macromolecular Substances,DrugBank
DB00022,Myelosuppressive Agents,DrugBank
DB00022,Pegylated agents,DrugBank
DB00022,Peptides,DrugBank
DB00022,Polymers,DrugBank
DB00022,Proteins,DrugBank
DB00022,Treatments for Hepatitis C,DrugBank
DB00023,Amidohydrolases,DrugBank
DB00023,Antineoplastic Agents,DrugBank
DB00023,Antineoplastic and Immunomodulating Agents,DrugBank
DB00023,Asparaginase,DrugBank
DB00023,Asparagine-specific Enzyme,DrugBank
DB00023,Enzymes,DrugBank
DB00023,Enzymes and Coenzymes,DrugBank
DB00023,Hydrolases,DrugBank
DB00023,Narrow Therapeutic Index Drugs,DrugBank
DB00023,Thyroxine-binding globulin inhibitors,DrugBank
DB00024,Agents used to treat hypothyroidism,DrugBank
DB00024,Anterior Pituitary Lobe Hormones and Analogues,DrugBank
DB00024,Hormones,DrugBank
DB00024,"Hormones, Hormone Substitutes, and Hormone Antagonists",DrugBank
DB00024,Peptide Hormones,DrugBank
DB00024,Pituitary and Hypothalamic Hormones and Analogues,DrugBank
DB00024,Pituitary Hormones,DrugBank
DB00024,"Pituitary Hormones, Anterior",DrugBank
DB00024,"Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins",DrugBank
DB00024,Thyroid Products,DrugBank
DB00025,"Amino Acids, Peptides, and Proteins",DrugBank
DB00025,Biological Factors,DrugBank
DB00025,Blood and Blood Forming Organs,DrugBank
DB00025,Blood Coagulation Factors,DrugBank
DB00025,Blood Proteins,DrugBank
DB00025,Carbohydrates,DrugBank
DB00025,Disaccharides,DrugBank
DB00025,Hemophilia A,DrugBank
DB00025,Hemostatics,DrugBank
DB00025,Human Antihemophilic Factors,DrugBank
DB00025,Increased Coagulation Activity,DrugBank
DB00025,Oligosaccharides,DrugBank
DB00025,Polysaccharides,DrugBank
DB00025,Protein Precursors,DrugBank
DB00025,Proteins,DrugBank
DB00026,Agents reducing cytokine levels,DrugBank
DB00026,"Amino Acids, Peptides, and Proteins",DrugBank
DB00026,Antineoplastic and Immunomodulating Agents,DrugBank
DB00026,Antirheumatic Agents,DrugBank
DB00026,Biological Factors,DrugBank
DB00026,Biologics for Rheumatoid Arthritis Treatment,DrugBank
DB00026,Cytokines,DrugBank
DB00026,Disease-modifying Antirheumatic Agents,DrugBank
DB00026,Immunosuppressive Agents,DrugBank
DB00026,Immunotherapy,DrugBank
DB00026,Intercellular Signaling Peptides and Proteins,DrugBank
DB00026,Interleukin Inhibitors,DrugBank
DB00026,Interleukin-1 Receptor Antagonist,DrugBank
DB00026,Peptides,DrugBank
DB00026,Proteins,DrugBank
DB00027,"Amino Acids, Peptides, and Proteins",DrugBank
DB00027,Anti-Bacterial Agents,DrugBank
DB00027,Anti-Infective Agents,DrugBank
DB00027,"Anti-Infective Agents, Local",DrugBank
DB00027,Membrane Proteins,DrugBank
DB00027,P-glycoprotein inhibitors,DrugBank
DB00027,P-glycoprotein substrates,DrugBank
DB00027,Peptides,DrugBank
DB00027,"Peptides, Cyclic",DrugBank
DB00027,Pore Forming Cytotoxic Proteins,DrugBank
DB00027,Proteins,DrugBank
DB00027,Throat Preparations,DrugBank
DB00028,"Amino Acids, Peptides, and Proteins",DrugBank
DB00028,Antibodies,DrugBank
DB00028,Antigen Neutralization,DrugBank
DB00028,Blood Proteins,DrugBank
DB00028,Globulins,DrugBank
DB00028,Human Immunoglobulin G,DrugBank
DB00028,Immunoglobulin G,DrugBank
DB00028,Immunoglobulin Isotypes,DrugBank
DB00028,Immunoglobulins,DrugBank
DB00028,"Immunoglobulins, Intravenous",DrugBank
DB00028,Immunologic Factors,DrugBank
DB00028,Immunoproteins,DrugBank
DB00028,Passively Acquired Immunity,DrugBank
DB00028,Proteins,DrugBank
DB00028,Serum,DrugBank
DB00028,Serum Globulins,DrugBank
DB00029,Agents causing angioedema,DrugBank
DB00029,"Amino Acids, Peptides, and Proteins",DrugBank
DB00029,Anticoagulants,DrugBank
DB00029,Blood and Blood Forming Organs,DrugBank
DB00029,Blood Proteins,DrugBank
DB00029,Cardiovascular Agents,DrugBank
DB00029,Endopeptidases,DrugBank
DB00029,Enzymes,DrugBank
DB00029,Enzymes and Coenzymes,DrugBank
DB00029,Fibrin Modulating Agents,DrugBank
DB00029,Fibrinolytic Agents,DrugBank
DB00029,Hematologic Agents,DrugBank
DB00029,Hydrolases,DrugBank
DB00029,Peptide Hydrolases,DrugBank
DB00029,Plasminogen Activators,DrugBank
DB00029,Proteins,DrugBank
DB00029,Serine Endopeptidases,DrugBank
DB00029,Serine Proteases,DrugBank
DB00030,Alimentary Tract and Metabolism,DrugBank
DB00030,"Amino Acids, Peptides, and Proteins",DrugBank
DB00030,Blood Glucose Lowering Agents,DrugBank
DB00030,Cytochrome P-450 CYP1A2 Inducers,DrugBank
DB00030,Cytochrome P-450 CYP1A2 Inducers (strength unknown),DrugBank
DB00030,Cytochrome P-450 Enzyme Inducers,DrugBank
DB00030,Drugs Used in Diabetes,DrugBank
DB00030,Hormones,DrugBank
DB00030,"Hormones, Hormone Substitutes, and Hormone Antagonists",DrugBank
DB00030,Hypoglycemia-Associated Agents,DrugBank
DB00030,Insulin,DrugBank
DB00030,"Insulin, metabolism",DrugBank
DB00030,"Insulin, Short-Acting",DrugBank
DB00030,"Insulins and Analogues for Injection, Fast-Acting",DrugBank
DB00030,Pancreatic Hormones,DrugBank
DB00030,Peptide Hormones,DrugBank
DB00030,Peptides,DrugBank
DB00031,Agents causing angioedema,DrugBank
DB00031,"Amino Acids, Peptides, and Proteins",DrugBank
DB00031,Anticoagulants,DrugBank
DB00031,Biological Factors,DrugBank
DB00031,Blood and Blood Forming Organs,DrugBank
DB00031,Blood Proteins,DrugBank
DB00031,Cardiovascular Agents,DrugBank
DB00031,Endopeptidases,DrugBank
DB00031,Enzymes,DrugBank
DB00031,Enzymes and Coenzymes,DrugBank
DB00031,Fibrin Modulating Agents,DrugBank
DB00031,Fibrinolytic Agents,DrugBank
DB00031,Hematologic Agents,DrugBank
DB00031,Hydrolases,DrugBank
DB00031,Peptide Hydrolases,DrugBank
DB00031,Plasminogen Activators,DrugBank
DB00031,Proteins,DrugBank
DB00031,Serine Endopeptidases,DrugBank
DB00031,Serine Proteases,DrugBank
DB00031,Tissue Plasminogen Activator,DrugBank
DB00033,"Amino Acids, Peptides, and Proteins",DrugBank
DB00033,Biological Factors,DrugBank
DB00033,Cytochrome P-450 CYP1A2 Inhibitors,DrugBank
DB00033,Cytochrome P-450 CYP1A2 Inhibitors (strength unknown),DrugBank
DB00033,Cytochrome P-450 Enzyme Inhibitors,DrugBank
DB00033,Cytokines,DrugBank
DB00033,Immunosuppressive Agents,DrugBank
DB00033,Intercellular Signaling Peptides and Proteins,DrugBank
DB00033,Interferon gamma,DrugBank
DB00033,Interferons,DrugBank
DB00033,Lymphokines,DrugBank
DB00033,Macrophage-Activating Factors,DrugBank
DB00033,Myelosuppressive Agents,DrugBank
DB00033,Peptides,DrugBank
DB00033,Proteins,DrugBank
DB00034,"Adjuvants, Immunologic",DrugBank
DB00034,Alfa Interferons,DrugBank
DB00034,"Amino Acids, Peptides, and Proteins",DrugBank
DB00034,Anti-Infective Agents,DrugBank
DB00034,Antineoplastic Agents,DrugBank
DB00034,Antineoplastic and Immunomodulating Agents,DrugBank
DB00034,Antiviral Agents,DrugBank
DB00034,Biological Factors,DrugBank
DB00034,Cancer immunotherapy,DrugBank
DB00034,Cytochrome P-450 CYP1A2 Inhibitors,DrugBank
DB00034,Cytochrome P-450 CYP1A2 Inhibitors (strength unknown),DrugBank
DB00034,Cytochrome P-450 Enzyme Inhibitors,DrugBank
DB00034,Cytokines,DrugBank
DB00034,Immunosuppressive Agents,DrugBank
DB00034,Immunotherapy,DrugBank
DB00034,Intercellular Signaling Peptides and Proteins,DrugBank
DB00034,Interferon alpha,DrugBank
DB00034,Interferon Type I,DrugBank
DB00034,Interferon-alpha,DrugBank
DB00034,Interferons,DrugBank
DB00034,Myelosuppressive Agents,DrugBank
DB00034,Peptides,DrugBank
DB00034,Proteins,DrugBank
DB00035,Agents that produce hypertension,DrugBank
DB00035,"Amino Acids, Peptides, and Proteins",DrugBank
DB00035,Antidiuretic Agents,DrugBank
DB00035,Arginine Vasopressin,DrugBank
DB00035,Cardiovascular Agents,DrugBank
DB00035,Coagulants,DrugBank
DB00035,Drugs that are Mainly Renally Excreted,DrugBank
DB00035,Factor VIII Activator,DrugBank
DB00035,Hematologic Agents,DrugBank
DB00035,Hemostatics,DrugBank
DB00035,Hormones,DrugBank
DB00035,"Hormones, Hormone Substitutes, and Hormone Antagonists",DrugBank
DB00035,Increased Coagulation Factor VIII Activity,DrugBank
DB00035,Increased Coagulation Factor VIII Concentration,DrugBank
DB00035,Natriuretic Agents,DrugBank
DB00035,Nerve Tissue Proteins,DrugBank
DB00035,Neuropeptides,DrugBank
DB00035,Oligopeptides,DrugBank
DB00035,Peptide Hormones,DrugBank
DB00035,Peptides,DrugBank
DB00035,Pituitary,DrugBank
DB00035,Pituitary and Hypothalamic Hormones and Analogues,DrugBank
DB00035,Pituitary Hormones,DrugBank
DB00035,"Pituitary Hormones, Posterior",DrugBank
DB00035,Posterior Pituitary Lobe Hormones,DrugBank
DB00035,Proteins,DrugBank
DB00035,"Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins",DrugBank
DB00035,Vasopressin Analog,DrugBank
DB00035,Vasopressin and Analogues,DrugBank
DB00035,Vasopressins,DrugBank
DB00036,"Amino Acids, Peptides, and Proteins",DrugBank
DB00036,Biological Factors,DrugBank
DB00036,Blood and Blood Forming Organs,DrugBank
DB00036,Blood Coagulation Factors,DrugBank
DB00036,Blood Proteins,DrugBank
DB00036,Endopeptidases,DrugBank
DB00036,Enzymes,DrugBank
DB00036,Enzymes and Coenzymes,DrugBank
DB00036,Factor VII,DrugBank
DB00036,"Factor VIIa, antagonists & inhibitors",DrugBank
DB00036,Hemostatics,DrugBank
DB00036,Hydrolases,DrugBank
