drug_id,protein_id,relationship_type,actions,known_action,inhibition_strength,induction_strength,source,match_type,match_value
DB00013,BE0001656,target,substrate,unknown,,,DrugBank,drugbank_id,DB00013
DB00013,BE0002113,target,ligand,unknown,,,DrugBank,drugbank_id,DB00013
DB00013,BE0001198,enzyme,substrate,unknown,,,DrugBank,drugbank_id,DB00013
DB00014,BE0000134,target,agonist,yes,,,DrugBank,drugbank_id,DB00014
DB00014,BE0000203,target,agonist,yes,,,DrugBank,drugbank_id,DB00014
DB00014,BE0010526,target,activator,unknown,,,DrugBank,drugbank_id,DB00014
DB00015,BE0000211,target,activator,yes,,,DrugBank,drugbank_id,DB00015
DB00015,BE0000538,target,binder,yes,,,DrugBank,drugbank_id,DB00015
DB00015,BE0000240,target,,unknown,,,DrugBank,drugbank_id,DB00015
DB00016,BE0000654,target,agonist,yes,,,DrugBank,drugbank_id,DB00016
DB00017,BE0000431,target,agonist,yes,,,DrugBank,drugbank_id,DB00017
DB00018,BE0000661,target,agonist,yes,,,DrugBank,drugbank_id,DB00018
DB00018,BE0000385,target,agonist,yes,,,DrugBank,drugbank_id,DB00018
DB00018,BE0002433,enzyme,inhibitor,unknown,unknown,,DrugBank,drugbank_id,DB00018
DB00019,BE0000793,target,agonist,yes,,,DrugBank,drugbank_id,DB00019
DB00019,BE0000394,enzyme,substrate,no,,,DrugBank,drugbank_id,DB00019
DB00020,BE0000628,target,agonist,yes,,,DrugBank,drugbank_id,DB00020
DB00020,BE0001036,target,agonist,yes,,,DrugBank,drugbank_id,DB00020
DB00020,BE0002115,target,agonist,yes,,,DrugBank,drugbank_id,DB00020
DB00020,BE0002116,target,agonist,unknown,,,DrugBank,drugbank_id,DB00020
DB00022,BE0000661,target,agonist,yes,,,DrugBank,drugbank_id,DB00022
DB00022,BE0000385,target,agonist,yes,,,DrugBank,drugbank_id,DB00022
DB00022,BE0003450,target,modulator,unknown,,,DrugBank,drugbank_id,DB00022
DB00022,BE0002433,enzyme,inhibitor,unknown,unknown,,DrugBank,drugbank_id,DB00022
DB00022,BE0002363,enzyme,inhibitor,unknown,weak,,DrugBank,drugbank_id,DB00022
DB00022,BE0002793,enzyme,inducer,unknown,,weak,DrugBank,drugbank_id,DB00022
DB00023,BE0004798,target,other/unknown,yes,,,DrugBank,drugbank_id,DB00023
DB00023,BE0000537,carrier,inhibitor,no,,,DrugBank,drugbank_id,DB00023
DB00024,BE0000490,target,agonist,yes,,,DrugBank,drugbank_id,DB00024
DB00025,BE0000216,target,activator,yes,,,DrugBank,drugbank_id,DB00025
DB00025,BE0000364,target,cofactor,yes,,,DrugBank,drugbank_id,DB00025
DB00025,BE0001043,target,binder,yes,,,DrugBank,drugbank_id,DB00025
DB00025,BE0002117,target,antagonist,yes,,,DrugBank,drugbank_id,DB00025
DB00025,BE0002118,target,binder,yes,,,DrugBank,drugbank_id,DB00025
DB00025,BE0001098,target,chaperone,no,,,DrugBank,drugbank_id,DB00025
DB00025,BE0002109,target,chaperone,no,,,DrugBank,drugbank_id,DB00025
DB00025,BE0001011,target,chaperone,no,,,DrugBank,drugbank_id,DB00025
DB00025,BE0002119,target,binder|transporter,yes,,,DrugBank,drugbank_id,DB00025
DB00025,BE0002110,target,modulator,yes,,,DrugBank,drugbank_id,DB00025
DB00025,BE0002120,target,modulator,yes,,,DrugBank,drugbank_id,DB00025
DB00025,BE0000048,enzyme,inhibitor,yes,,,DrugBank,drugbank_id,DB00025
DB00025,BE0000380,enzyme,substrate,unknown,,,DrugBank,drugbank_id,DB00025
DB00026,BE0000565,target,antagonist,yes,,,DrugBank,drugbank_id,DB00026
DB00027,BE0000803,target,binder,unknown,,,DrugBank,drugbank_id,DB00027
DB00027,BE0001032,transporter,substrate|inhibitor,unknown,,,DrugBank,drugbank_id,DB00027
DB00028,BE0000710,target,binder,unknown,,,DrugBank,drugbank_id,DB00028
DB00028,BE0004684,target,antagonist,yes,,,DrugBank,drugbank_id,DB00028
DB00028,BE0002098,target,binder,unknown,,,DrugBank,drugbank_id,DB00028
DB00028,BE0002099,target,ligand,no,,,DrugBank,drugbank_id,DB00028
DB00028,BE0002100,target,ligand,no,,,DrugBank,drugbank_id,DB00028
DB00028,BE0002097,target,binder,unknown,,,DrugBank,drugbank_id,DB00028
DB00028,BE0000901,target,binder,unknown,,,DrugBank,drugbank_id,DB00028
DB00028,BE0003455,target,binder,yes,,,DrugBank,drugbank_id,DB00028
DB00028,BE0004685,target,binder,yes,,,DrugBank,drugbank_id,DB00028
DB00028,BE0004686,target,binder,yes,,,DrugBank,drugbank_id,DB00028
DB00028,BE0000855,target,binder,yes,,,DrugBank,drugbank_id,DB00028
DB00029,BE0000211,target,activator,yes,,,DrugBank,drugbank_id,DB00029
DB00029,BE0000538,target,binder,yes,,,DrugBank,drugbank_id,DB00029
DB00029,BE0000240,target,,unknown,,,DrugBank,drugbank_id,DB00029
DB00030,BE0000033,target,agonist,yes,,,DrugBank,drugbank_id,DB00030
DB00030,BE0000858,target,activator,unknown,,,DrugBank,drugbank_id,DB00030
DB00030,BE0001123,target,modulator|product of,unknown,,,DrugBank,drugbank_id,DB00030
DB00030,BE0001147,target,downregulator,unknown,,,DrugBank,drugbank_id,DB00030
DB00030,BE0000942,target,substrate,unknown,,,DrugBank,drugbank_id,DB00030
DB00030,BE0002126,target,inhibitor|binder,unknown,,,DrugBank,drugbank_id,DB00030
DB00030,BE0001183,enzyme,substrate|cleavage,unknown,,,DrugBank,drugbank_id,DB00030
DB00030,BE0002124,enzyme,activator,unknown,,,DrugBank,drugbank_id,DB00030
DB00030,BE0002125,enzyme,activator,unknown,,,DrugBank,drugbank_id,DB00030
DB00030,BE0002433,enzyme,inhibitor,unknown,unknown,,DrugBank,drugbank_id,DB00030
DB00031,BE0000211,target,activator,yes,,,DrugBank,drugbank_id,DB00031
DB00033,BE0000711,target,binder,yes,,,DrugBank,drugbank_id,DB00033
DB00033,BE0000467,target,binder,yes,,,DrugBank,drugbank_id,DB00033
DB00033,BE0002433,enzyme,inhibitor,unknown,unknown,,DrugBank,drugbank_id,DB00033
DB00034,BE0000661,target,agonist,yes,,,DrugBank,drugbank_id,DB00034
DB00034,BE0000385,target,agonist,yes,,,DrugBank,drugbank_id,DB00034
DB00034,BE0002433,enzyme,inhibitor,unknown,unknown,,DrugBank,drugbank_id,DB00034
DB00035,BE0000293,target,agonist,yes,,,DrugBank,drugbank_id,DB00035
DB00035,BE0000165,target,agonist,yes,,,DrugBank,drugbank_id,DB00035
DB00035,BE0000773,target,agonist,yes,,,DrugBank,drugbank_id,DB00035
DB00035,BE0000844,target,agonist,unknown,,,DrugBank,drugbank_id,DB00035
DB00035,BE0000262,enzyme,inducer,unknown,,unknown,DrugBank,drugbank_id,DB00035
DB00035,BE0000017,enzyme,inducer,unknown,,unknown,DrugBank,drugbank_id,DB00035
DB00036,BE0000216,target,activator,yes,,,DrugBank,drugbank_id,DB00036
DB00036,BE0001178,target,binder,yes,,,DrugBank,drugbank_id,DB00036
DB00039,BE0000748,target,agonist|binder,yes,,,DrugBank,drugbank_id,DB00039
DB00039,BE0002131,target,agonist,unknown,,,DrugBank,drugbank_id,DB00039
DB00039,BE0001031,target,ligand,unknown,,,DrugBank,drugbank_id,DB00039
DB00040,BE0000527,target,agonist,yes,,,DrugBank,drugbank_id,DB00040
DB00040,BE0002134,target,agonist,unknown,,,DrugBank,drugbank_id,DB00040
DB00040,BE0000857,target,agonist,unknown,,,DrugBank,drugbank_id,DB00040
DB00041,BE0000651,target,ligand,yes,,,DrugBank,drugbank_id,DB00041
DB00041,BE0000658,target,ligand,yes,,,DrugBank,drugbank_id,DB00041
DB00041,BE0002102,target,agonist,yes,,,DrugBank,drugbank_id,DB00041
DB00041,BE0001029,target,modulator,unknown,,,DrugBank,drugbank_id,DB00041
DB00041,BE0000262,enzyme,inducer,unknown,,unknown,DrugBank,drugbank_id,DB00041
DB00041,BE0000657,enzyme,inducer,unknown,,unknown,DrugBank,drugbank_id,DB00041
DB00041,BE0002638,enzyme,inhibitor,unknown,unknown,,DrugBank,drugbank_id,DB00041
DB00041,BE0002204,enzyme,inducer,unknown,,unknown,DrugBank,drugbank_id,DB00041
DB00041,BE0003533,enzyme,inhibitor,unknown,unknown,,DrugBank,drugbank_id,DB00041
DB00042,BE0002137,target,binder,yes,,,DrugBank,drugbank_id,DB00042
DB00042,BE0002136,target,binder,yes,,,DrugBank,drugbank_id,DB00042
DB00042,BE0002138,target,inhibitor|cleavage,yes,,,DrugBank,drugbank_id,DB00042
DB00043,BE0010138,target,antibody|neutralizer,yes,,,DrugBank,drugbank_id,DB00043
DB00043,BE0000049,target,modulator,unknown,,,DrugBank,drugbank_id,DB00043
DB00046,BE0000033,target,agonist,yes,,,DrugBank,drugbank_id,DB00046
DB00046,BE0000858,target,activator,unknown,,,DrugBank,drugbank_id,DB00046
DB00046,BE0002433,enzyme,inhibitor,unknown,unknown,,DrugBank,drugbank_id,DB00046
DB00046,BE0001183,enzyme,substrate|cleavage,unknown,,,DrugBank,drugbank_id,DB00046
DB00047,BE0000033,target,agonist,yes,,,DrugBank,drugbank_id,DB00047
DB00047,BE0003491,target,modulator,unknown,,,DrugBank,drugbank_id,DB00047
DB00047,BE0000858,target,activator,unknown,,,DrugBank,drugbank_id,DB00047
DB00047,BE0002433,enzyme,inhibitor,unknown,unknown,,DrugBank,drugbank_id,DB00047
DB00048,BE0000025,target,cleavage,yes,,,DrugBank,drugbank_id,DB00048
DB00048,BE0002140,target,cleavage,yes,,,DrugBank,drugbank_id,DB00048
DB00048,BE0002130,target,cleavage,yes,,,DrugBank,drugbank_id,DB00048
DB00049,BE0004823,target,metabolizer,yes,,,DrugBank,drugbank_id,DB00049
DB00051,BE0000704,target,inhibitor|antibody,yes,,,DrugBank,drugbank_id,DB00051
DB00052,BE0000075,target,ligand,yes,,,DrugBank,drugbank_id,DB00052
DB00052,BE0000345,target,ligand,yes,,,DrugBank,drugbank_id,DB00052
DB00052,BE0002433,enzyme,inhibitor,unknown,unknown,,DrugBank,drugbank_id,DB00052
DB00052,BE0003536,enzyme,inhibitor,unknown,weak,,DrugBank,drugbank_id,DB00052
DB00052,BE0001032,transporter,substrate|inhibitor,unknown,,,DrugBank,drugbank_id,DB00052
DB00054,BE0001155,target,antagonist,yes,,,DrugBank,drugbank_id,DB00054
DB00054,BE0000439,target,antagonist,yes,,,DrugBank,drugbank_id,DB00054
DB00054,BE0002098,target,binder,unknown,,,DrugBank,drugbank_id,DB00054
DB00054,BE0002099,target,ligand,no,,,DrugBank,drugbank_id,DB00054
DB00054,BE0001068,target,,unknown,,,DrugBank,drugbank_id,DB00054
DB00055,BE0000016,target,inhibitor,yes,,,DrugBank,drugbank_id,DB00055
DB00055,BE0000041,target,inhibitor,yes,,,DrugBank,drugbank_id,DB00055
DB00055,BE0000240,target,,unknown,,,DrugBank,drugbank_id,DB00055
DB00055,BE0001151,target,,unknown,,,DrugBank,drugbank_id,DB00055
DB00055,BE0000943,target,,unknown,,,DrugBank,drugbank_id,DB00055
DB00055,BE0000048,target,inhibitor,yes,,,DrugBank,drugbank_id,DB00055
DB00055,BE0001129,target,,unknown,,,DrugBank,drugbank_id,DB00055
DB00055,BE0002112,target,substrate,unknown,,,DrugBank,drugbank_id,DB00055
DB00055,BE0002142,target,,unknown,,,DrugBank,drugbank_id,DB00055
DB00055,BE0001161,target,,unknown,,,DrugBank,drugbank_id,DB00055
DB00056,BE0000674,target,antibody|regulator,yes,,,DrugBank,drugbank_id,DB00056
DB00056,BE0000901,target,binder,unknown,,,DrugBank,drugbank_id,DB00056
DB00056,BE0002097,target,binder,unknown,,,DrugBank,drugbank_id,DB00056
DB00056,BE0000710,target,binder,unknown,,,DrugBank,drugbank_id,DB00056
DB00057,BE0004842,target,other/unknown,yes,,,DrugBank,drugbank_id,DB00057
DB00058,BE0000394,target,substrate,no,,,DrugBank,drugbank_id,DB00058
DB00059,BE0004798,target,other/unknown,yes,,,DrugBank,drugbank_id,DB00059
DB00059,BE0000537,carrier,inhibitor,no,,,DrugBank,drugbank_id,DB00059
DB00060,BE0000661,target,agonist,yes,,,DrugBank,drugbank_id,DB00060
DB00060,BE0000385,target,agonist,yes,,,DrugBank,drugbank_id,DB00060
DB00060,BE0000926,target,modulator,unknown,,,DrugBank,drugbank_id,DB00060
DB00060,BE0002433,enzyme,inhibitor,unknown,unknown,,DrugBank,drugbank_id,DB00060
DB00061,BE0004828,target,metabolizer,yes,,,DrugBank,drugbank_id,DB00061
DB00061,BE0000917,target,binder,unknown,,,DrugBank,drugbank_id,DB00061
DB00063,BE0001155,target,antagonist,yes,,,DrugBank,drugbank_id,DB00063
DB00063,BE0000439,target,antagonist,yes,,,DrugBank,drugbank_id,DB00063
DB00063,BE0009351,target,antagonist,unknown,,,DrugBank,drugbank_id,DB00063
DB00065,BE0000704,target,inhibitor|antibody,yes,,,DrugBank,drugbank_id,DB00065
DB00066,BE0000387,target,agonist,yes,,,DrugBank,drugbank_id,DB00066
DB00067,BE0000293,target,agonist,yes,,,DrugBank,drugbank_id,DB00067
DB00067,BE0000165,target,agonist,yes,,,DrugBank,drugbank_id,DB00067
DB00067,BE0000773,target,agonist,yes,,,DrugBank,drugbank_id,DB00067
DB00067,BE0000844,target,agonist,unknown,,,DrugBank,drugbank_id,DB00067
DB00067,BE0001069,transporter,substrate,unknown,,,DrugBank,drugbank_id,DB00067
DB00068,BE0000661,target,agonist,yes,,,DrugBank,drugbank_id,DB00068
DB00068,BE0000385,target,agonist,yes,,,DrugBank,drugbank_id,DB00068
DB00068,BE0002433,enzyme,inhibitor,unknown,unknown,,DrugBank,drugbank_id,DB00068
DB00069,BE0000661,target,agonist,yes,,,DrugBank,drugbank_id,DB00069
DB00069,BE0000385,target,agonist,yes,,,DrugBank,drugbank_id,DB00069
DB00069,BE0002433,enzyme,inhibitor,unknown,unknown,,DrugBank,drugbank_id,DB00069
DB00070,BE0000984,target,inhibitor,unknown,,,DrugBank,drugbank_id,DB00070
DB00070,BE0000530,carrier,inhibitor,unknown,,,DrugBank,drugbank_id,DB00070
DB00071,BE0000033,target,agonist,yes,,,DrugBank,drugbank_id,DB00071
DB00071,BE0000858,target,activator,unknown,,,DrugBank,drugbank_id,DB00071
DB00071,BE0002433,enzyme,inhibitor,unknown,unknown,,DrugBank,drugbank_id,DB00071
DB00071,BE0001183,enzyme,substrate|cleavage,unknown,,,DrugBank,drugbank_id,DB00071
DB00072,BE0000511,target,binder|antibody,yes,,,DrugBank,drugbank_id,DB00072
DB00073,BE0000066,target,antibody|regulator,yes,,,DrugBank,drugbank_id,DB00073
DB00074,BE0000658,target,ligand,yes,,,DrugBank,drugbank_id,DB00074
DB00074,BE0000651,target,ligand,yes,,,DrugBank,drugbank_id,DB00074
DB00075,BE0003456,target,,yes,,,DrugBank,drugbank_id,DB00075
DB00075,BE0000274,target,binder,yes,,,DrugBank,drugbank_id,DB00075
DB00075,BE0003457,target,,yes,,,DrugBank,drugbank_id,DB00075
DB00075,BE0003458,target,,yes,,,DrugBank,drugbank_id,DB00075
DB00075,BE0000901,target,binder,unknown,,,DrugBank,drugbank_id,DB00075
DB00076,BE0004837,target,neutralizer,yes,,,DrugBank,drugbank_id,DB00076
DB00078,BE0000066,target,antibody|regulator,yes,,,DrugBank,drugbank_id,DB00078
DB00080,BE0010021,target,incorporation into and destabilization,yes,,,DrugBank,drugbank_id,DB00080
DB00080,BE0000803,target,binder,unknown,,,DrugBank,drugbank_id,DB00080
DB00080,BE0000530,carrier,inhibitor,unknown,,,DrugBank,drugbank_id,DB00080
DB00080,BE0000925,carrier,binder,no,,,DrugBank,drugbank_id,DB00080
DB00080,BE0000952,carrier,binder,no,,,DrugBank,drugbank_id,DB00080
DB00080,BE0000499,carrier,binder,no,,,DrugBank,drugbank_id,DB00080
DB00080,BE0000685,carrier,binder,no,,,DrugBank,drugbank_id,DB00080
DB00080,BE0009909,carrier,binder,no,,,DrugBank,drugbank_id,DB00080
DB00080,BE0001032,transporter,substrate|inhibitor,unknown,,,DrugBank,drugbank_id,DB00080
DB00081,BE0000066,target,antibody|regulator,yes,,,DrugBank,drugbank_id,DB00081
DB00081,BE0002099,target,ligand,no,,,DrugBank,drugbank_id,DB00081
DB00082,BE0000075,target,ligand,yes,,,DrugBank,drugbank_id,DB00082
DB00082,BE0000549,enzyme,inducer,unknown,,unknown,DrugBank,drugbank_id,DB00082
DB00082,BE0002240,enzyme,inhibitor,unknown,unknown,,DrugBank,drugbank_id,DB00082
DB00082,BE0002638,enzyme,inhibitor,unknown,unknown,,DrugBank,drugbank_id,DB00082
DB00082,BE0002180,enzyme,inhibitor,unknown,unknown,,DrugBank,drugbank_id,DB00082
DB00082,BE0000421,enzyme,inhibitor,unknown,unknown,,DrugBank,drugbank_id,DB00082
DB00083,BE0000390,target,inhibitor,yes,,,DrugBank,drugbank_id,DB00083
DB00083,BE0003572,target,inhibitor,unknown,,,DrugBank,drugbank_id,DB00083
DB00083,BE0000530,carrier,inhibitor,unknown,,,DrugBank,drugbank_id,DB00083
DB00085,BE0004834,target,cleavage,yes,,,DrugBank,drugbank_id,DB00085
DB00085,BE0004835,target,cleavage,yes,,,DrugBank,drugbank_id,DB00085
DB00085,BE0004836,target,cleavage,yes,,,DrugBank,drugbank_id,DB00085
DB00086,BE0000211,target,activator,yes,,,DrugBank,drugbank_id,DB00086
DB00086,BE0000928,target,activator,unknown,,,DrugBank,drugbank_id,DB00086
DB00086,BE0000657,enzyme,inducer,unknown,,unknown,DrugBank,drugbank_id,DB00086
DB00087,BE0000083,target,antibody,yes,,,DrugBank,drugbank_id,DB00087
DB00087,BE0000901,target,binder,unknown,,,DrugBank,drugbank_id,DB00087
DB00087,BE0002097,target,binder,unknown,,,DrugBank,drugbank_id,DB00087
DB00087,BE0000710,target,binder,unknown,,,DrugBank,drugbank_id,DB00087
DB00087,BE0002098,target,binder,unknown,,,DrugBank,drugbank_id,DB00087
DB00087,BE0002099,target,ligand,no,,,DrugBank,drugbank_id,DB00087
DB00087,BE0002100,target,ligand,no,,,DrugBank,drugbank_id,DB00087
DB00089,BE0000568,target,other/unknown,yes,,,DrugBank,drugbank_id,DB00089
DB00091,BE0000379,target,binder,yes,,,DrugBank,drugbank_id,DB00091
DB00091,BE0002143,target,inhibitor,yes,,,DrugBank,drugbank_id,DB00091
DB00091,BE0001014,target,inhibitor|binder,yes,,,DrugBank,drugbank_id,DB00091
DB00091,BE0001399,target,binder,yes,,,DrugBank,drugbank_id,DB00091
DB00091,BE0004238,target,inhibitor,unknown,,,DrugBank,drugbank_id,DB00091
DB00091,BE0003536,enzyme,inhibitor,unknown,weak,,DrugBank,drugbank_id,DB00091
DB00091,BE0002363,enzyme,inhibitor,unknown,weak,,DrugBank,drugbank_id,DB00091
DB00091,BE0002362,enzyme,substrate,unknown,,,DrugBank,drugbank_id,DB00091
DB00091,BE0002638,enzyme,inhibitor,unknown,unknown,,DrugBank,drugbank_id,DB00091
DB00091,BE0001032,transporter,substrate|inhibitor,unknown,,,DrugBank,drugbank_id,DB00091
DB00091,BE0000703,transporter,substrate|inhibitor,unknown,,,DrugBank,drugbank_id,DB00091
DB00091,BE0003643,transporter,inhibitor,unknown,,,DrugBank,drugbank_id,DB00091
DB00091,BE0003644,transporter,inhibitor,unknown,,,DrugBank,drugbank_id,DB00091
DB00091,BE0001066,transporter,substrate|inhibitor,unknown,,,DrugBank,drugbank_id,DB00091
DB00091,BE0003651,transporter,substrate|inhibitor,unknown,,,DrugBank,drugbank_id,DB00091
DB00091,BE0001069,transporter,substrate,unknown,,,DrugBank,drugbank_id,DB00091
DB00091,BE0001067,transporter,inhibitor,unknown,,,DrugBank,drugbank_id,DB00091
DB00091,BE0001004,transporter,substrate|inhibitor,unknown,,,DrugBank,drugbank_id,DB00091
DB00091,BE0003659,transporter,inhibitor,no,,,DrugBank,drugbank_id,DB00091
DB00092,BE0000719,target,inhibitor|antibody|regulator,yes,,,DrugBank,drugbank_id,DB00092
DB00092,BE0010569,target,modulator,unknown,,,DrugBank,drugbank_id,DB00092
DB00092,BE0002097,target,binder,unknown,,,DrugBank,drugbank_id,DB00092
DB00092,BE0000901,target,binder,unknown,,,DrugBank,drugbank_id,DB00092
DB00093,BE0000165,target,agonist,yes,,,DrugBank,drugbank_id,DB00093
DB00095,BE0009967,target,antibody,yes,,,DrugBank,drugbank_id,DB00095
DB00095,BE0000516,target,antibody,yes,,,DrugBank,drugbank_id,DB00095
DB00098,BE0003573,target,antagonist,yes,,,DrugBank,drugbank_id,DB00098
DB00098,BE0000846,target,binder,yes,,,DrugBank,drugbank_id,DB00098
DB00098,BE0002099,target,ligand,no,,,DrugBank,drugbank_id,DB00098
DB00098,BE0000516,target,antibody,yes,,,DrugBank,drugbank_id,DB00098
DB00098,BE0003576,target,inducer,yes,,,DrugBank,drugbank_id,DB00098
DB00098,BE0003575,target,inducer,yes,,,DrugBank,drugbank_id,DB00098
DB00098,BE0001155,target,antagonist,yes,,,DrugBank,drugbank_id,DB00098
DB00098,BE0000598,target,inhibitor,unknown,,,DrugBank,drugbank_id,DB00098
DB00098,BE0003488,target,inducer,yes,,,DrugBank,drugbank_id,DB00098
DB00099,BE0000793,target,agonist,yes,,,DrugBank,drugbank_id,DB00099
DB00099,BE0000394,enzyme,substrate,no,,,DrugBank,drugbank_id,DB00099
DB00100,BE0000216,target,activator,yes,,,DrugBank,drugbank_id,DB00100
DB00100,BE0001021,target,ligand,yes,,,DrugBank,drugbank_id,DB00100
DB00100,BE0000333,target,ligand,yes,,,DrugBank,drugbank_id,DB00100
DB00100,BE0000016,target,inhibitor,yes,,,DrugBank,drugbank_id,DB00100
DB00100,BE0002110,target,modulator,yes,,,DrugBank,drugbank_id,DB00100
DB00100,BE0000403,target,substrate,unknown,,,DrugBank,drugbank_id,DB00100
DB00103,BE0004830,target,metabolizer|ligand,yes,,,DrugBank,drugbank_id,DB00103
DB00103,BE0004494,transporter,substrate,unknown,,,DrugBank,drugbank_id,DB00103
DB00104,BE0010008,target,agonist,yes,,,DrugBank,drugbank_id,DB00104
DB00104,BE0003528,target,binder,unknown,,,DrugBank,drugbank_id,DB00104
DB00104,BE0001075,enzyme,inhibitor,unknown,unknown,,DrugBank,drugbank_id,DB00104
DB00104,BE0002638,enzyme,inhibitor,unknown,unknown,,DrugBank,drugbank_id,DB00104
DB00104,BE0000530,carrier,inhibitor,unknown,,,DrugBank,drugbank_id,DB00104
DB00104,BE0001032,transporter,substrate|inhibitor,unknown,,,DrugBank,drugbank_id,DB00104
DB00104,BE0001069,transporter,substrate,unknown,,,DrugBank,drugbank_id,DB00104
DB00105,BE0000385,target,agonist,yes,,,DrugBank,drugbank_id,DB00105
DB00105,BE0000661,target,agonist,yes,,,DrugBank,drugbank_id,DB00105
DB00105,BE0003450,target,modulator,unknown,,,DrugBank,drugbank_id,DB00105
DB00105,BE0002433,enzyme,inhibitor,unknown,unknown,,DrugBank,drugbank_id,DB00105
DB00107,BE0000844,target,agonist,unknown,,,DrugBank,drugbank_id,DB00107
DB00107,BE0000293,target,agonist,yes,,,DrugBank,drugbank_id,DB00107
DB00107,BE0000773,target,agonist,yes,,,DrugBank,drugbank_id,DB00107
DB00107,BE0000165,target,agonist,yes,,,DrugBank,drugbank_id,DB00107
DB00107,BE0002148,enzyme,substrate,unknown,,,DrugBank,drugbank_id,DB00107
DB00107,BE0010031,enzyme,substrate,unknown,,,DrugBank,drugbank_id,DB00107
DB00107,BE0000751,carrier,binder,unknown,,,DrugBank,drugbank_id,DB00107
DB00107,BE0010032,transporter,binder,unknown,,,DrugBank,drugbank_id,DB00107
DB00108,BE0000590,target,antibody,yes,,,DrugBank,drugbank_id,DB00108
DB00108,BE0000901,target,binder,unknown,,,DrugBank,drugbank_id,DB00108
DB00108,BE0000710,target,binder,unknown,,,DrugBank,drugbank_id,DB00108
DB00108,BE0001085,target,ligand,unknown,,,DrugBank,drugbank_id,DB00108
DB00110,BE0000686,target,binder,yes,,,DrugBank,drugbank_id,DB00110
DB00110,BE0000901,target,binder,unknown,,,DrugBank,drugbank_id,DB00110
