drugbank_id,name,type,cas_number,unii,atc_codes,groups,indication,mechanism_of_action,smiles,inchi_key,molecular_weight,logp,pubchem_cid,chembl_id,kegg_id
DB00013,Urokinase,biotech,9039-53-6,83G67E21XI,B01AD04,approved|investigational|withdrawn,"In Canada, urokinase is indicated for lysis of acute massive pulmonary emboli, acute thrombi obstructing coronary arteries, occlusive thromboemboli in peripheral arteries and grafts, and restoration of patency to intravenous catheters.[L12141]","Urokinase is a serine protease.[A191928] It cleaves plasminogen to form the active fibrinolytic protease, plasmin.[A191928]",,,,,,CHEMBL1201420,
DB00014,Goserelin,small molecule,65807-02-5,0F65R8P09N,L02AE03,approved|investigational,"Goserelin is indicated for:

- Use in combination with flutamide for the management of locally confined carcinoma of the prostate
- Palliative treatment of advanced carcinoma of the prostate
- The management of endometriosis
- Use as an endometrial-thinning agent prior to endometrial ablation for dysfunctional uterine bleeding
- Use in the palliative treatment of advanced breast cancer in pre- and perimenopausal women
- Management of estrogen receptor (ER)-positive early breast cancer in pre- and perimenopausal women. [L52780]",Goserelin is a synthetic decapeptide analogue of LHRH. Goserelin acts as a potent inhibitor of pituitary gonadotropin secretion when administered in the biodegradable formulation. The result is sustained suppression of LH and serum testosterone levels.,CC(C)C[C@H](NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@H](CC1=CN=CN1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)NNC(N)=O,BLCLNMBMMGCOAS-URPVMXJPSA-N,1269.4105,-5.1,5311128,CHEMBL1201247,D00573
DB00015,Reteplase,biotech,133652-38-7,DQA630RIE9,B01AD07,approved|withdrawn,"For lysis of acute pulmonary emboli, intracoronary emboli, and management of myocardial infarction.","Reteplase binds to fibrin rich clots via the fibronectin finger-like domain and the Kringle 2 domain. The protease domain then cleaves the Arg/Val bond in plasminogen to form plasmin. Plasmin in turn degrades the fibrin matrix of the thrombus, thereby exerting its thrombolytic action.",,,,,,CHEMBL2107885,
DB00016,Erythropoietin,biotech,11096-26-7,64FS3BFH5W,B03XA01,approved|investigational,"Indicated in adult and paediatric patients for the: 

- treatment of anemia due to Chronic Kidney Disease (CKD) in patients on dialysis and not on dialysis.
- treatment of anemia due to zidovudine in patients with HIV-infection. 
- treatment of anemia due to the effects of concomitant myelosuppressive chemotherapy, and upon initiation, there is a minimum of two additional months of planned chemotherapy.
- reduction of allogeneic RBC transfusions in patients undergoing elective, noncardiac, nonvascular surgery.","Erythropoietin or exogenous epoetin alfa binds to the erythropoietin receptor (EPO-R) and activates intracellular signal transduction pathways [A33079]. The affinity (Kd) of EPO for its receptor on human cells is ∼100 to 200 pM [A33080]. Upon binding to EPO-R on the surface of erythroid progenitor cells, a conformational change is induced which brings EPO-R-associated Janus family tyrosine protein kinase 2 (JAK2) molecules into close proximity. JAK2 molecules are subsequently activated via phosphorylation, then phosphorylate tyrosine residues in the cytoplasmic domain of the EPO-R that serve as docking sites for Src homology 2-domain-containing intracellular signaling proteins [A33079]. The signalling proteins include STAT5 that once phosphorylated by JAK2, dissociates from the EPO-R, dimerizes, and translocates to the nucleus where they serve as transcription factors to activate target genes involved in cell division or differentiation, including the apoptosis inhibitor Bcl-x [A33079]",,,,,,CHEMBL1201565,
DB00017,Salmon calcitonin,biotech,47931-85-1,7SFC6U2VI5,H05BA01,approved|investigational,"Used in the treatment of symptomatic Paget's disease for patients unresponsive to alternate treatments or intolerant to such treatments. In addition, it is used in emergency situations when serum calcium levels must be decreased quickly until the underlying condition is identified. It can also be added to existing therapeutic regimens for hypercalcemia such as intravenous fluids and furosemide, oral phosphate or corticosteroids, or other agents. Calcitonin can be used in patients with azotemia and cases where intravenous fluids would be contraindicated due to limited cardiac reserves. Also for the treatment of post-menopausal osteoporosis in women more than 5 years post-menopause.","Calcitonin binds to the calcitonin receptor (found primarily in osteoclasts) which then enhances the production of vitamin D producing enzymes (25-hydroxyvitamine D-24-hydroxylase), leading to greater calcium retention and enhanced bone density. Binding of calcitonin to its receptor also activates adenylyl cyclase and the phosphatidyl-inositol-calcium pathway.",,,,,,,D00249
DB00018,Interferon alfa-n3,biotech,,47BPR3V3MP,,approved,For the intralesional treatment of refractory or recurring external condylomata acuminata.,"Interferon alpha binds to type I interferon receptors (IFNAR1 and IFNAR2c) which, upon dimerization, activate two Jak (Janus kinase) tyrosine kinases (Jak1 and Tyk2). These transphosphorylate themselves and phosphorylate the receptors. The phosphorylated INFAR receptors then bind to Stat1 and Stat2 (signal transducers and activators of transcription) which dimerize and activate multiple (~100) immunomodulatory and antiviral proteins. Interferon alpha binds less stably to type I interferon receptors than interferon beta.",,,,,,CHEMBL2109047,
DB00019,Pegfilgrastim,biotech,208265-92-3,3A58010674,L03AA13,approved|investigational,"Pegfilgrastim is indicated to decrease the incidence of infection, as manifested by febrile neutropenia, in patients with non­ myeloid malignancies receiving myelosuppressive anti-cancer drugs associated with a clinically significant incidence of febrile neutropenia.[L44221,L52655]

It is also indicated to increase survival in patients acutely exposed to myelosuppressive doses of radiation (Hematopoietic Subsyndrome of Acute Radiation Syndrome).[L44221]","Neutrophils are short-lived immune cells that are highly susceptible to cell death following myelosuppressive chemotherapy. This marked reduction in neutrophil numbers during chemotherapy increases the risk of hospitalization, infection, and infection-related mortality. It also directly impacts the clinical outcome of patients if cases of febrile neutropenia requires dose reductions or schedule delay of chemotherapy, thus reducing the clinical efficacy of chemotherapy and patient benefit from receiving appropriate treatment.[A187631] 

G-CSF is an endogenous haematopoietic growth factor that stimulates granulopoietic cells of the neutrophil lineage. Pegfilgrastim mimics its biological actions and binds to the same G-CSF receptor expressed on cells of myeloid lineage, such as granulocytic precursors and mature neutrophils.[A29] Upon binding of the ligand, G-CSF receptor undergoes a conformational change and activates several downstream signalling pathways including JAK/STAT, PI3K/AKT ",,,,,,CHEMBL1201568,D06889
DB00020,Sargramostim,biotech,123774-72-1,5TAA004E22,L03AA09,approved|investigational,For the treatment of cancer and bone marrow transplant,Sargramostim binds to the Granulocyte-macrophage colony stimulating factor receptor (GM-CSF-R-alpha or CSF2R) which stimulates a JAK2 STAT1/STAT3 signal transduction pathway. This leads to the production of hemopoietic cells and neutrophils,,,,,,CHEMBL1201670,
DB00022,Peginterferon alfa-2b,biotech,215647-85-1,G8RGG88B68,L03AB10|L03AB60,approved|investigational,"Peginterferon alfa-2b is indicated for the treatment of HCV in combination with [DB00811] and a NS3/4A protease inhibitor for genotype 1 or without a NS3/4A protease inhibitor for genotypes 2-6 [FDA Label]. May be used as a monotherapy in patients with contraindications to or significant intolerance to other anti-viral therapies.

It is also indicated for the adjuvant treatment of melanoma with microscopic or gross nodal involvement within 84 days of definitive surgical resection, including complete lymphadenectomy.[L45334]",Peginterferon alfa-2b is derived from recombinant human interferon's alfa-2b moeity [FDA Label]. It binds to and activates human type 1 interferon receptors causing them to dimerize. This activates the JAK/STAT pathway. Activation of the JAK/STAT pathway increases expression of multiple genes in multiple tissues involved in the innate antiviral response. Peginterferon alfa-2b may also acitvate the nuclear factor κB pathway.,,,,,,CHEMBL1201561,
DB00023,Asparaginase Escherichia coli,biotech,9015-68-3,G4FQ3CKY5R,L01XX02,approved|investigational,Indicated as a component of a multi-agent chemotherapeutic regimen for the treatment of patients with acute lymphoblastic leukemia (ALL).[L39809],"Asparagine is a non-essential amino acid that maintains DNA, RNA and protein synthesis and promotes cell growth. While healthy and normal cells are capable of obtaining asparagine via dietary intake or synthesizing the asparagine from aspartate via asparagine synthetase activity, lymphoblastic leukemic cells lack the asparagine synthetase enzyme and cannot produce asparagine _de novo_ [A31999]. Thus, leukemic cells rely on exogenous source of asparagine for protein synthesis and cell survival [A31999]. L-asparagine from E. coli serves to deplete plasma levels of asparagine in leukemic cells by converting L-asparagine to L-aspartic acid and ammonia [A31999], leading to reduced reduced DNA, RNA and protein synthesis; inhibition of cell growth; and ultimately the activation of apoptotic cell-death mechanisms [A31999]. Normal cells, however, are able to synthesize asparagine and thus are affected less by the rapid depletion produced by treatment with the enzyme asparaginase [FDA Label].",,,,,,CHEMBL2108989,
DB00024,Thyrotropin alfa,biotech,194100-83-9,AVX3D5A4LM,H01AB01,approved|investigational|vet_approved,For detection of residueal or recurrent thyroid cancer,Thyrotropin Alfa binds to the thyrotropin receptors found on any residual thyroid cells or tissues. This stimulates radioactive iodine uptake for better radiodiagnostic imaging.,,,,,,CHEMBL1201533,
DB00025,"Antihemophilic factor, human recombinant",biotech,139076-62-3,P89DR4NY54,B02BD02,approved|investigational,"The human recombinant antihemophilic factor is indicated for use in adults and children with hemophilia A for the control and prevention of bleeding episodes, perioperative management, and routine prophylaxis to prevent or reduce the frequency of bleeding episodes.[L41025, L36130]",Antihemophilic factor (AHF) is a protein found in normal plasma which is necessary for clot formation. The administration of AHF provides an increase in plasma levels of AHF and can temporarily correct the coagulation defect of patients with hemophilia A (classical hemophilia).,,,,,,CHEMBL2108175,
DB00026,Anakinra,biotech,143090-92-0,9013DUQ28K,L04AC03,approved|investigational,"Anakinra is an interleukin-1 receptor antagonist indicated for the reduction in signs and symptoms and slowing the progression of structural damage in moderately to severely active rheumatoid arthritis (RA), in patients 18 years of age or older who have failed one or more disease-modifying antirheumatic drugs (DMARDs). Anakinra can be used alone or in combination with DMARDs other than Tumor Necrosis Factor (TNF) blocking agents.[L35415]

Anakinra is also indicated for the treatment of Neonatal-Onset Multisystem Inflammatory Disease (NOMID) and the treatment of Deficiency of Interleukin-1 Receptor Antagonist (DIRA).[L35415] Anakinra is also used off-label for the treatment of several inflammatory diseases.[A247000]

The FDA has issued an emergency use authorization (EUA) for the emergency use of anakinra for the treatment of coronavirus disease 2019 (COVID-19) in hospitalized adults with positive results of direct SARS-CoV-2 viral testing with pneumonia requiring supplemental oxyge","Interleukin-1 (IL-1) plays an important role in inflammation and immunological responses. Inflammatory stimuli trigger its production, and it binds to the IL-1 receptor to activate a wide variety of mechanisms. The activity of the IL-1 receptor is also regulated by a naturally occurring IL-1 receptor antagonist (IL-1Ra) that competes for the binding sites of the IL-1 receptor.[L35415] In rheumatoid arthritis (RA) patients, IL-1 levels are elevated, inducing cartilage degradation and the stimulation of bone resorption, and the amount of IL-1Ra in the synovium and synovial fluid of RA patients cannot compete with the high level of IL-1 present.[L35415] Anakinra is a recombinant, non-glycosylated form of IL-1Ra that competes with and inhibits IL-1 by binding to the IL-1 receptor; therefore, the administration of this drug reduces the inflammatory response in RA patients.[A246908,L35415] 

Anakinra can also be used in the treatment of neonatal-onset multisystem inflammatory disease (NOMI",,,,,,CHEMBL1201570,D02934
DB00027,Gramicidin D,small molecule,1405-97-6,5IE62321P4,R02AB30,approved|investigational,"For treatment of skin lesions, surface wounds and eye infections.","Gramicidin D binds to and inserts itself into bacterial membranes (with a strong preference to gram-positive cell membranes). This results in membrane disruption and permeabilization (it acts as a channel). This leads to (i) loss of intracellular solutes (e.g., K+ and amino acids); (ii) dissipation of the transmembrane potential; (iii) inhibition of respiration; (iv) a reduction in ATP pools; and (v) inhibition of DNA, RNA, and protein synthesis, which leads to cell death.",CC(C)C[C@@H](NC(=O)CNC(=O)[C@@H](NC=O)C(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@H](C(C)C)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)NCCO,NDAYQJDHGXTBJL-MWWSRJDJSA-N,1811.253,5.96,45267103,CHEMBL557217,D04369
DB00028,Human immunoglobulin G,biotech,308067-58-5,66Y330CJHS,,approved|investigational,"Human immunoglobulin G is indicated for the following conditions:

### Primary Immunodeficiency
- for the treatment of primary immunodeficiency in adult and pediatric patients[L39920, L39930, L39935, L39940, L39945, L39950, L39955, L39960, L39965, L39975, L39980, L40029, L40034, L40044]
- in combination with [hyaluronidase (human recombinant)] for the treatment of primary immunodeficiency in patients ≥2 years of age.[L42760]
- for the treatment of primary immunodeficiency in adults [L54066]

### Immune Thrombocytopenic Purpura (ITP)
- for the treatment of acute or chronic immune thrombocytopenic purpura in adult and pediatric patients[L39940, L39950, L39960, L39965, L39970, L39975, L39980]

### Chronic Inflammatory Demyelinating Polyneuropathy (CIDP)
- for the treatment of CIDP in adult patients[L39955, L39965, L39975, L39980, L40034]
- in combination with hyaluronidase (human recombinant) as a maintenance therapy in adults with chronic inflammatory demyelinating polyneurop","IVIg interacts with a number of different components of the immune system, including cytokines, complement, Fc receptors and several cell surface immunocompetent molecules. IVIg also impacts different effector cells of the immune system (B and T lymphocytes, dendritic cells, etc.) and regulates a wide range of genes. Its main mechanism of actions are believed to be Fc-dependent and F(ab')2-dependent. IVIg competitively blocks gamma Fc receptors, preventing the binding and ingestion of phagocytes and suppressing platelet depletion. IVIg contains a number of different antobodies, which prevent infection by attaching to the surface of invading pathogens and aiding in their disposal before they can infect cells. Antibodies remove pathogens via complement activation, agglutination or precipitation, pathogen receptor blocking, macrophage “tagging” or neutralization (via binding) of pathogen toxins. Intact IVIg and F(ab′)2 fragments of IVIg can also neutralize the activity of various autoanti",,,,,,,
DB00029,Anistreplase,biotech,81669-57-0,5O8V541HJ6,B01AD03,approved|withdrawn,"For lysis of acute pulmonary emboli, intracoronary emboli and management of myocardial infarction",Anistreplase cleaves the Arg/Val bond in plasminogen to form plasmin. This in turn leads to the degradation of blood clots.,,,,,,CHEMBL2108250,
DB00030,Insulin human,biotech,11061-68-0,1Y17CTI5SR,A10AC01|A10AE01|A10AB01|A10AD01|A10AF01,approved|investigational,Human insulin is indicated to improve glycemic control in adults and pediatric patients with diabetes mellitus.,"The primary activity of insulin is the regulation of glucose metabolism. Insulin promotes glucose and amino acid uptake into muscle and adipose tissues, and other tissues except brain and liver. It also has an anabolic role in stimulating glycogen, fatty acid, and protein synthesis. Insulin inhibits gluconeogenesis in the liver.
Insulin binds to the insulin receptor (IR), a heterotetrameric protein consisting of two extracellular alpha units and two transmembrane beta units. The binding of insulin to the alpha subunit of IR stimulates the tyrosine kinase activity intrinsic to the beta subunit of the receptor. The bound receptor is able to autophosphorylate and phosphorylate numerous intracellular substrates such as insulin receptor substrates (IRS) proteins, Cbl, APS, Shc and Gab 1. These activated proteins, in turn, lead to the activation of downstream signaling molecules including PI3 kinase and Akt. Akt regulates the activity of glucose transporter 4 (GLUT4) and protein kinase C (P",,,,,,,D03230
DB00031,Tenecteplase,biotech,191588-94-0,WGD229O42W,B01AD11,approved|investigational,For treatment of myocardial infarction and lysis of intracoronary emboli,"Tenecteplase binds to fibrin rich clots via the fibronectin finger-like domain and the Kringle 2 domain. The protease domain then cleaves the Arg/Val bond in plasminogen to form plasmin. Plasmin in turn degrades the fibrin matrix of the thrombus, thereby exerting its thrombolytic action.",,,,,,CHEMBL2108791,D06070
DB00033,Interferon gamma-1b,biotech,98059-61-1,21K6M2I7AG,,approved|investigational,Interferon gamma-1b is used for the treatment of Chronic granulomatous disease and Osteopetrosis.,"Binds directly to the type II interferon gamma receptor IFNGR1, leading to a complex of IFNGR1 and IFNGR2. This activates JAK1 and JAK2 kinases which form a STAT1 docking site. This leads to STAT1 phosphorylation, nuclear translocation and initiation of gene transcription of multiple immune-related genes.",,,,,,CHEMBL1201564,
DB00034,Interferon alfa-2a,biotech,76543-88-9,47RRR83SK7,L03AB04,approved|investigational|withdrawn,"For the treatment of chronic hepatitis C, hairy cell leukemia, AIDS-related Kaposi's sarcoma, and chronic myelogenous leukemia. Also for the treatment of oral warts arising from HIV infection.","Interferon alpha binds to type I interferon receptors (IFNAR1 and IFNAR2c) which, upon dimerization, activate two Jak (Janus kinase) tyrosine kinases (Jak1 and Tyk2). These transphosphorylate themselves and phosphorylate the receptors. The phosphorylated INFAR receptors then bind to Stat1 and Stat2 (signal transducers and activators of transcription)which dimerize and activate multiple (~100) immunomodulatory and antiviral proteins. Interferon alpha binds less stably to type I interferon receptors than interferon beta.",,,,,,,
