name,mesh_id,source
Increased Coagulation Activity,,DrugBank
Oligosaccharides,D009844,DrugBank
Polysaccharides,D011134,DrugBank
Protein Precursors,D011498,DrugBank
Interleukin Inhibitors,D000088902,DrugBank
Interleukin-1 Receptor Antagonist,,DrugBank
Anti-Bacterial Agents,D000900,DrugBank
"Anti-Infective Agents, Local",D000891,DrugBank
P-glycoprotein inhibitors,,DrugBank
P-glycoprotein substrates,,DrugBank
"Peptides, Cyclic",D010456,DrugBank
Pore Forming Cytotoxic Proteins,D052899,DrugBank
Throat Preparations,,DrugBank
Antigen Neutralization,,DrugBank
Human Immunoglobulin G,,DrugBank
Immunoglobulin G,D007074,DrugBank
"Immunoglobulins, Intravenous",D016756,DrugBank
Passively Acquired Immunity,,DrugBank
Serum,D044967,DrugBank
Alimentary Tract and Metabolism,,DrugBank
Blood Glucose Lowering Agents,D007004,DrugBank
Cytochrome P-450 CYP1A2 Inducers,D065694,DrugBank
Cytochrome P-450 CYP1A2 Inducers (strength unknown),,DrugBank
Drugs Used in Diabetes,,DrugBank
Hypoglycemia-Associated Agents,,DrugBank
Insulin,D007328,DrugBank
"Insulin, metabolism",,DrugBank
"Insulin, Short-Acting",D061266,DrugBank
"Insulins and Analogues for Injection, Fast-Acting",,DrugBank
Pancreatic Hormones,D010187,DrugBank
Interferon gamma,,DrugBank
Lymphokines,D008222,DrugBank
Macrophage-Activating Factors,D016215,DrugBank
Agents that produce hypertension,,DrugBank
Antidiuretic Agents,D050034,DrugBank
Arginine Vasopressin,D001127,DrugBank
Coagulants,D003029,DrugBank
Factor VIII Activator,,DrugBank
Increased Coagulation Factor VIII Activity,,DrugBank
Increased Coagulation Factor VIII Concentration,,DrugBank
Natriuretic Agents,D045283,DrugBank
Pituitary,,DrugBank
"Pituitary Hormones, Posterior",D010909,DrugBank
Posterior Pituitary Lobe Hormones,,DrugBank
Vasopressin Analog,,DrugBank
Vasopressin and Analogues,,DrugBank
Vasopressins,D014667,DrugBank
Factor VII,D005167,DrugBank
"Factor VIIa, antagonists & inhibitors",,DrugBank
Increased Coagulation Factor IX Activity,,DrugBank
Increased Coagulation Factor X Activity,,DrugBank
Detoxifying Agents for Antineoplastic Treatment,,DrugBank
Fibroblast Growth Factors,D005346,DrugBank
Increased Epithelial Proliferation,,DrugBank
Mucocutaneous Epithelial Cell Growth Factor,,DrugBank
Antihypoglycemic Agent,,DrugBank
Decreased GI Motility,,DrugBank
Decreased GI Smooth Muscle Tone,,DrugBank
Decreased Glycolysis,,DrugBank
Gastrointestinal Agents,D005765,DrugBank
Gastrointestinal Hormones,D005768,DrugBank
Gastrointestinal Motility Inhibitor,,DrugBank
"Glucagon, antagonists & inhibitors",,DrugBank
Glycogenolytic Agents,,DrugBank
Glycogenolytic Hormones,,DrugBank
Increased Gluconeogenesis,,DrugBank
Increased Glycogenolysis,,DrugBank
Proglucagon,D052336,DrugBank
Anti-HIV Agents,D019380,DrugBank
Cytochrome P-450 CYP2E1 Inhibitors,D065691,DrugBank
Cytochrome P-450 CYP2E1 Inhibitors (strength unknown),,DrugBank
Cytochrome P-450 CYP3A Inhibitors,D065692,DrugBank
Cytochrome P-450 CYP3A4 Inhibitors,D065692,DrugBank
Cytochrome P-450 CYP3A4 Inhibitors (strength unknown),,DrugBank
Hypotensive Agents,,DrugBank
Increased Lymphocyte Activation,,DrugBank
Increased Lymphocyte Cell Production,,DrugBank
Lymphocyte Growth Factor,,DrugBank
Acetylcholine Release Inhibitors,D065087,DrugBank
Agents that produce neuromuscular block (indirect),,DrugBank
Amphibian Venoms,D000664,DrugBank
Anti-Dyskinesia Agents,D018726,DrugBank
Bacterial Proteins,D001426,DrugBank
Botulinum Toxins,D001905,DrugBank
Central Nervous System Agents,D002491,DrugBank
Central Nervous System Depressants,D002492,DrugBank
Cholinergic Agents,D018678,DrugBank
Ganglion Blockers,D005730,DrugBank
Membrane Transport Modulators,D049990,DrugBank
Metalloendopeptidases,D008666,DrugBank
Metalloproteases,D045726,DrugBank
Muscle Relaxants,,DrugBank
"Muscle Relaxants, Peripherally Acting Agents",,DrugBank
Musculo-Skeletal System,,DrugBank
Neurotoxins,D009498,DrugBank
Neurotransmitter Agents,D018377,DrugBank
Other Miscellaneous Therapeutic Agents,,DrugBank
Venoms,D014688,DrugBank
Agents to Treat Airway Disease,,DrugBank
Anti-Allergic Agents,D018926,DrugBank
Anti-Asthmatic Agents,D018927,DrugBank
Anti-IgE,,DrugBank
Antigens,D000941,DrugBank
Decreased IgE Activity,,DrugBank
IgE-directed Antibody Interactions,,DrugBank
"Respiratory Agents, Miscellaneous",,DrugBank
Respiratory System Agents,D019141,DrugBank
Insulin Analog,,DrugBank
Antimetabolites,D000963,DrugBank
Hypolipidemic Agents,D000960,DrugBank
"Insulin, Long-Acting",D049528,DrugBank
Lipid Regulating Agents,D057847,DrugBank
Collagen-specific Enzyme,,DrugBank
Collagenases,D017364,DrugBank
"Microbial Collagenase, antagonists & inhibitors",,DrugBank
Misc. Skin and Mucous Membrane Agents,,DrugBank
Preparations for Treatment of Wounds and Ulcers,,DrugBank
Antigout Preparations,D006074,DrugBank
Methemoglobinemia Associated Agents,,DrugBank
Oxidoreductases,D010088,DrugBank
Urate Oxidase,D014503,DrugBank
Uric Acid-specific Enzyme,,DrugBank
Miscellaneous GI Drugs,,DrugBank
Tumor Necrosis Factor Receptor Blocking Activity,,DrugBank
Cytochrome P-450 CYP2C19 Inhibitors,D065689,DrugBank
Cytochrome P-450 CYP2C19 inhibitors (strength unknown),,DrugBank
Cytochrome P-450 CYP2C19 Inhibitors (weak),,DrugBank
Growth Hormone,D013006,DrugBank
"Growth Hormone, antagonists & inhibitors",,DrugBank
"Human Growth Hormone, antagonists & inhibitors",,DrugBank
Recombinant Human Growth Hormone,,DrugBank
Somatotropin Agonists,,DrugBank
Somatropin and Somatropin Agonists,,DrugBank
Antiplatelet agents,D010975,DrugBank
Glycoprotein IIb/IIIa Receptor-directed Monoclonal Antibodies,,DrugBank
Immunoglobulin Fab Fragments,D007140,DrugBank
Peptide Fragments,D010446,DrugBank
Platelet Aggregation Inhibitors Excl. Heparin,,DrugBank
Blood Coagulation Factor Inhibitors,D019774,DrugBank
Enzyme Precursors,D004792,DrugBank
Recombinant Activated Protein C,,DrugBank
Antibody-drug Conjugates,D018796,DrugBank
Calicheamicins,D000080084,DrugBank
CD33-directed Antibody Interactions,,DrugBank
CD33-directed Cytotoxin,,DrugBank
Glycosides,D006027,DrugBank
Immunoconjugates,D018796,DrugBank
Immunotoxins,D000922,DrugBank
Noxae,D009676,DrugBank
Toxic Actions,D004786,DrugBank
Acetates,D000085,DrugBank
"Acids, Acyclic",D000144,DrugBank
Amines,D000588,DrugBank
Diagnostic Radiopharmaceuticals,,DrugBank
Indium (111In) Compounds,,DrugBank
Indium Radioisotopes,D007205,DrugBank
Polyamines,D011073,DrugBank
Tumour Detection,,DrugBank
Acute-Phase Proteins,D000209,DrugBank
Alpha-Globulins,D000510,DrugBank
Antifibrinolytic Agents,D000933,DrugBank
Human alpha-1 Proteinase Inhibitor,,DrugBank
Proteinase Inhibitors,,DrugBank
"Proteinase Inhibitory Proteins, Secretory",D053491,DrugBank
Trypsin Inhibitors,D014361,DrugBank
Delayed-Action Preparations,D003692,DrugBank
Immunomodulatory Agents,D000091369,DrugBank
Interferon-beta,D016899,DrugBank
Recombinant Human Interferon beta,,DrugBank
Aminohydrolases,D000619,DrugBank
Bovine Intestinal Adenosine Deaminase,,DrugBank
Nucleoside Deaminases,D009700,DrugBank
Severe Combined Immunodeficiency,D016511,DrugBank
Decreased Platelet Aggregation,,DrugBank
Follicle Stimulating Hormone,D005640,DrugBank
Genito Urinary System and Sex Hormones,,DrugBank
"Gonadotropins, Pituitary",D006065,DrugBank
Sex Hormones and Modulators of the Genital System,,DrugBank
"Arginine Vasopressin, analogs & derivatives",,DrugBank
Decreased Diuresis,,DrugBank
Vasoconstriction,D014661,DrugBank
Vasoconstrictor Agents,D014662,DrugBank
Glycoside Hydrolases,D006026,DrugBank
HER2 (Human Epidermal Growth Factor Receptor 2) inhibitors,,DrugBank
HER2 Receptor Antagonists,,DrugBank
HER2/Neu/cerbB2 Antagonists,,DrugBank
"Antibodies, Monoclonal, Murine-Derived",D058846,DrugBank
CD20 (Clusters of Differentiation 20) inhibitors,,DrugBank
CD20-directed Antibody Interactions,,DrugBank
CD20-directed Cytolytic Antibody,,DrugBank
Interleukin 2 Receptor-directed Antibody Interactions,,DrugBank
Interleukin-2 Receptor Antagonist,,DrugBank
Interleukin-2 Receptor Blocking Antibody,,DrugBank
CD3 Blocker Immunosuppressant,,DrugBank
CD3 Receptor Antagonists,,DrugBank
CD3-directed Antibody Interactions,,DrugBank
Decreased Immunologic Activity,,DrugBank
Selective Immunosuppressants,,DrugBank
Antidotes,D000931,DrugBank
Digoxin Binding Activity,,DrugBank
"Antigens, CD20",D018951,DrugBank
CD20-directed Radiotherapeutic Antibody,,DrugBank
"Lymphoma, B-Cell",D016393,DrugBank
Radiopharmaceutical Activity,,DrugBank
Therapeutic Radiopharmaceuticals,,DrugBank
Various Therapeutic Radiopharmaceuticals,,DrugBank
Yttrium Radioisotopes,D015021,DrugBank
Antibacterials for Systemic Use,,DrugBank
Antiinfectives for Systemic Use,,DrugBank
Cyclic Lipopeptides,,DrugBank
Lipids,D008055,DrugBank
Lipopeptide Antibacterial,,DrugBank
Lipopeptides,D055666,DrugBank
Iodine (131I) Compounds,,DrugBank
Radioimmunotherapy,D016499,DrugBank
Acromegaly,D000172,DrugBank
Cholinesterase Inhibitors,D002800,DrugBank
Cytochrome P-450 CYP3A Inducers,D065701,DrugBank
Cytochrome P-450 CYP3A4 Inducers,D065701,DrugBank
Cytochrome P-450 CYP3A4 Inducers (strength unknown),,DrugBank
Growth Hormone Receptor Antagonist,,DrugBank
Growth Hormone Receptor Antagonists,,DrugBank
"Botulinum Toxins, Type A",D019274,DrugBank
Neuromuscular Agents,D009465,DrugBank
Neuromuscular Blocking Agents,D009466,DrugBank
Peripheral Nervous System Agents,D018373,DrugBank
Carboxylic Ester Hydrolases,D002265,DrugBank
"Digestives, Incl. Enzymes",,DrugBank
Enzyme Preparations,,DrugBank
Esterases,D004950,DrugBank
Lipase,D008049,DrugBank
Pancreatic Extracts,D010184,DrugBank
Tissue Extracts,D014020,DrugBank
"Streptokinase, antagonists & inhibitors",,DrugBank
CD52-directed Antibody Interactions,,DrugBank
CD52-directed Cytolytic Antibody,,DrugBank
Indicators and Reagents,D007202,DrugBank
Laboratory Chemicals,D019995,DrugBank
Prostatic Neoplasms,D011471,DrugBank
Agents causing hyperkalemia,,DrugBank
Agents that reduce seizure threshold,,DrugBank
BCRP/ABCG2 Inhibitors,,DrugBank
BSEP/ABCB11 Inhibitors,,DrugBank
BSEP/ABCB11 Substrates,,DrugBank
BSEP/ABCB11 Substrates with a Narrow Therapeutic Index,,DrugBank
Calcineurin Inhibitor Immunosuppressant,,DrugBank
Calcineurin Inhibitors,D065095,DrugBank
Cyclosporins,D003524,DrugBank
Cytochrome P-450 CYP2D6 Inhibitors (moderate),,DrugBank
Cytochrome P-450 CYP3A Substrates,,DrugBank
Cytochrome P-450 CYP3A4 Inhibitors (moderate),,DrugBank
Cytochrome P-450 CYP3A4 Substrates,,DrugBank
Cytochrome P-450 CYP3A4 Substrates with a Narrow Therapeutic Index,,DrugBank
Cytochrome P-450 CYP3A5 Substrates,,DrugBank
Cytochrome P-450 CYP3A5 Substrates with a Narrow Therapeutic Index,,DrugBank
Cytochrome P-450 Substrates,,DrugBank
Nephrotoxic agents,,DrugBank
Neurotoxic agents,,DrugBank
NTCP Inhibitors,,DrugBank
OAT1/SLC22A6 inhibitors,,DrugBank
OAT1/SLC22A6 Substrates,,DrugBank
OATP1B1/SLCO1B1 Inhibitors,,DrugBank
OATP1B1/SLCO1B1 Substrates,,DrugBank
OATP1B3 inhibitors,,DrugBank
P-glycoprotein substrates with a Narrow Therapeutic Index,,DrugBank
CD2-directed Antibody Interactions,,DrugBank
CD2-directed LFA-3/Fc Fusion Protein,,DrugBank
CD58 Antigens,D018968,DrugBank
Membrane Glycoproteins,D008562,DrugBank
"Antigens, CD11",D018845,DrugBank
CD11a-directed Antibody Interactions,,DrugBank
CD11a-directed Humanized IgG1 Antibody,,DrugBank
Antibody-Surface Protein Interactions,,DrugBank
Blood,D001769,DrugBank
Body Fluids,D001826,DrugBank
Fluids and Secretions,D005441,DrugBank
Immune Sera,D007106,DrugBank
Increased T Lymphocyte Destruction,,DrugBank
Lymphocyte Function Alteration,,DrugBank
Galactosidases,D005696,DrugBank
Hydrolytic Lysosomal Neutral Glycosphingolipid-specific Enzyme,,DrugBank
Protein Isoforms,D020033,DrugBank
Bradycardia-Causing Agents,,DrugBank
Potential QTc-Prolonging Agents,,DrugBank
Somatostatin and Analogues,,DrugBank
Somatostatin Receptor Agonists,,DrugBank
Increased Uterine Smooth Muscle Contraction or Tone,,DrugBank
Oxytocin and Analogues,,DrugBank
"Oxytocin, analogs & derivatives",,DrugBank
Uterotonic agents,D010120,DrugBank
Integrin Receptor Antagonist,,DrugBank
Multiple Sclerosis,D009103,DrugBank
Antiviral monoclonal antibodies,,DrugBank
Fusion Protein Inhibitors,,DrugBank
Immune Sera and Immunoglobulins,,DrugBank
Respiratory Syncytial Virus Anti-F Protein Monoclonal Antibody,,DrugBank
Specific Immunoglobulins,,DrugBank
Angiogenesis Inhibitors,D020533,DrugBank
Angiogenesis Modulating Agents,D043924,DrugBank
Antineovascularisation Agents,,DrugBank
Experimental Unapproved Treatments for COVID-19,,DrugBank
Growth Inhibitors,D006131,DrugBank
Ocular Vascular Disorder Agents,,DrugBank
Vascular Endothelial Growth Factor Inhibitor,,DrugBank
Vascular Endothelial Growth Factor Inhibitors,,DrugBank
Vascular Endothelial Growth Factor-directed Antibody Interactions,,DrugBank
VEGF/VEGFR (Vascular Endothelial Growth Factor / -Receptor) inhibitors,,DrugBank
VEGF/VEGFR (Vascular Endothelial Growth Factor) inhibitors,,DrugBank
Organometallic Compounds,D009942,DrugBank
Technetium (99Mtc) Compounds,,DrugBank
Corrinoids,D045728,DrugBank
"Diet, Food, and Nutrition",D000066888,DrugBank
Food,D005502,DrugBank
Growth Substances,D006133,DrugBank
"Heterocyclic Compounds, Fused-Ring",D000072471,DrugBank
Micronutrients,D018977,DrugBank
"Vitamin B 12, biosynthesis",,DrugBank
Vitamin B Complex,D014803,DrugBank
Vitamin B12 and Folic Acid,,DrugBank
Vitamins,D014815,DrugBank
Coenzymes,D003067,DrugBank
Dietary Supplements,D019587,DrugBank
Folic Acid and Derivatives,,DrugBank
Pteridines,D011621,DrugBank
Pterins,D011622,DrugBank
Supplements,,DrugBank
Amino Acids,D000596,DrugBank
Amino Acids and Derivatives,,DrugBank
"Amino Acids, Sulfur",D000603,DrugBank
Cytochrome P-450 CYP2E1 Inhibitors (weak),,DrugBank
"Nucleic Acids, Nucleotides, and Nucleosides",D009706,DrugBank
Nucleosides,D009705,DrugBank
Purine Nucleosides,D011684,DrugBank
Purines,D011687,DrugBank
Ribonucleosides,D012263,DrugBank
Sulfur Compounds,D013457,DrugBank
"Amino Acids, Aromatic",D024322,DrugBank
"Amino Acids, Cyclic",D000598,DrugBank
"Amino Acids, Essential",D000601,DrugBank
Proteinogenic Amino Acids,,DrugBank
Amino Alcohols,D000605,DrugBank
Analgesics,D000700,DrugBank
Ethanolamines,D004983,DrugBank
Lipotropic Agents,D008082,DrugBank
Nervous System,D009420,DrugBank
Nootropic Agents,D018697,DrugBank
OCT1 inhibitors,,DrugBank
OCT1 substrates,,DrugBank
OCT2 Inhibitors,,DrugBank
OCT2 Substrates,,DrugBank
Onium Compounds,D009861,DrugBank
Other Nutritional Agents,,DrugBank
Quaternary Ammonium Compounds,D000644,DrugBank
Salicylic Acid and Derivatives,,DrugBank
Trimethyl Ammonium Compounds,D050337,DrugBank
Antioxidants,D000975,DrugBank
Gastrointestinal Acidifying Agents,,DrugBank
Gynecological Antiinfectives and Antiseptics,,DrugBank
Hydroxy Acids,D006880,DrugBank
Organic Acids,,DrugBank
Physiological Phenomena,D010829,DrugBank
Protective Agents,D020011,DrugBank
Sugar Acids,D013400,DrugBank
Urinary Acidifying Agents,,DrugBank
Vitamin C and analogues,D001205,DrugBank
Biogenic Amines,D001679,DrugBank
Biogenic Polyamines,D015317,DrugBank
Antipsoriatics,,DrugBank
Antipsoriatics for Topical Use,,DrugBank
Cholestanes,D002776,DrugBank
Cholestenes,D002782,DrugBank
Fused-Ring Compounds,D000072473,DrugBank
Membrane Lipids,D008563,DrugBank
Secosteroids,D012632,DrugBank
Steroids,D013256,DrugBank
Sterols,D013261,DrugBank
Vitamin D and Analogues,D004100,DrugBank
Vitamins (Fat Soluble),,DrugBank
Dicarboxylic Acids,D003998,DrugBank
OAT3/SLC22A8 Substrates,,DrugBank
Succinates,D013386,DrugBank
Flavins,D005415,DrugBank
"Pigments, Biological",D010860,DrugBank
Radiation-Sensitizing Agents,D011838,DrugBank
Acid Preparations,,DrugBank
"Amino Acids, Acidic",D024342,DrugBank
"Amino Acids, Dicarboxylic",D000600,DrugBank
Excitatory Amino Acids,D018846,DrugBank
Glutamates,D005971,DrugBank
Blood Substitutes and Perfusion Solutions,,DrugBank
Glycine Agents,D018684,DrugBank
Irrigating Solutions,,DrugBank
Anti-Parathyroid Agents,,DrugBank
Antidepressive Agents,D000928,DrugBank
"Antidepressive Agents, Second-Generation",D018687,DrugBank
Miscellaneous Antidepressants,,DrugBank
Psychoanaleptics,,DrugBank
Psychotropic Drugs,D011619,DrugBank
Serotonergic Drugs Shown to Increase Risk of Serotonin Syndrome,D020230,DrugBank
Pyrimidines,D011743,DrugBank
Thiazoles,D013844,DrugBank
"Amino Acids, Diamino",D000599,DrugBank
Autacoids,D012898,DrugBank
BCRP/ABCG2 Substrates,,DrugBank
Diagnostic Agents,,DrugBank
"Anti-Inflammatory Agents, Non-Steroidal",D000894,DrugBank
"Anti-Inflammatory Agents, Non-Steroidal (Non-Selective)",,DrugBank
Dietary Fats,D004041,DrugBank
"Dietary Fats, Unsaturated",D004042,DrugBank
Eicosanoids,D015777,DrugBank
Fats,D005223,DrugBank
Fatty Acids,D005227,DrugBank
"Fatty Acids, Omega-3",D015525,DrugBank
"Fatty Acids, Unsaturated",D005231,DrugBank
Fish Oils,D005395,DrugBank
Non COX-2 selective NSAIDS,,DrugBank
Oils,D009821,DrugBank
Basic Ointments and Protectants,,DrugBank
Benzopyrans,D001578,DrugBank
Pyrans,D011714,DrugBank
Vitamin E,D014810,DrugBank
"Vitamin E, analogs & derivatives",,DrugBank
Analogs/Derivatives,,DrugBank
Antimycobacterials,,DrugBank
Drugs for Treatment of Tuberculosis,D000995,DrugBank
Picolines,D010847,DrugBank
Pyridines,D011725,DrugBank
Thiophenes,D013876,DrugBank
Various Alimentary Tract and Metabolism Products,,DrugBank
Dipeptides,D004151,DrugBank
Flavoring Agents,D005421,DrugBank
Food Additives,D005503,DrugBank
Food Ingredients,D000074385,DrugBank
OAT3/SLC22A8 Inhibitors,,DrugBank
Sweetening Agents,D013549,DrugBank
"Cholecalciferol, antagonists & inhibitors",,DrugBank
Cytochrome P-450 CYP2C8 Inhibitors,D065687,DrugBank
Cytochrome P-450 CYP2C8 Inhibitors (strength unknown),,DrugBank
Drugs Affecting Bone Structure and Mineralization,,DrugBank
Drugs for Treatment of Bone Diseases,,DrugBank
Cytochrome P-450 CYP2A6 Inhibitors,,DrugBank
Cytochrome P-450 CYP2A6 Inhibitors (strength unknown),,DrugBank
Cytochrome P-450 CYP2B6 Inhibitors,D065686,DrugBank
Cytochrome P-450 CYP2B6 Inhibitors (strength unknown),,DrugBank
Cytochrome P-450 CYP2C9 Inhibitors,D065688,DrugBank
Cytochrome P-450 CYP2C9 Inhibitors (strength unknown),,DrugBank
Cytochrome P-450 CYP2D6 Inhibitors (strength unknown),,DrugBank
Cytochrome P-450 CYP3A5 Inhibitors,D065692,DrugBank
Cytochrome P-450 CYP3A5 Inhibitors (strength unknown),,DrugBank
Cytochrome P-450 CYP3A7 Inhibitors,D065692,DrugBank
Cytochrome P-450 CYP3A7 Inhibitors (strength unknown),,DrugBank
