drug_id,pathway_id,source
DB00118,SMP0000179,DrugBank
DB00118,SMP0000188,DrugBank
DB00118,SMP0000190,DrugBank
DB00118,SMP0000191,DrugBank
DB00118,SMP0000207,DrugBank
DB00118,SMP0000208,DrugBank
DB00118,SMP0000214,DrugBank
DB00118,SMP0000218,DrugBank
DB00118,SMP0000221,DrugBank
DB00118,SMP0000222,DrugBank
DB00118,SMP0000223,DrugBank
DB00118,SMP0000242,DrugBank
DB00118,SMP0000244,DrugBank
DB00118,SMP0000327,DrugBank
DB00118,SMP0000340,DrugBank
DB00118,SMP0000341,DrugBank
DB00118,SMP0000360,DrugBank
DB00118,SMP0000361,DrugBank
DB00118,SMP0000362,DrugBank
DB00118,SMP0000363,DrugBank
DB00118,SMP0000427,DrugBank
DB00118,SMP0000428,DrugBank
DB00118,SMP0000429,DrugBank
DB00118,SMP0000430,DrugBank
DB00118,SMP0000445,DrugBank
DB00118,SMP0000465,DrugBank
DB00118,SMP0000484,DrugBank
DB00118,SMP0000485,DrugBank
DB00118,SMP0000494,DrugBank
DB00118,SMP0000497,DrugBank
DB00118,SMP0000498,DrugBank
DB00118,SMP0000504,DrugBank
DB00118,SMP0000505,DrugBank
DB00118,SMP0000506,DrugBank
DB00118,SMP0000507,DrugBank
DB00118,SMP0000533,DrugBank
DB00118,SMP0000570,DrugBank
DB00118,SMP0000609,DrugBank
DB00118,SMP0000715,DrugBank
DB00118,SMP0000721,DrugBank
DB00118,SMP0002313,DrugBank
DB00118,SMP0014212,DrugBank
DB00118,SMP0014216,DrugBank
DB00118,SMP0014217,DrugBank
DB00118,SMP0014218,DrugBank
DB00118,SMP0014219,DrugBank
DB00118,SMP0014220,DrugBank
DB00118,SMP0014221,DrugBank
DB00118,SMP0014222,DrugBank
DB00118,SMP0014223,DrugBank
DB00118,SMP0014224,DrugBank
DB00118,SMP0014225,DrugBank
DB00118,SMP0014226,DrugBank
DB00118,SMP0014227,DrugBank
DB00118,SMP0014228,DrugBank
DB00118,SMP0014229,DrugBank
DB00118,SMP0014230,DrugBank
DB00118,SMP0014231,DrugBank
DB00118,SMP0014232,DrugBank
DB00118,SMP0014233,DrugBank
DB00118,SMP0014234,DrugBank
DB00118,SMP0014235,DrugBank
DB00118,SMP0014236,DrugBank
DB00118,SMP0014237,DrugBank
DB00118,SMP0014238,DrugBank
DB00118,SMP0014239,DrugBank
DB00118,SMP0014240,DrugBank
DB00118,SMP0014241,DrugBank
DB00118,SMP0014242,DrugBank
DB00118,SMP0014243,DrugBank
DB00118,SMP0014244,DrugBank
DB00118,SMP0014245,DrugBank
DB00118,SMP0014246,DrugBank
DB00118,SMP0014247,DrugBank
DB00118,SMP0014248,DrugBank
DB00118,SMP0014249,DrugBank
DB00118,SMP0014250,DrugBank
DB00118,SMP0014251,DrugBank
DB00118,SMP0014252,DrugBank
DB00118,SMP0014253,DrugBank
DB00118,SMP0014254,DrugBank
DB00118,SMP0014255,DrugBank
DB00118,SMP0014256,DrugBank
DB00118,SMP0014257,DrugBank
DB00118,SMP0014258,DrugBank
DB00118,SMP0014259,DrugBank
DB00118,SMP0014260,DrugBank
DB00118,SMP0014261,DrugBank
DB00118,SMP0014262,DrugBank
DB00118,SMP0014263,DrugBank
DB00118,SMP0014264,DrugBank
DB00118,SMP0014265,DrugBank
DB00118,SMP0014266,DrugBank
DB00118,SMP0014267,DrugBank
DB00118,SMP0014268,DrugBank
DB00118,SMP0014269,DrugBank
DB00118,SMP0014270,DrugBank
DB00118,SMP0014271,DrugBank
DB00118,SMP0014272,DrugBank
DB00118,SMP0014273,DrugBank
DB00118,SMP0014274,DrugBank
DB00118,SMP0014275,DrugBank
DB00118,SMP0014276,DrugBank
DB00118,SMP0014277,DrugBank
DB00118,SMP0014278,DrugBank
DB00118,SMP0014279,DrugBank
DB00118,SMP0014280,DrugBank
DB00118,SMP0014281,DrugBank
DB00118,SMP0014282,DrugBank
DB00118,SMP0014283,DrugBank
DB00118,SMP0014284,DrugBank
DB00118,SMP0014285,DrugBank
DB00118,SMP0014286,DrugBank
DB00118,SMP0014287,DrugBank
DB00118,SMP0014288,DrugBank
DB00118,SMP0014289,DrugBank
DB00118,SMP0014290,DrugBank
DB00118,SMP0014291,DrugBank
DB00118,SMP0014292,DrugBank
DB00118,SMP0014293,DrugBank
DB00118,SMP0014294,DrugBank
DB00118,SMP0014295,DrugBank
DB00118,SMP0014296,DrugBank
DB00118,SMP0014297,DrugBank
DB00118,SMP0014298,DrugBank
DB00118,SMP0014299,DrugBank
DB00118,SMP0014300,DrugBank
DB00118,SMP0014301,DrugBank
DB00118,SMP0014302,DrugBank
DB00118,SMP0014303,DrugBank
DB00118,SMP0014304,DrugBank
DB00118,SMP0014305,DrugBank
DB00118,SMP0014306,DrugBank
DB00118,SMP0014307,DrugBank
DB00118,SMP0014308,DrugBank
DB00118,SMP0014309,DrugBank
DB00118,SMP0014310,DrugBank
DB00118,SMP0014311,DrugBank
DB00118,SMP0014312,DrugBank
DB00118,SMP0014313,DrugBank
DB00118,SMP0014314,DrugBank
DB00118,SMP0014315,DrugBank
DB00118,SMP0014316,DrugBank
DB00118,SMP0014317,DrugBank
DB00118,SMP0014318,DrugBank
DB00118,SMP0014319,DrugBank
DB00118,SMP0014320,DrugBank
DB00118,SMP0014321,DrugBank
DB00118,SMP0014322,DrugBank
DB00118,SMP0014323,DrugBank
DB00118,SMP0014324,DrugBank
DB00118,SMP0014325,DrugBank
DB00118,SMP0014326,DrugBank
DB00118,SMP0014327,DrugBank
DB00118,SMP0014328,DrugBank
DB00118,SMP0014329,DrugBank
DB00118,SMP0014330,DrugBank
DB00118,SMP0014331,DrugBank
DB00118,SMP0014332,DrugBank
DB00118,SMP0014333,DrugBank
DB00118,SMP0014334,DrugBank
DB00118,SMP0014335,DrugBank
DB00118,SMP0014336,DrugBank
DB00118,SMP0014337,DrugBank
DB00118,SMP0014338,DrugBank
DB00118,SMP0014339,DrugBank
DB00118,SMP0014340,DrugBank
DB00118,SMP0014341,DrugBank
DB00118,SMP0014342,DrugBank
DB00118,SMP0014343,DrugBank
DB00118,SMP0014344,DrugBank
DB00118,SMP0014345,DrugBank
DB00118,SMP0014346,DrugBank
DB00118,SMP0014347,DrugBank
DB00118,SMP0014348,DrugBank
DB00118,SMP0014349,DrugBank
DB00118,SMP0014350,DrugBank
DB00118,SMP0014351,DrugBank
DB00118,SMP0014352,DrugBank
DB00118,SMP0014353,DrugBank
DB00118,SMP0014354,DrugBank
DB00118,SMP0014355,DrugBank
DB00118,SMP0014356,DrugBank
DB00118,SMP0014357,DrugBank
DB00118,SMP0014358,DrugBank
DB00118,SMP0014359,DrugBank
DB00118,SMP0014360,DrugBank
DB00118,SMP0014361,DrugBank
DB00118,SMP0014362,DrugBank
DB00118,SMP0014363,DrugBank
DB00118,SMP0014364,DrugBank
DB00118,SMP0014365,DrugBank
DB00118,SMP0014366,DrugBank
DB00118,SMP0014367,DrugBank
DB00118,SMP0014368,DrugBank
DB00118,SMP0014369,DrugBank
DB00118,SMP0014370,DrugBank
DB00118,SMP0014371,DrugBank
DB00118,SMP0014372,DrugBank
DB00118,SMP0014373,DrugBank
DB00118,SMP0014374,DrugBank
DB00118,SMP0014375,DrugBank
DB00118,SMP0014376,DrugBank
DB00118,SMP0014377,DrugBank
DB00118,SMP0014378,DrugBank
DB00118,SMP0014379,DrugBank
DB00118,SMP0014380,DrugBank
DB00118,SMP0014381,DrugBank
DB00118,SMP0014382,DrugBank
DB00118,SMP0014383,DrugBank
DB00118,SMP0014384,DrugBank
DB00118,SMP0014385,DrugBank
DB00118,SMP0014386,DrugBank
DB00118,SMP0014387,DrugBank
DB00118,SMP0014388,DrugBank
DB00118,SMP0014389,DrugBank
DB00118,SMP0014390,DrugBank
DB00118,SMP0014391,DrugBank
DB00118,SMP0014392,DrugBank
DB00118,SMP0014393,DrugBank
DB00118,SMP0014394,DrugBank
DB00118,SMP0014395,DrugBank
DB00118,SMP0014396,DrugBank
DB00118,SMP0014397,DrugBank
DB00118,SMP0014398,DrugBank
DB00118,SMP0014399,DrugBank
DB00118,SMP0014400,DrugBank
DB00118,SMP0014401,DrugBank
DB00118,SMP0014402,DrugBank
DB00118,SMP0014403,DrugBank
DB00118,SMP0014404,DrugBank
DB00118,SMP0014405,DrugBank
DB00118,SMP0014406,DrugBank
DB00118,SMP0014407,DrugBank
DB00118,SMP0014408,DrugBank
DB00118,SMP0014409,DrugBank
DB00118,SMP0014410,DrugBank
DB00118,SMP0014411,DrugBank
DB00118,SMP0014412,DrugBank
DB00118,SMP0014413,DrugBank
DB00118,SMP0014414,DrugBank
DB00118,SMP0014415,DrugBank
DB00118,SMP0014416,DrugBank
DB00118,SMP0014417,DrugBank
DB00118,SMP0014418,DrugBank
DB00118,SMP0014419,DrugBank
DB00118,SMP0014420,DrugBank
DB00118,SMP0014421,DrugBank
DB00118,SMP0014422,DrugBank
DB00118,SMP0014423,DrugBank
DB00118,SMP0014424,DrugBank
DB00118,SMP0014425,DrugBank
DB00118,SMP0014426,DrugBank
DB00118,SMP0014427,DrugBank
DB00118,SMP0014428,DrugBank
DB00118,SMP0014429,DrugBank
DB00118,SMP0014430,DrugBank
DB00118,SMP0014431,DrugBank
DB00118,SMP0014432,DrugBank
DB00118,SMP0014433,DrugBank
DB00118,SMP0014434,DrugBank
DB00118,SMP0014435,DrugBank
DB00118,SMP0014436,DrugBank
DB00118,SMP0014437,DrugBank
DB00118,SMP0014438,DrugBank
DB00118,SMP0014439,DrugBank
DB00118,SMP0014440,DrugBank
DB00118,SMP0014441,DrugBank
DB00118,SMP0014442,DrugBank
DB00118,SMP0014443,DrugBank
DB00118,SMP0014444,DrugBank
DB00118,SMP0014445,DrugBank
DB00118,SMP0014446,DrugBank
DB00118,SMP0014447,DrugBank
DB00118,SMP0014448,DrugBank
DB00118,SMP0014449,DrugBank
DB00118,SMP0014450,DrugBank
DB00118,SMP0014451,DrugBank
DB00118,SMP0014452,DrugBank
DB00118,SMP0014453,DrugBank
DB00118,SMP0014454,DrugBank
DB00118,SMP0014455,DrugBank
DB00118,SMP0014456,DrugBank
DB00118,SMP0014457,DrugBank
DB00118,SMP0014458,DrugBank
DB00118,SMP0014459,DrugBank
DB00118,SMP0014460,DrugBank
DB00118,SMP0014461,DrugBank
DB00118,SMP0014462,DrugBank
DB00118,SMP0014463,DrugBank
DB00118,SMP0014464,DrugBank
DB00118,SMP0014465,DrugBank
DB00118,SMP0014466,DrugBank
DB00118,SMP0014467,DrugBank
DB00118,SMP0014468,DrugBank
DB00118,SMP0014469,DrugBank
DB00118,SMP0014470,DrugBank
DB00118,SMP0014471,DrugBank
DB00118,SMP0014472,DrugBank
DB00118,SMP0014473,DrugBank
DB00118,SMP0014474,DrugBank
DB00118,SMP0014475,DrugBank
DB00118,SMP0014476,DrugBank
DB00118,SMP0014477,DrugBank
DB00118,SMP0014478,DrugBank
DB00118,SMP0014479,DrugBank
DB00118,SMP0014480,DrugBank
DB00118,SMP0014481,DrugBank
DB00118,SMP0014482,DrugBank
DB00118,SMP0014483,DrugBank
DB00118,SMP0014484,DrugBank
DB00118,SMP0014485,DrugBank
DB00118,SMP0014486,DrugBank
DB00118,SMP0014487,DrugBank
DB00118,SMP0014488,DrugBank
DB00118,SMP0014489,DrugBank
DB00118,SMP0014490,DrugBank
DB00118,SMP0014491,DrugBank
DB00118,SMP0014492,DrugBank
DB00118,SMP0014493,DrugBank
DB00118,SMP0014494,DrugBank
DB00118,SMP0014495,DrugBank
DB00118,SMP0014496,DrugBank
DB00118,SMP0014497,DrugBank
DB00118,SMP0014498,DrugBank
DB00118,SMP0014499,DrugBank
DB00118,SMP0014500,DrugBank
DB00118,SMP0014501,DrugBank
DB00118,SMP0014502,DrugBank
DB00118,SMP0014503,DrugBank
DB00118,SMP0014504,DrugBank
DB00118,SMP0014505,DrugBank
DB00118,SMP0014506,DrugBank
DB00118,SMP0014507,DrugBank
DB00118,SMP0014508,DrugBank
DB00118,SMP0014509,DrugBank
DB00118,SMP0014510,DrugBank
DB00118,SMP0014511,DrugBank
DB00118,SMP0014512,DrugBank
DB00118,SMP0014513,DrugBank
DB00118,SMP0014514,DrugBank
DB00118,SMP0014515,DrugBank
DB00118,SMP0014516,DrugBank
DB00118,SMP0014517,DrugBank
DB00118,SMP0014518,DrugBank
DB00118,SMP0014519,DrugBank
DB00118,SMP0014520,DrugBank
DB00118,SMP0014521,DrugBank
DB00118,SMP0014522,DrugBank
DB00118,SMP0014523,DrugBank
DB00118,SMP0014524,DrugBank
DB00118,SMP0014525,DrugBank
DB00118,SMP0014526,DrugBank
DB00118,SMP0014527,DrugBank
DB00118,SMP0014528,DrugBank
DB00118,SMP0014529,DrugBank
DB00118,SMP0014530,DrugBank
DB00118,SMP0014531,DrugBank
DB00118,SMP0014532,DrugBank
DB00118,SMP0014533,DrugBank
DB00118,SMP0014534,DrugBank
DB00118,SMP0014535,DrugBank
DB00118,SMP0014536,DrugBank
DB00118,SMP0014537,DrugBank
DB00118,SMP0014538,DrugBank
DB00118,SMP0014539,DrugBank
DB00118,SMP0014540,DrugBank
DB00118,SMP0014541,DrugBank
DB00118,SMP0014542,DrugBank
DB00118,SMP0014543,DrugBank
DB00118,SMP0014544,DrugBank
DB00118,SMP0014545,DrugBank
DB00118,SMP0014546,DrugBank
DB00118,SMP0014547,DrugBank
DB00118,SMP0014548,DrugBank
DB00118,SMP0014549,DrugBank
DB00118,SMP0014550,DrugBank
DB00118,SMP0014551,DrugBank
DB00118,SMP0014552,DrugBank
DB00118,SMP0014553,DrugBank
DB00118,SMP0014554,DrugBank
DB00118,SMP0014555,DrugBank
DB00118,SMP0014556,DrugBank
DB00118,SMP0014557,DrugBank
DB00118,SMP0014558,DrugBank
DB00118,SMP0014559,DrugBank
DB00118,SMP0014560,DrugBank
DB00118,SMP0014561,DrugBank
DB00118,SMP0014562,DrugBank
DB00118,SMP0014563,DrugBank
DB00118,SMP0014564,DrugBank
DB00118,SMP0014565,DrugBank
DB00118,SMP0014566,DrugBank
DB00118,SMP0014567,DrugBank
DB00118,SMP0014568,DrugBank
DB00118,SMP0014569,DrugBank
DB00118,SMP0014570,DrugBank
DB00118,SMP0014571,DrugBank
DB00118,SMP0014572,DrugBank
DB00118,SMP0014573,DrugBank
DB00118,SMP0014574,DrugBank
DB00118,SMP0014575,DrugBank
DB00118,SMP0014576,DrugBank
DB00118,SMP0014577,DrugBank
DB00118,SMP0014578,DrugBank
DB00118,SMP0014579,DrugBank
DB00118,SMP0014580,DrugBank
DB00118,SMP0014581,DrugBank
DB00118,SMP0014582,DrugBank
DB00118,SMP0014583,DrugBank
DB00118,SMP0014584,DrugBank
DB00118,SMP0014585,DrugBank
DB00118,SMP0014586,DrugBank
DB00118,SMP0014587,DrugBank
DB00118,SMP0014588,DrugBank
DB00118,SMP0014589,DrugBank
DB00118,SMP0014590,DrugBank
DB00118,SMP0014591,DrugBank
DB00118,SMP0014592,DrugBank
DB00118,SMP0014593,DrugBank
DB00118,SMP0014594,DrugBank
DB00118,SMP0014595,DrugBank
DB00118,SMP0014596,DrugBank
DB00118,SMP0014597,DrugBank
DB00118,SMP0014598,DrugBank
DB00118,SMP0014599,DrugBank
DB00118,SMP0014600,DrugBank
DB00118,SMP0014601,DrugBank
DB00118,SMP0014602,DrugBank
DB00118,SMP0014603,DrugBank
DB00118,SMP0014604,DrugBank
DB00118,SMP0014605,DrugBank
DB00118,SMP0014606,DrugBank
DB00118,SMP0014607,DrugBank
DB00118,SMP0014608,DrugBank
DB00118,SMP0014609,DrugBank
DB00118,SMP0014610,DrugBank
DB00118,SMP0014611,DrugBank
DB00118,SMP0014612,DrugBank
DB00118,SMP0014613,DrugBank
DB00118,SMP0014614,DrugBank
DB00118,SMP0014615,DrugBank
DB00118,SMP0014616,DrugBank
DB00118,SMP0014617,DrugBank
DB00118,SMP0014618,DrugBank
DB00118,SMP0014619,DrugBank
DB00118,SMP0014620,DrugBank
DB00118,SMP0014621,DrugBank
DB00118,SMP0014622,DrugBank
DB00118,SMP0014623,DrugBank
DB00118,SMP0014624,DrugBank
DB00118,SMP0014625,DrugBank
DB00118,SMP0014626,DrugBank
DB00118,SMP0014627,DrugBank
DB00118,SMP0014628,DrugBank
DB00118,SMP0014629,DrugBank
DB00118,SMP0014630,DrugBank
DB00118,SMP0014631,DrugBank
DB00118,SMP0014632,DrugBank
DB00118,SMP0014633,DrugBank
DB00118,SMP0014634,DrugBank
DB00118,SMP0014635,DrugBank
DB00118,SMP0014636,DrugBank
DB00118,SMP0014637,DrugBank
DB00118,SMP0014638,DrugBank
DB00118,SMP0014639,DrugBank
DB00118,SMP0014640,DrugBank
DB00118,SMP0014641,DrugBank
DB00118,SMP0014642,DrugBank
DB00118,SMP0014643,DrugBank
DB00118,SMP0014644,DrugBank
DB00118,SMP0014645,DrugBank
DB00118,SMP0014646,DrugBank
DB00118,SMP0014647,DrugBank
DB00118,SMP0014648,DrugBank
DB00118,SMP0014649,DrugBank
DB00118,SMP0014650,DrugBank
DB00118,SMP0014651,DrugBank
DB00118,SMP0014652,DrugBank
DB00118,SMP0014653,DrugBank
DB00118,SMP0014654,DrugBank
DB00118,SMP0014655,DrugBank
DB00118,SMP0014656,DrugBank
DB00118,SMP0014657,DrugBank
DB00118,SMP0014658,DrugBank
DB00118,SMP0014659,DrugBank
DB00118,SMP0014660,DrugBank
DB00118,SMP0014661,DrugBank
DB00118,SMP0014662,DrugBank
DB00118,SMP0014663,DrugBank
DB00118,SMP0014664,DrugBank
DB00118,SMP0014665,DrugBank
DB00118,SMP0014666,DrugBank
DB00118,SMP0014667,DrugBank
DB00118,SMP0014668,DrugBank
DB00118,SMP0014669,DrugBank
DB00118,SMP0014670,DrugBank
DB00118,SMP0014671,DrugBank
DB00118,SMP0014672,DrugBank
DB00118,SMP0014673,DrugBank
DB00118,SMP0014674,DrugBank
DB00118,SMP0014675,DrugBank
DB00118,SMP0014676,DrugBank
DB00118,SMP0014677,DrugBank
DB00118,SMP0014678,DrugBank
DB00118,SMP0014679,DrugBank
DB00118,SMP0014680,DrugBank
DB00118,SMP0014681,DrugBank
DB00118,SMP0014682,DrugBank
DB00118,SMP0014683,DrugBank
DB00118,SMP0014684,DrugBank
DB00118,SMP0014685,DrugBank
DB00118,SMP0014686,DrugBank
DB00118,SMP0014687,DrugBank
DB00118,SMP0014688,DrugBank
DB00118,SMP0014689,DrugBank
DB00118,SMP0014690,DrugBank
DB00118,SMP0014691,DrugBank
DB00118,SMP0014692,DrugBank
DB00118,SMP0014693,DrugBank
DB00118,SMP0014694,DrugBank
DB00118,SMP0014695,DrugBank
DB00118,SMP0014696,DrugBank
DB00118,SMP0014697,DrugBank
DB00118,SMP0014698,DrugBank
DB00118,SMP0014699,DrugBank
DB00118,SMP0014700,DrugBank
DB00118,SMP0014701,DrugBank
DB00118,SMP0014702,DrugBank
DB00118,SMP0014703,DrugBank
DB00118,SMP0014704,DrugBank
DB00118,SMP0014705,DrugBank
DB00118,SMP0014706,DrugBank
DB00118,SMP0014707,DrugBank
DB00118,SMP0014708,DrugBank
DB00118,SMP0014709,DrugBank
DB00118,SMP0014710,DrugBank
DB00118,SMP0014711,DrugBank
DB00118,SMP0014712,DrugBank
DB00118,SMP0014713,DrugBank
DB00118,SMP0014714,DrugBank
DB00118,SMP0014715,DrugBank
DB00118,SMP0014716,DrugBank
DB00118,SMP0014717,DrugBank
DB00118,SMP0014718,DrugBank
DB00118,SMP0014719,DrugBank
DB00118,SMP0014720,DrugBank
DB00118,SMP0014721,DrugBank
DB00118,SMP0014722,DrugBank
DB00118,SMP0014723,DrugBank
DB00118,SMP0014724,DrugBank
DB00118,SMP0014725,DrugBank
DB00118,SMP0014726,DrugBank
DB00118,SMP0014727,DrugBank
DB00118,SMP0014728,DrugBank
DB00118,SMP0014729,DrugBank
DB00118,SMP0014730,DrugBank
DB00118,SMP0014731,DrugBank
DB00118,SMP0014732,DrugBank
DB00118,SMP0014733,DrugBank
DB00118,SMP0014734,DrugBank
DB00118,SMP0014735,DrugBank
DB00118,SMP0014736,DrugBank
DB00118,SMP0014737,DrugBank
DB00118,SMP0014738,DrugBank
DB00118,SMP0014739,DrugBank
DB00118,SMP0014740,DrugBank
DB00118,SMP0014741,DrugBank
DB00118,SMP0014742,DrugBank
DB00118,SMP0014743,DrugBank
DB00118,SMP0014744,DrugBank
DB00118,SMP0014745,DrugBank
DB00118,SMP0014746,DrugBank
DB00118,SMP0014747,DrugBank
DB00118,SMP0014748,DrugBank
DB00118,SMP0014749,DrugBank
DB00118,SMP0014750,DrugBank
DB00118,SMP0014751,DrugBank
DB00118,SMP0014752,DrugBank
DB00118,SMP0014753,DrugBank
DB00118,SMP0014754,DrugBank
DB00118,SMP0014755,DrugBank
DB00118,SMP0014756,DrugBank
DB00118,SMP0014757,DrugBank
DB00118,SMP0014758,DrugBank
DB00118,SMP0014759,DrugBank
DB00118,SMP0014760,DrugBank
DB00118,SMP0014761,DrugBank
DB00118,SMP0014762,DrugBank
DB00118,SMP0014763,DrugBank
DB00118,SMP0014764,DrugBank
DB00118,SMP0014765,DrugBank
DB00118,SMP0014766,DrugBank
DB00118,SMP0014767,DrugBank
DB00118,SMP0014768,DrugBank
DB00118,SMP0014769,DrugBank
DB00118,SMP0014770,DrugBank
DB00118,SMP0014771,DrugBank
DB00118,SMP0014772,DrugBank
DB00118,SMP0014773,DrugBank
DB00118,SMP0014774,DrugBank
DB00118,SMP0014775,DrugBank
DB00118,SMP0014776,DrugBank
DB00118,SMP0014777,DrugBank
DB00118,SMP0014778,DrugBank
DB00118,SMP0014779,DrugBank
DB00118,SMP0014780,DrugBank
DB00118,SMP0014781,DrugBank
DB00118,SMP0014782,DrugBank
DB00118,SMP0014783,DrugBank
DB00118,SMP0014784,DrugBank
DB00118,SMP0014785,DrugBank
DB00118,SMP0014786,DrugBank
DB00118,SMP0014787,DrugBank
DB00118,SMP0014788,DrugBank
DB00118,SMP0014789,DrugBank
DB00118,SMP0014790,DrugBank
DB00118,SMP0014791,DrugBank
DB00118,SMP0014792,DrugBank
DB00118,SMP0014793,DrugBank
DB00118,SMP0014794,DrugBank
DB00118,SMP0014795,DrugBank
DB00118,SMP0014796,DrugBank
DB00118,SMP0014797,DrugBank
DB00118,SMP0014798,DrugBank
DB00118,SMP0014799,DrugBank
DB00118,SMP0014800,DrugBank
DB00118,SMP0014801,DrugBank
DB00118,SMP0014802,DrugBank
DB00118,SMP0014803,DrugBank
DB00118,SMP0014804,DrugBank
DB00118,SMP0014805,DrugBank
DB00118,SMP0014806,DrugBank
DB00118,SMP0014807,DrugBank
DB00118,SMP0014808,DrugBank
DB00118,SMP0014809,DrugBank
DB00118,SMP0014810,DrugBank
DB00118,SMP0014811,DrugBank
DB00118,SMP0014812,DrugBank
DB00118,SMP0014813,DrugBank
DB00118,SMP0014814,DrugBank
DB00118,SMP0014815,DrugBank
DB00118,SMP0014816,DrugBank
DB00118,SMP0014817,DrugBank
DB00118,SMP0014818,DrugBank
DB00118,SMP0014819,DrugBank
DB00118,SMP0014820,DrugBank
DB00118,SMP0014821,DrugBank
DB00118,SMP0014822,DrugBank
DB00118,SMP0014823,DrugBank
DB00118,SMP0014824,DrugBank
DB00118,SMP0014825,DrugBank
DB00118,SMP0014826,DrugBank
DB00118,SMP0014827,DrugBank
DB00118,SMP0014828,DrugBank
DB00118,SMP0014829,DrugBank
DB00118,SMP0014830,DrugBank
DB00118,SMP0014831,DrugBank
DB00118,SMP0014832,DrugBank
DB00118,SMP0014833,DrugBank
DB00118,SMP0014834,DrugBank
DB00118,SMP0014835,DrugBank
DB00118,SMP0014836,DrugBank
DB00118,SMP0014837,DrugBank
DB00118,SMP0014838,DrugBank
DB00118,SMP0014839,DrugBank
DB00118,SMP0014840,DrugBank
DB00118,SMP0014841,DrugBank
DB00118,SMP0014842,DrugBank
DB00118,SMP0014843,DrugBank
DB00118,SMP0014844,DrugBank
DB00118,SMP0014845,DrugBank
DB00118,SMP0014846,DrugBank
DB00118,SMP0014847,DrugBank
DB00118,SMP0014848,DrugBank
DB00118,SMP0014849,DrugBank
DB00118,SMP0014850,DrugBank
DB00118,SMP0014851,DrugBank
DB00118,SMP0014852,DrugBank
DB00118,SMP0014853,DrugBank
DB00118,SMP0014854,DrugBank
DB00118,SMP0014855,DrugBank
DB00118,SMP0014856,DrugBank
DB00118,SMP0014857,DrugBank
DB00118,SMP0014858,DrugBank
DB00118,SMP0014859,DrugBank
DB00118,SMP0014860,DrugBank
DB00118,SMP0014861,DrugBank
DB00118,SMP0014862,DrugBank
DB00118,SMP0014863,DrugBank
DB00118,SMP0014864,DrugBank
DB00118,SMP0014865,DrugBank
DB00118,SMP0014866,DrugBank
DB00118,SMP0014867,DrugBank
DB00118,SMP0014868,DrugBank
DB00118,SMP0014869,DrugBank
DB00118,SMP0014870,DrugBank
DB00118,SMP0014871,DrugBank
DB00118,SMP0014872,DrugBank
DB00118,SMP0014873,DrugBank
DB00118,SMP0014874,DrugBank
DB00118,SMP0014875,DrugBank
DB00118,SMP0014876,DrugBank
DB00118,SMP0014877,DrugBank
DB00118,SMP0014878,DrugBank
DB00118,SMP0014879,DrugBank
DB00118,SMP0014880,DrugBank
DB00118,SMP0014881,DrugBank
