umls_cui,name,meddra_type,source
C0947912,Myasthenia,LLT,SIDER
C1510472,Drug dependence,LLT,SIDER
C0002170,Alopecia,LLT,SIDER
C0011603,Dermatitis,LLT,SIDER
C0015376,Extravasation,LLT,SIDER
C0015672,Fatigue,LLT,SIDER
C0023380,Lethargy,LLT,SIDER
C0023530,Leukopenia,LLT,SIDER
C0038362,Stomatitis,LLT,SIDER
C0040034,Thrombocytopenia,LLT,SIDER
C0041834,Erythema,LLT,SIDER
C0042109,Urticaria,LLT,SIDER
C0043144,Wheezing,LLT,SIDER
C0231218,Malaise,LLT,SIDER
C0340865,Anaphylactoid reaction,LLT,SIDER
C0700225,Serum creatinine increased,LLT,SIDER
C0746883,Febrile neutropenia,LLT,SIDER
C1325847,Sensitisation,LLT,SIDER
C2609414,Acute kidney injury,LLT,SIDER
C0039070,Syncope,LLT,SIDER
C0009676,Confusional state,LLT,SIDER
C0037274,Skin disorder,LLT,SIDER
C0151746,Kidney function abnormal,LLT,SIDER
C0232462,Decreased appetite,LLT,SIDER
C0232492,Abdominal pain upper,LLT,SIDER
C0232495,Abdominal pain lower,LLT,SIDER
C0232498,Abdominal tenderness,LLT,SIDER
C0242656,Disease progression,LLT,SIDER
C0267537,Caecitis,LLT,SIDER
C0424790,Rigors,LLT,SIDER
C0442874,Neuropathy,LLT,SIDER
C0000832,Premature separation of placenta,LLT,SIDER
C0002792,Anaphylactic shock,LLT,SIDER
C0003862,Arthralgia,LLT,SIDER
C0004096,Asthma,LLT,SIDER
C0006266,Bronchospasm,LLT,SIDER
C0011175,Dehydration,LLT,SIDER
C0012739,Disseminated intravascular coagulation,LLT,SIDER
C0013927,Amniotic fluid embolism,LLT,SIDER
C0014179,Endometritis,LLT,SIDER
C0015930,Foetal distress syndrome,LLT,SIDER
C0016382,Flushing,LLT,SIDER
C0018790,Cardiac arrest,LLT,SIDER
C0018811,Foetal heart rate,LLT,SIDER
C0019521,Hiccups,LLT,SIDER
C0021053,Immune system disorder,LLT,SIDER
C0021368,Inflammation,LLT,SIDER
C0023067,Laryngitis,LLT,SIDER
C0026821,Cramp muscle,LLT,SIDER
C0027051,Myocardial infarction,LLT,SIDER
C0032797,Postpartum haemorrhage,LLT,SIDER
C0032961,Pregnancy,LLT,SIDER
C0036973,Shivering,LLT,SIDER
C0036974,Shock,LLT,SIDER
C0040822,Tremor,LLT,SIDER
C0042143,Uterine rupture,LLT,SIDER
C0042267,Vaginal inflammation,LLT,SIDER
C0042996,Vulvitis,LLT,SIDER
C0079043,Bronchoconstriction,LLT,SIDER
C0080274,Urinary retention,LLT,SIDER
C0085593,Chills,LLT,SIDER
C0151315,Neck stiffness,LLT,SIDER
C0151604,Oedema genital,LLT,SIDER
C0151827,Eye pain,LLT,SIDER
C0151907,Skin discolouration,LLT,SIDER
C0232292,Chest tightness,LLT,SIDER
C0233494,Tension,LLT,SIDER
C0236082,Vaginal pain,LLT,SIDER
C0262397,Breast tenderness,LLT,SIDER
C0269806,Failed induction of labour,LLT,SIDER
C0269842,Uterine hypertonus,LLT,SIDER
C0344232,Vision blurred,LLT,SIDER
C0392618,Postoperative infection,LLT,SIDER
C0410916,Death neonatal,LLT,SIDER
C0424535,Vasovagal symptoms,LLT,SIDER
C0558368,Vaginal irritation,LLT,SIDER
C0595939,Stillbirth,LLT,SIDER
C0600142,Hot flush,LLT,SIDER
C0700590,Sweating increased,LLT,SIDER
C0851353,Blood and lymphatic system disorders,,SIDER
C1384666,Hearing impaired,LLT,SIDER
C2004487,Vaginismus,LLT,SIDER
C0003864,Arthritis,LLT,SIDER
C0003962,Ascites,LLT,SIDER
C0004936,Mental disorder,LLT,SIDER
C0007642,Cellulitis,LLT,SIDER
C0007859,Neck pain,LLT,SIDER
C0009326,Collagen disorder,LLT,SIDER
C0009782,Connective tissue disorder,LLT,SIDER
C0010520,Cyanosis,LLT,SIDER
C0013595,Eczema,LLT,SIDER
C0013604,Oedema,LLT,SIDER
C0014130,Endocrine disorder,LLT,SIDER
C0014591,Epistaxis,LLT,SIDER
C0016204,Flatulence,LLT,SIDER
C0018799,Cardiac disorder,LLT,SIDER
C0018801,Cardiac failure,LLT,SIDER
C0018965,Haematuria,LLT,SIDER
C0019123,Haemothorax,LLT,SIDER
C0020453,Hyperaesthesia,LLT,SIDER
C0020532,Hypersplenism,LLT,SIDER
C0020550,Hyperthyroidism,LLT,SIDER
C0020580,Hypoaesthesia,LLT,SIDER
C0020651,Orthostatic hypotension,LLT,SIDER
C0025061,Mediastinal disorder,LLT,SIDER
C0026858,Musculoskeletal pain,LLT,SIDER
C0027765,Nervous system disorder,LLT,SIDER
C0027769,Nervousness,LLT,SIDER
C0030232,Pallor,LLT,SIDER
C0030312,Pancytopenia,LLT,SIDER
C0032227,Pleural effusion,LLT,SIDER
C0032285,Pneumonia,LLT,SIDER
C0032326,Pneumothorax,LLT,SIDER
C0034063,Pulmonary oedema,LLT,SIDER
C0034065,Pulmonary embolism,LLT,SIDER
C0036690,Septicemia,LLT,SIDER
C0037299,Skin ulcer,LLT,SIDER
C0038002,Splenomegaly,LLT,SIDER
C0038990,Sweating,LLT,SIDER
C0039971,Thirst,LLT,SIDER
C0042401,Vasodilation,LLT,SIDER
C0043352,Dry mouth,LLT,SIDER
C0085096,Peripheral vascular disorder,LLT,SIDER
C0085605,Hepatic failure,LLT,SIDER
C0085631,Agitation,LLT,SIDER
C0086525,Lassitude,LLT,SIDER
C0151828,Injection site pain,LLT,SIDER
C0178298,Unspecified disorder of skin and subcutaneous tissue,LLT,SIDER
C0232487,Abdominal discomfort,LLT,SIDER
C0232488,Abdominal colic,LLT,SIDER
C0235527,Cardiac failure right,LLT,SIDER
C0236000,Pain in jaw,LLT,SIDER
C0242184,Hypoxia,LLT,SIDER
C0243026,Sepsis,LLT,SIDER
C0267596,Rectal haemorrhage,LLT,SIDER
C0270458,Psychotic depression,LLT,SIDER
C0392025,Enlargement abdomen,LLT,SIDER
C0392171,Influenza-like symptoms,LLT,SIDER
C0392386,Platelet count decreased,LLT,SIDER
C0424295,Hyperkinesia,LLT,SIDER
C0428977,Bradycardia,LLT,SIDER
C0521491,Application site pain,LLT,SIDER
C0851341,Infestation NOS,LLT,SIDER
C0860239,Catheter related infection,LLT,SIDER
C1141861,Procedural complication,LLT,SIDER
C1285577,Acute confusional state,LLT,SIDER
C2830004,Somnolence,LLT,SIDER
C2939447,Right ventricular failure,LLT,SIDER
C0010037,Corneal oedema,LLT,SIDER
C0010038,Corneal opacity,LLT,SIDER
C0948284,Corneal decompensation,LLT,SIDER
C0002994,Angioedema,LLT,SIDER
C0003578,Apnoea,LLT,SIDER
C0004245,Atrioventricular block,LLT,SIDER
C0013144,Drowsiness,LLT,SIDER
C0020578,Hyperventilation,LLT,SIDER
C0027424,Nasal congestion,LLT,SIDER
C0028643,Numbness,LLT,SIDER
C0033036,Supraventricular extrasystoles,LLT,SIDER
C0036454,Scotoma,LLT,SIDER
C0037188,Sinoatrial block,LLT,SIDER
C0038454,Cerebrovascular accident,LLT,SIDER
C0039239,Sinus tachycardia,LLT,SIDER
C0040264,Tinnitus,LLT,SIDER
C0040479,Torsade de pointes,LLT,SIDER
C0041657,Loss of consciousness,LLT,SIDER
C0042510,Ventricular fibrillation,LLT,SIDER
C0042514,Ventricular tachycardia,LLT,SIDER
C0085606,Micturition urgency,LLT,SIDER
C0085612,Ventricular arrhythmia,LLT,SIDER
C0085614,Atrioventricular block first degree,LLT,SIDER
C0085624,Burning sensation,LLT,SIDER
C0085633,Mood swings,LLT,SIDER
C0151517,Atrioventricular block complete,LLT,SIDER
C0151636,Ventricular extrasystoles,LLT,SIDER
C0151699,Haemorrhage intracranial,LLT,SIDER
C0151740,Intracranial pressure increased,LLT,SIDER
C0151744,Myocardial ischaemia,LLT,SIDER
C0162297,Respiratory arrest,LLT,SIDER
C0206277,Fatal outcomes,,SIDER
C0220870,Lightheadedness,LLT,SIDER
C0232124,Skipped beats,LLT,SIDER
C0233485,Apprehension,LLT,SIDER
C0234215,Discomfort,LLT,SIDER
C0235004,Head pressure,LLT,SIDER
C0235169,Excitability,LLT,SIDER
C0235706,Back distress,LLT,SIDER
C0235710,Chest discomfort,LLT,SIDER
C0236071,Throat tightness,LLT,SIDER
C0240327,Taste metallic,LLT,SIDER
C0264906,Atrioventricular block second degree,LLT,SIDER
C0438716,Chest pressure,LLT,SIDER
C0494475,Tonic-clonic seizures,LLT,SIDER
C0497247,Blood pressure increased,LLT,SIDER
C0520886,Electrocardiogram ST segment elevation,LLT,SIDER
C0520887,Electrocardiogram ST segment depression,LLT,SIDER
C0541782,Sinus arrest,LLT,SIDER
C0750194,Non-sustained ventricular tachycardia,LLT,SIDER
C0854303,Limb discomfort,LLT,SIDER
C0857153,Nodal block,LLT,SIDER
C0858924,General discomfort,LLT,SIDER
C0948296,Ear discomfort,LLT,SIDER
C1096250,Gastrointestinal discomfort,LLT,SIDER
C1145670,Respiratory failure,LLT,SIDER
C1956346,Coronary artery disease,LLT,SIDER
C2242996,Tingling sensation,LLT,SIDER
C0002884,Hypochromic anaemia,LLT,SIDER
C0003460,Anuria,LLT,SIDER
C0004690,Balanitis,LLT,SIDER
C0012691,Joint dislocation,LLT,SIDER
C0013491,Ecchymosis,LLT,SIDER
C0016059,Fibrosis,LLT,SIDER
C0016658,Fracture,LLT,SIDER
C0018802,Cardiac failure congestive,LLT,SIDER
C0018944,Haematoma,LLT,SIDER
C0019294,Inguinal hernia,LLT,SIDER
C0020433,Hyperbilirubinaemia,LLT,SIDER
C0020440,Hypercapnia,LLT,SIDER
C0020443,Hypercholesterolaemia,LLT,SIDER
C0020452,Hyperaemia,LLT,SIDER
C0020456,Hyperglycaemia,LLT,SIDER
C0020557,Hypertriglyceridaemia,LLT,SIDER
C0020564,Hypertrophy,LLT,SIDER
C0020615,Hypoglycaemia,LLT,SIDER
C0020621,Hypokalaemia,LLT,SIDER
C0020672,Body temperature decreased,LLT,SIDER
C0023222,Leg pain,LLT,SIDER
C0026961,Mydriasis,LLT,SIDER
C0028259,Nodule,LLT,SIDER
C0030794,Pelvic pain,LLT,SIDER
C0030846,Penis disorder,LLT,SIDER
C0030848,Peyronie's disease,LLT,SIDER
C0031154,Peritonitis,LLT,SIDER
C0031538,Tight foreskin,LLT,SIDER
C0032319,Pneumopericardium,LLT,SIDER
C0033117,Priapism,LLT,SIDER
C0033575,Prostatic disorder,LLT,SIDER
C0033581,Prostatitis,LLT,SIDER
C0036679,Separation,LLT,SIDER
C0037286,Neoplasm skin,LLT,SIDER
C0037763,Muscle spasms,LLT,SIDER
C0037859,Spermatocele,LLT,SIDER
C0038999,Swelling,LLT,SIDER
C0039240,Supraventricular tachycardia,LLT,SIDER
C0039242,Tachyphylaxis,LLT,SIDER
C0039584,Testicular disorder,LLT,SIDER
C0039591,Testicular pain,LLT,SIDER
C0041912,Upper respiratory tract infection,LLT,SIDER
C0041969,Urethral disorder,LLT,SIDER
C0042023,Pollakiuria,LLT,SIDER
C0043246,Laceration,LLT,SIDER
C0043251,Trauma,LLT,SIDER
C0151605,Injection site swelling,LLT,SIDER
C0151609,Scrotal oedema,LLT,SIDER
C0151698,Injection site haemorrhage,LLT,SIDER
C0151734,Injection site inflammation,LLT,SIDER
C0156308,Penile oedema,LLT,SIDER
C0178703,Hypertrophic osteoarthropathy,LLT,SIDER
C0231451,Joint hyperextension,LLT,SIDER
C0231835,Tachypnoea,LLT,SIDER
C0231837,Respiratory rate decreased,LLT,SIDER
C0233973,Painful erection,LLT,SIDER
C0235063,Respiratory depression,LLT,SIDER
C0235129,Feeling strange,LLT,SIDER
C0236083,Burning feeling vagina,LLT,SIDER
C0240717,Perineal pain,LLT,SIDER
C0241558,Urethral haemorrhage,LLT,SIDER
C0241863,Diabetic,LLT,SIDER
C0268919,Scrotal disorder,LLT,SIDER
C0332575,Redness,LLT,SIDER
C0340279,Ventricular hypertrophy,LLT,SIDER
C0392197,Warmth,LLT,SIDER
C0427008,Stiffness,LLT,SIDER
C0476273,Respiratory distress,LLT,SIDER
C0497481,Penile pain,LLT,SIDER
C0518988,Tooth abscess,LLT,SIDER
C0520962,Pain localised,LLT,SIDER
C0521508,Injection site bruising,LLT,SIDER
C0521845,Drug effect decreased,LLT,SIDER
C0522061,Abdominal pain localised,LLT,SIDER
C0542008,Injection site haematoma,LLT,SIDER
C0549209,Feeling jittery,LLT,SIDER
C0750466,Yeast infection,LLT,SIDER
C0852908,Drug ineffective,LLT,SIDER
C0852995,Injection site pruritus,LLT,SIDER
C0853714,Application site pruritus,LLT,SIDER
C0853813,Local reaction,LLT,SIDER
C0863113,Hypotension symptomatic,LLT,SIDER
C0877267,Peritonsillitis,LLT,SIDER
C0877377,Skin tear,LLT,SIDER
C0948873,Flu symptoms,LLT,SIDER
C1504465,Device malfunction,LLT,SIDER
C2004489,Regurgitation,LLT,SIDER
C2242621,Erection prolonged,LLT,SIDER
C2937350,Abnormal ejaculation,LLT,SIDER
C2937358,Cerebral haemorrhage,LLT,SIDER
C2938970,Penile curvature,LLT,SIDER
C2938972,Penile haematoma,LLT,SIDER
C3263723,Injury,LLT,SIDER
C3665386,Abnormal vision,LLT,SIDER
C0005411,Atresia biliary,LLT,SIDER
C0025958,Microcephaly,LLT,SIDER
C0006114,Edema cerebral,LLT,SIDER
C0017675,Glossitis,LLT,SIDER
C0019880,Homocystinuria,LLT,SIDER
C0022107,Irritability,LLT,SIDER
C0031212,Personality disorder,LLT,SIDER
C0037317,Sleep disturbance,LLT,SIDER
C0040435,Tooth disorder,LLT,SIDER
C0042024,Urinary incontinence,LLT,SIDER
C0042075,Urinary tract disorder,LLT,SIDER
C0162429,Malnutrition,LLT,SIDER
C0234930,Skin odour abnormal,LLT,SIDER
C0235309,Upset stomach,LLT,SIDER
C0268621,Hypermethioninaemia,LLT,SIDER
C0541799,Bad taste,LLT,SIDER
C0548823,Distress gastrointestinal,LLT,SIDER
C0700198,Aspiration,LLT,SIDER
C1527311,Brain oedema,LLT,SIDER
C0000833,Abscess,LLT,SIDER
C0006663,Calcinosis,LLT,SIDER
C0009421,Coma,LLT,SIDER
C0011206,Delirium,LLT,SIDER
C0027540,Necrosis,LLT,SIDER
C0085618,Venospasm,LLT,SIDER
C0085628,Stupor,LLT,SIDER
C0522171,Sense of oppression,LLT,SIDER
C1328540,Peripheral vasodilatation,LLT,SIDER
C3267206,Chalky taste,LLT,SIDER
C0000731,Abdominal distension,LLT,SIDER
C0001824,Agranulocytosis,LLT,SIDER
C0002874,Aplastic anaemia,LLT,SIDER
C0014356,Enterocolitis,LLT,SIDER
C0018939,Blood disorder,LLT,SIDER
C0023418,Leukaemia,LLT,SIDER
C0024790,Paroxysmal nocturnal haemoglobinuria,LLT,SIDER
C0027813,Neuritis,LLT,SIDER
C0041466,Typhoid fever,LLT,SIDER
C0151773,Bone marrow depression,LLT,SIDER
C0155169,Ocular hyperaemia,LLT,SIDER
C0178416,Hypoplastic anaemia,LLT,SIDER
C0221203,Rash vesicular,LLT,SIDER
C0221477,Vasomotor collapse,LLT,SIDER
C0235266,Eye irritation,LLT,SIDER
C0259756,Jarisch-Herxheimer reaction,LLT,SIDER
C0270276,Grey syndrome neonatal,LLT,SIDER
C0270996,Eye swelling,LLT,SIDER
C0423791,Rash maculo-papular,LLT,SIDER
C0425492,Respiration irregularity,LLT,SIDER
C0542184,Reaction gastrointestinal,LLT,SIDER
C0677500,Stinging,LLT,SIDER
C0687133,Drug interaction,LLT,SIDER
C0853040,Reaction to drug excipients,LLT,SIDER
C1368107,Bone marrow aplastic,LLT,SIDER
C1761613,Conjunctival hyperaemia,LLT,SIDER
C0001807,Aggression,LLT,SIDER
C0013182,Drug hypersensitivity,LLT,SIDER
C0013362,Dysarthria,LLT,SIDER
C0030552,Paresis,LLT,SIDER
C0033975,Psychotic disorder,LLT,SIDER
C0151889,Hyperreflexia,LLT,SIDER
C0233407,Disorientation,LLT,SIDER
C0234535,Clonic convulsion,LLT,SIDER
C0235031,Neurological symptom,LLT,SIDER
C0002453,Amenorrhoea,LLT,SIDER
C0002622,Amnesia,LLT,SIDER
C0002957,Anger,LLT,SIDER
C0003537,Aphasia,LLT,SIDER
C0004134,Ataxia,LLT,SIDER
C0004601,Back injury,LLT,SIDER
C0005586,Bipolar disorder,LLT,SIDER
C0006107,Concussion,LLT,SIDER
C0006142,Breast cancer,LLT,SIDER
C0006145,Breast disorder,LLT,SIDER
C0006325,Bruxism,LLT,SIDER
C0006444,Bursitis,LLT,SIDER
C0007117,Basal cell carcinoma,LLT,SIDER
C0007286,Carpal tunnel syndrome,LLT,SIDER
C0008033,Pleuritic pain,LLT,SIDER
C0008035,Chest wall pain,LLT,SIDER
C0009319,Colitis,LLT,SIDER
C0009763,Conjunctivitis,LLT,SIDER
C0009938,Contusion,LLT,SIDER
C0010692,Cystitis,LLT,SIDER
C0010709,Cyst,LLT,SIDER
C0011053,Deafness,LLT,SIDER
C0011124,Libido decreased,LLT,SIDER
C0011168,Dysphagia,LLT,SIDER
C0011253,Delusion,LLT,SIDER
C0011334,Dental caries,LLT,SIDER
C0011551,Depersonalisation,LLT,SIDER
C0011606,Dermatitis exfoliative,LLT,SIDER
C0011615,Dermatitis atopic,LLT,SIDER
C0012569,Diplopia,LLT,SIDER
C0013146,Drug abuse,LLT,SIDER
C0013384,Dyskinesia,LLT,SIDER
C0013390,Dysmenorrhoea,LLT,SIDER
C0013428,Dysuria,LLT,SIDER
C0013456,Ear pain,LLT,SIDER
C0014394,Enuresis,LLT,SIDER
C0014488,Epicondylitis,LLT,SIDER
C0014724,Eructation,LLT,SIDER
C0014742,Erythema multiforme,LLT,SIDER
C0014868,Oesophagitis,LLT,SIDER
C0015256,Excoriation,LLT,SIDER
C0015371,Extrapyramidal disorder,LLT,SIDER
C0016199,Flank pain,LLT,SIDER
C0016242,Vitreous floaters,LLT,SIDER
C0016385,Cardiac flutter,LLT,SIDER
C0016397,Localised infection,LLT,SIDER
C0016436,Folliculitis,LLT,SIDER
C0016470,Food allergy,LLT,SIDER
C0016479,Food poisoning,LLT,SIDER
C0016722,Frigidity,LLT,SIDER
C0017160,Gastroenteritis,LLT,SIDER
C0017168,Gastrooesophageal reflux disease,LLT,SIDER
C0017181,Gastrointestinal haemorrhage,LLT,SIDER
C0017565,Gingival bleeding,LLT,SIDER
C0017574,Gingivitis,LLT,SIDER
C0017605,Angle closure glaucoma,LLT,SIDER
C0017979,Glycosuria,LLT,SIDER
C0018418,Gynaecomastia,LLT,SIDER
C0018520,Breath odour,LLT,SIDER
C0018524,Hallucination,LLT,SIDER
C0018621,Seasonal allergy,LLT,SIDER
C0019158,Hepatitis,LLT,SIDER
C0019196,Hepatitis C,LLT,SIDER
C0019360,Herpes zoster,LLT,SIDER
C0019372,Herpes virus infection,LLT,SIDER
C0019572,Hirsutism,LLT,SIDER
C0019917,Hordeolum,LLT,SIDER
C0020039,Hostility,LLT,SIDER
C0020175,Hunger,LLT,SIDER
C0020458,Hyperhidrosis,LLT,SIDER
C0020522,Type IV hypersensitivity reaction,LLT,SIDER
C0020565,Hypertrophy of breast,LLT,SIDER
C0020678,Hypotrichosis,LLT,SIDER
C0021141,Inappropriate antidiuretic hormone secretion,LLT,SIDER
C0021177,Libido increased,LLT,SIDER
C0021845,Intestinal perforation,LLT,SIDER
C0022346,Jaundice,LLT,SIDER
C0022575,Keratoconjunctivitis sicca,LLT,SIDER
C0023518,Leukocytosis,LLT,SIDER
C0025320,Menopause,LLT,SIDER
C0025345,Menstrual disorder,LLT,SIDER
C0025874,Metrorrhagia,LLT,SIDER
C0026603,Motion sickness,LLT,SIDER
C0026827,Hypotonia,LLT,SIDER
C0026837,Muscle rigidity,LLT,SIDER
C0026857,Musculoskeletal disorder,LLT,SIDER
C0026946,Fungal infection,LLT,SIDER
C0027066,Myoclonus,LLT,SIDER
C0027441,Nasopharyngitis,LLT,SIDER
C0027651,Neoplasm,LLT,SIDER
C0027796,Neuralgia,LLT,SIDER
C0028081,Night sweats,LLT,SIDER
C0028084,Nightmare,LLT,SIDER
C0028734,Nocturia,LLT,SIDER
C0029261,Orgasm abnormal,LLT,SIDER
C0029456,Osteoporosis,LLT,SIDER
C0029927,Ovarian cyst,LLT,SIDER
C0029928,Ovarian disorder,LLT,SIDER
C0030196,Pain in extremity,LLT,SIDER
C0030305,Pancreatitis,LLT,SIDER
C0030318,Panic reaction,LLT,SIDER
C0030469,Sinus disorder,LLT,SIDER
C0030790,Pelvic infection,LLT,SIDER
C0031542,Phlebitis,LLT,SIDER
C0032584,Polyp,LLT,SIDER
C0032617,Polyuria,LLT,SIDER
C0033046,Premenstrual syndrome,LLT,SIDER
C0033771,Prurigo,LLT,SIDER
C0033893,Tension headache,LLT,SIDER
C0034880,Hyperacusis,LLT,SIDER
C0035243,Respiratory tract infection,LLT,SIDER
C0035410,Rhabdomyolysis,LLT,SIDER
C0036130,Salpingitis,LLT,SIDER
C0036396,Sciatica,LLT,SIDER
C0036502,Sebaceous gland disorder,LLT,SIDER
C0036689,Pharyngitis streptococcal,LLT,SIDER
C0036830,Serum sickness,LLT,SIDER
C0037036,Salivary hypersecretion,LLT,SIDER
C0037195,Sinus headache,LLT,SIDER
C0037383,Sneezing,LLT,SIDER
C0037384,Snoring,LLT,SIDER
C0037578,Soft tissue injury,LLT,SIDER
C0037672,Somnambulism,LLT,SIDER
C0038325,Stevens-Johnson syndrome,LLT,SIDER
C0038358,Gastric ulcer,LLT,SIDER
C0038661,Suicide,LLT,SIDER
C0038663,Suicide attempt,LLT,SIDER
C0038814,Sunburn,LLT,SIDER
C0039338,Taste disorders,,SIDER
C0039503,Tendonitis,LLT,SIDER
C0040259,Tinea pedis,LLT,SIDER
C0040425,Tonsillitis,LLT,SIDER
C0040460,Toothache,LLT,SIDER
C0040953,Trichotillomania,LLT,SIDER
C0042035,Micturition disorder,LLT,SIDER
C0043241,Wound infection,LLT,SIDER
C0043387,Yawning,LLT,SIDER
C0080194,Muscle strain,LLT,SIDER
C0085166,Vaginitis bacterial,LLT,SIDER
C0085623,Akinesia,LLT,SIDER
C0085632,Apathy,LLT,SIDER
C0085636,Photophobia,LLT,SIDER
C0086132,Depressive symptom,LLT,SIDER
C0086439,Hypokinesia,LLT,SIDER
C0086565,Hepatic function abnormal,LLT,SIDER
C0086769,Panic attack,LLT,SIDER
C0087169,Withdrawal symptom,LLT,SIDER
C0149745,Mouth ulceration,LLT,SIDER
C0149931,Migraine,LLT,SIDER
C0151505,Application site reaction,LLT,SIDER
C0151602,Swelling face,LLT,SIDER
C0151610,Tongue oedema,LLT,SIDER
C0151611,Electroencephalogram abnormal,LLT,SIDER
C0151692,Impaired healing,LLT,SIDER
C0151713,Hyperchlorhydria,LLT,SIDER
C0151763,Hepatocellular injury,LLT,SIDER
C0151772,Manic psychosis,LLT,SIDER
C0151786,Muscular weakness,LLT,SIDER
C0151830,Urethral pain,LLT,SIDER
C0151836,Paranoid reaction,LLT,SIDER
C0151908,Dry skin,LLT,SIDER
C0151936,Tendon disorder,LLT,SIDER
C0151966,Duodenal ulcer haemorrhage,LLT,SIDER
C0152027,Sensory disturbance,LLT,SIDER
C0152029,Sinus congestion,LLT,SIDER
C0152030,Skin irritation,LLT,SIDER
C0152031,Joint swelling,LLT,SIDER
C0152227,Lacrimation increased,LLT,SIDER
C0152517,Viral diarrhoea,LLT,SIDER
C0156404,Menstruation irregular,LLT,SIDER
C0159321,Facial bones fracture,LLT,SIDER
C0162298,Joint stiffness,LLT,SIDER
C0162830,Photosensitivity reaction,LLT,SIDER
C0221776,Oral pain,LLT,SIDER
C0231530,Muscle twitching,LLT,SIDER
C0231919,Nasal dryness,LLT,SIDER
C0232431,Cold sweat,LLT,SIDER
C0232459,Digestion impaired,LLT,SIDER
C0232461,Increased appetite,LLT,SIDER
C0233414,Disturbance in attention,LLT,SIDER
C0233472,Affect lability,LLT,SIDER
C0233477,Dysphoria,LLT,SIDER
C0233488,Feeling of despair,LLT,SIDER
C0233565,Bradykinesia,LLT,SIDER
C0233632,Thinking abnormal,LLT,SIDER
C0233651,Perseveration,LLT,SIDER
C0233754,Derealisation,LLT,SIDER
C0233762,"Hallucination, auditory",LLT,SIDER
C0233794,Memory impairment,LLT,SIDER
C0234458,Abnormal dreams,LLT,SIDER
C0234708,Intraocular pressure increased,LLT,SIDER
C0234913,Rash erythematous,LLT,SIDER
C0235086,Muscle contractions involuntary,LLT,SIDER
C0235146,Euphoric mood,LLT,SIDER
C0235162,Difficulty sleeping,LLT,SIDER
C0235198,Cerebration impaired,LLT,SIDER
C0235378,Hepatotoxicity,LLT,SIDER
C0235857,Lacrimation decreased,LLT,SIDER
C0235996,Hepatic enzyme increased,LLT,SIDER
C0236068,Swollen tongue,LLT,SIDER
C0237314,Heart rate irregular,LLT,SIDER
C0238707,Impairment of attention,LLT,SIDER
C0239062,Circumoral oedema,LLT,SIDER
C0239729,Genital rash,LLT,SIDER
