smpdb_id,name,category,enzymes,source
SMP0000123,Betaine Metabolism,metabolic,P23526|P31153|P49419|Q8NE62|Q93088|Q99707|Q9NZL9|Q9UBM1,DrugBank
SMP0000144,Adenosine Deaminase Deficiency,disease,O15067|O75356|O75414|P00491|P00492|P00568|P00813|P07741|P10599|P20839|P21108|P22102|P22234|P23109|P23921|P30520|P30566|P31350|P31939|P33402|P36959|P47989|P49902|P49915|P50583|Q02153|Q06203|Q08499|Q16774|Q16854|Q5MY95|Q8NBU5|Q96PN6|Q9BY32|Q9UKK9|Q9Y233|Q9Y2T3,DrugBank
SMP0000167,Adenylosuccinate Lyase Deficiency,disease,O15067|O75356|O75414|P00491|P00492|P00568|P00813|P07741|P10599|P20839|P21108|P22102|P22234|P23109|P23921|P30520|P30566|P31350|P31939|P33402|P36959|P47989|P49902|P49915|P50583|Q02153|Q06203|Q08499|Q16774|Q16854|Q5MY95|Q8NBU5|Q96PN6|Q9BY32|Q9UKK9|Q9Y233|Q9Y2T3,DrugBank
SMP0000168,AICA-Ribosiduria,disease,O15067|O75356|O75414|P00491|P00492|P00568|P00813|P07741|P10599|P20839|P21108|P22102|P22234|P23109|P23921|P30520|P30566|P31350|P31939|P33402|P36959|P47989|P49902|P49915|P50583|Q02153|Q06203|Q08499|Q16774|Q16854|Q5MY95|Q8NBU5|Q96PN6|Q9BY32|Q9UKK9|Q9Y233|Q9Y2T3,DrugBank
SMP0000177,Cystathionine beta-Synthase Deficiency,disease,P17707|P19623|P23526|P26358|P31153|P32929|P34896|P35520|P42898|P56192|Q13126|Q8IXL7|Q8NE62|Q93088|Q96DP5|Q96RQ9|Q99707|Q9NZL9|Q9Y3D2,DrugBank
SMP0000179,Dihydropyrimidine Dehydrogenase Deficiency (DHPD),disease,O43175|O75600|P05091|P09622|P13196|P20132|P21397|P21549|P23378|P32929|P34896|P34897|P35520|P41250|P48728|P49591|P50440|P78330|Q14353|Q14749|Q8IVS8|Q93088|Q9GZT4|Q9UI17|Q9UL12|Q9Y617,DrugBank
SMP0000191,Histidinemia,disease,A5YM72|O60678|O95954|P05091|P12081|P19113|P19801|P21397|P30838|P42357|P49590|P50135|Q8N4J0|Q96KN2|Q96KP4|Q96N76|Q96NU7,DrugBank
SMP0000203,Molybdenum Cofactor Deficiency,disease,O15067|O75356|O75414|P00491|P00492|P00568|P00813|P07741|P10599|P20839|P21108|P22102|P22234|P23109|P23921|P30520|P30566|P31350|P31939|P33402|P36959|P47989|P49902|P49915|P50583|Q02153|Q06203|Q08499|Q16774|Q16854|Q5MY95|Q8NBU5|Q96PN6|Q9BY32|Q9UKK9|Q9Y233|Q9Y2T3,DrugBank
SMP0000210,Purine Nucleoside Phosphorylase Deficiency,disease,O15067|O75356|O75414|P00491|P00492|P00568|P00813|P07741|P10599|P20839|P21108|P22102|P22234|P23109|P23921|P30520|P30566|P31350|P31939|P33402|P36959|P47989|P49902|P49915|P50583|Q02153|Q06203|Q08499|Q16774|Q16854|Q5MY95|Q8NBU5|Q96PN6|Q9BY32|Q9UKK9|Q9Y233|Q9Y2T3,DrugBank
SMP0000214,S-Adenosylhomocysteine (SAH) Hydrolase Deficiency,disease,P17707|P19623|P23526|P26358|P31153|P32929|P34896|P35520|P42898|P56192|Q13126|Q8IXL7|Q8NE62|Q93088|Q96DP5|Q96RQ9|Q99707|Q9NZL9|Q9Y3D2,DrugBank
SMP0000220,Xanthine Dehydrogenase Deficiency (Xanthinuria),disease,O15067|O75356|O75414|P00491|P00492|P00568|P00813|P07741|P10599|P20839|P21108|P22102|P22234|P23109|P23921|P30520|P30566|P31350|P31939|P33402|P36959|P47989|P49902|P49915|P50583|Q02153|Q06203|Q08499|Q16774|Q16854|Q5MY95|Q8NBU5|Q96PN6|Q9BY32|Q9UKK9|Q9Y233|Q9Y2T3,DrugBank
SMP0000221,Methionine Adenosyltransferase Deficiency,disease,P17707|P19623|P23526|P26358|P31153|P32929|P34896|P35520|P42898|P56192|Q13126|Q8IXL7|Q8NE62|Q93088|Q96DP5|Q96RQ9|Q99707|Q9NZL9|Q9Y3D2,DrugBank
SMP0000222,Glycine N-Methyltransferase Deficiency,disease,P17707|P19623|P23526|P26358|P31153|P32929|P34896|P35520|P42898|P56192|Q13126|Q8IXL7|Q8NE62|Q93088|Q96DP5|Q96RQ9|Q99707|Q9NZL9|Q9Y3D2,DrugBank
SMP0000223,Non-Ketotic Hyperglycinemia,disease,O43175|O75600|P05091|P09622|P13196|P20132|P21397|P21549|P23378|P32929|P34896|P34897|P35520|P41250|P48728|P49591|P50440|P78330|Q14353|Q14749|Q8IVS8|Q93088|Q9GZT4|Q9UI17|Q9UL12|Q9Y617,DrugBank
SMP0000242,Dimethylglycine Dehydrogenase Deficiency,disease,O43175|O75600|P05091|P09622|P13196|P20132|P21397|P21549|P23378|P32929|P34896|P34897|P35520|P41250|P48728|P49591|P50440|P78330|Q14353|Q14749|Q8IVS8|Q93088|Q9GZT4|Q9UI17|Q9UL12|Q9Y617,DrugBank
SMP0000244,Sarcosinemia,disease,O43175|O75600|P05091|P09622|P13196|P20132|P21397|P21549|P23378|P32929|P34896|P34897|P35520|P41250|P48728|P49591|P50440|P78330|Q14353|Q14749|Q8IVS8|Q93088|Q9GZT4|Q9UI17|Q9UL12|Q9Y617,DrugBank
SMP0000340,Methylenetetrahydrofolate Reductase Deficiency (MTHFRD),disease,P17707|P19623|P23526|P26358|P31153|P32929|P34896|P35520|P42898|P56192|Q13126|Q8IXL7|Q8NE62|Q93088|Q96DP5|Q96RQ9|Q99707|Q9NZL9|Q9Y3D2,DrugBank
SMP0000341,Hypermethioninemia,disease,P17707|P19623|P23526|P26358|P31153|P32929|P34896|P35520|P42898|P56192|Q13126|Q8IXL7|Q8NE62|Q93088|Q96DP5|Q96RQ9|Q99707|Q9NZL9|Q9Y3D2,DrugBank
SMP0000364,Lesch-Nyhan Syndrome (LNS),disease,O15067|O75356|O75414|P00491|P00492|P00568|P00813|P07741|P10599|P20839|P21108|P22102|P22234|P23109|P23921|P30520|P30566|P31350|P31939|P33402|P36959|P47989|P49902|P49915|P50583|Q02153|Q06203|Q08499|Q16774|Q16854|Q5MY95|Q8NBU5|Q96PN6|Q9BY32|Q9UKK9|Q9Y233|Q9Y2T3,DrugBank
SMP0000365,Gout or Kelley-Seegmiller Syndrome,disease,O15067|O75356|O75414|P00491|P00492|P00568|P00813|P07741|P10599|P20839|P21108|P22102|P22234|P23109|P23921|P30520|P30566|P31350|P31939|P33402|P36959|P47989|P49902|P49915|P50583|Q02153|Q06203|Q08499|Q16774|Q16854|Q5MY95|Q8NBU5|Q96PN6|Q9BY32|Q9UKK9|Q9Y233|Q9Y2T3,DrugBank
SMP0000427,Azathioprine Action Pathway,drug_action,O15067|O15439|O15440|O43868|O75356|O75414|P00491|P00492|P00568|P00813|P07741|P10599|P20839|P21108|P22102|P22234|P23109|P23921|P30520|P30566|P31350|P31939|P33402|P36959|P47989|P49902|P49915|P50583|P51580|P55263|P63000|Q02153|Q06203|Q06278|Q08499|Q14542|Q16774|Q16854|Q5MY95|Q8NBU5|Q96PN6|Q99808|Q9BY32|Q9HAS3|Q9UKK9|Q9Y233|Q9Y2T3,DrugBank
SMP0000428,Mercaptopurine Action Pathway,drug_action,O15067|O15439|O15440|O43868|O75356|O75414|P00491|P00492|P00568|P00813|P07741|P10599|P20839|P21108|P22102|P22234|P23109|P23921|P30520|P30566|P31350|P31939|P33402|P36959|P47989|P49902|P49915|P50583|P51580|P55263|P63000|Q02153|Q06203|Q06278|Q08499|Q14542|Q16774|Q16854|Q5MY95|Q8NBU5|Q96PN6|Q99808|Q9BY32|Q9HAS3|Q9UKK9|Q9Y233|Q9Y2T3,DrugBank
SMP0000430,Thioguanine Action Pathway,drug_action,O15067|O15439|O15440|O43868|O75356|O75414|P00491|P00492|P00568|P00813|P07741|P10599|P20839|P21108|P22102|P22234|P23109|P23921|P30520|P30566|P31350|P31939|P33402|P36959|P47989|P49902|P49915|P50583|P51580|P55263|P63000|Q02153|Q06203|Q06278|Q08499|Q14542|Q16774|Q16854|Q5MY95|Q8NBU5|Q96PN6|Q99808|Q9BY32|Q9HAS3|Q9UKK9|Q9Y233|Q9Y2T3,DrugBank
SMP0000432,Methotrexate Action Pathway,drug_action,O75891|O95954|P00374|P11586|P13995|P42898|P49914|Q05932|Q6UB35|Q92820|Q96DP5|Q96NT5,DrugBank
SMP0000484,Dimethylglycine Dehydrogenase Deficiency,disease,O43175|O75600|P05091|P09622|P13196|P20132|P21397|P21549|P23378|P32929|P34896|P34897|P35520|P41250|P48728|P49591|P50440|P78330|Q14353|Q14749|Q8IVS8|Q93088|Q9GZT4|Q9UI17|Q9UL12|Q9Y617,DrugBank
SMP0000485,"Hyperglycinemia, Non-Ketotic",disease,O43175|O75600|P05091|P09622|P13196|P20132|P21397|P21549|P23378|P32929|P34896|P34897|P35520|P41250|P48728|P49591|P50440|P78330|Q14353|Q14749|Q8IVS8|Q93088|Q9GZT4|Q9UI17|Q9UL12|Q9Y617,DrugBank
SMP0000512,Xanthinuria Type I,disease,O15067|O75356|O75414|P00491|P00492|P00568|P00813|P07741|P10599|P20839|P21108|P22102|P22234|P23109|P23921|P30520|P30566|P31350|P31939|P33402|P36959|P47989|P49902|P49915|P50583|Q02153|Q06203|Q08499|Q16774|Q16854|Q5MY95|Q8NBU5|Q96PN6|Q9BY32|Q9UKK9|Q9Y233|Q9Y2T3,DrugBank
SMP0000513,Xanthinuria Type II,disease,O15067|O75356|O75414|P00491|P00492|P00568|P00813|P07741|P10599|P20839|P21108|P22102|P22234|P23109|P23921|P30520|P30566|P31350|P31939|P33402|P36959|P47989|P49902|P49915|P50583|Q02153|Q06203|Q08499|Q16774|Q16854|Q5MY95|Q8NBU5|Q96PN6|Q9BY32|Q9UKK9|Q9Y233|Q9Y2T3,DrugBank
SMP0000535,Adenine Phosphoribosyltransferase Deficiency (APRT),disease,O15067|O75356|O75414|P00491|P00492|P00568|P00813|P07741|P10599|P20839|P21108|P22102|P22234|P23109|P23921|P30520|P30566|P31350|P31939|P33402|P36959|P47989|P49902|P49915|P50583|Q02153|Q06203|Q08499|Q16774|Q16854|Q5MY95|Q8NBU5|Q96PN6|Q9BY32|Q9UKK9|Q9Y233|Q9Y2T3,DrugBank
SMP0000536,Mitochondrial DNA Depletion Syndrome,disease,O15067|O75356|O75414|P00491|P00492|P00568|P00813|P07741|P10599|P20839|P21108|P22102|P22234|P23109|P23921|P30520|P30566|P31350|P31939|P33402|P36959|P47989|P49902|P49915|P50583|Q02153|Q06203|Q08499|Q16774|Q16854|Q5MY95|Q8NBU5|Q96PN6|Q9BY32|Q9UKK9|Q9Y233|Q9Y2T3,DrugBank
SMP0000537,Myoadenylate Deaminase Deficiency,disease,O15067|O75356|O75414|P00491|P00492|P00568|P00813|P07741|P10599|P20839|P21108|P22102|P22234|P23109|P23921|P30520|P30566|P31350|P31939|P33402|P36959|P47989|P49902|P49915|P50583|Q02153|Q06203|Q08499|Q16774|Q16854|Q5MY95|Q8NBU5|Q96PN6|Q9BY32|Q9UKK9|Q9Y233|Q9Y2T3,DrugBank
SMP0000543,Methylenetetrahydrofolate Reductase Deficiency (MTHFRD),disease,O75891|O95954|P00374|P11586|P13995|P42898|P49914|Q05932|Q6UB35|Q92820|Q96DP5|Q96NT5,DrugBank
SMP0000570,"Homocystinuria-Megaloblastic Anemia Due to Defect in Cobalamin Metabolism, cblG Complementation Type",disease,P17707|P19623|P23526|P26358|P31153|P32929|P34896|P35520|P42898|P56192|Q13126|Q8IXL7|Q8NE62|Q93088|Q96DP5|Q96RQ9|Q99707|Q9NZL9|Q9Y3D2,DrugBank
SMP0000721,3-Phosphoglycerate Dehydrogenase Deficiency,disease,O43175|O75600|P05091|P09622|P13196|P20132|P21397|P21549|P23378|P32929|P34896|P34897|P35520|P41250|P48728|P49591|P50440|P78330|Q14353|Q14749|Q8IVS8|Q93088|Q9GZT4|Q9UI17|Q9UL12|Q9Y617,DrugBank
SMP0000724,"Folate Malabsorption, Hereditary",disease,O75891|O95954|P00374|P11586|P13995|P42898|P49914|Q05932|Q6UB35|Q92820|Q96DP5|Q96NT5,DrugBank
SMP0002313,Sarcosine Oncometabolite Pathway,disease,P31153|P34896|P34897|P49419|Q14749|Q8IWA5|Q8NE62|Q8WWI5|Q93088|Q99707|Q9NZL9|Q9UI17|Q9UL12,DrugBank
SMP0000006,Tyrosine Metabolism,metabolic,O43708|P07327|P09172|P11086|P14174|P14679|P16930|P17174|P17735|P19801|P20711|P21397|P21964|P30838|P32754|P40126|P46952|Q93099,DrugBank
SMP0000012,Catecholamine Biosynthesis,metabolic,P07101|P09172|P11086|P20711,DrugBank
SMP0000020,Arginine and Proline Metabolism,metabolic,O43272|P00367|P00480|P00966|P04181|P04424|P05089|P07814|P12277|P14920|P17174|P29475|P30038|P31327|P50440|Q14353|Q5T160|Q7Z4N8|Q96C36|Q9Y619,DrugBank
SMP0000048,Nicotinate and Nicotinamide Metabolism,metabolic,O95544|P00491|P22413|P40261|P43490|P49902|Q06278|Q10588|Q13423|Q15274|Q6IA69|Q9BQG2|Q9BZQ4|Q9NWW6,DrugBank
SMP0000063,Tryptophan Metabolism,metabolic,O15229|O95050|P04040|P04798|P05091|P14902|P17752|P20711|P23381|P46597|P46952|P48775|Q06278|Q16613|Q16719|Q63HM1|Q8N5Z0|Q8TDX5|Q9UGM6,DrugBank
SMP0000065,Ubiquinone Biosynthesis,metabolic,Q5HYK3|Q96H96|Q99807|Q9NZJ6|Q9Y2Z9,DrugBank
SMP0000169,Alkaptonuria,disease,O43708|P07327|P09172|P11086|P14174|P14679|P16930|P17174|P17735|P19801|P20711|P21397|P21964|P30838|P32754|P40126|P46952|Q93099,DrugBank
SMP0000170,Aromatic L-Aminoacid Decarboxylase Deficiency,disease,P07101|P09172|P11086|P20711,DrugBank
SMP0000188,Guanidinoacetate Methyltransferase Deficiency (GAMT Deficiency),disease,O43272|P00367|P00480|P00966|P04181|P04424|P05089|P07814|P12277|P14920|P17174|P29475|P30038|P31327|P50440|Q14353|Q5T160|Q7Z4N8|Q96C36|Q9Y619,DrugBank
SMP0000190,Hawkinsinuria,disease,O43708|P07327|P09172|P11086|P14174|P14679|P16930|P17174|P17735|P19801|P20711|P21397|P21964|P30838|P32754|P40126|P46952|Q93099,DrugBank
SMP0000207,Prolidase Deficiency (PD),disease,O43272|P00367|P00480|P00966|P04181|P04424|P05089|P07814|P12277|P14920|P17174|P29475|P30038|P31327|P50440|Q14353|Q5T160|Q7Z4N8|Q96C36|Q9Y619,DrugBank
SMP0000208,Prolinemia Type II,disease,O43272|P00367|P00480|P00966|P04181|P04424|P05089|P07814|P12277|P14920|P17174|P29475|P30038|P31327|P50440|Q14353|Q5T160|Q7Z4N8|Q96C36|Q9Y619,DrugBank
SMP0000218,Tyrosinemia Type I,disease,O43708|P07327|P09172|P11086|P14174|P14679|P16930|P17174|P17735|P19801|P20711|P21397|P21964|P30838|P32754|P40126|P46952|Q93099,DrugBank
SMP0000327,Phenytoin (Antiarrhythmic) Action Pathway,drug_action,O00180|O43497|O60656|O60706|O95180|P02585|P05023|P05026|P05177|P05181|P07099|P07951|P08172|P08588|P08684|P09493|P10644|P11021|P11712|P13637|P13667|P13805|P14415|P15382|P15559|P16615|P17612|P19224|P19237|P19429|P21964|P22309|P22310|P22460|P23284|P26678|P30040|P30556|P32418|P33261|P45378|P45379|P48050|P48544|P48549|P48788|P50993|P51787|P54709|P54710|P63252|P63316|Q02641|Q09428|Q12809|Q12959|Q13087|Q13424|Q13425|Q13733|Q13884|Q13936|Q14524|Q14643|Q14654|Q15084|Q15746|Q15842|Q5I7T1|Q92736|Q9HCN8|Q9NQ66|Q9NS61|Q9NY47|Q9UBS4|Q9UK17|Q9Y3Q4|Q9Y6J6,DrugBank
SMP0000360,Hyperprolinemia Type II,disease,O43272|P00367|P00480|P00966|P04181|P04424|P05089|P07814|P12277|P14920|P17174|P29475|P30038|P31327|P50440|Q14353|Q5T160|Q7Z4N8|Q96C36|Q9Y619,DrugBank
SMP0000361,Hyperprolinemia Type I,disease,O43272|P00367|P00480|P00966|P04181|P04424|P05089|P07814|P12277|P14920|P17174|P29475|P30038|P31327|P50440|Q14353|Q5T160|Q7Z4N8|Q96C36|Q9Y619,DrugBank
SMP0000362,Arginine: Glycine Amidinotransferase Deficiency (AGAT Deficiency),disease,O43272|P00367|P00480|P00966|P04181|P04424|P05089|P07814|P12277|P14920|P17174|P29475|P30038|P31327|P50440|Q14353|Q5T160|Q7Z4N8|Q96C36|Q9Y619,DrugBank
SMP0000363,Ornithine Aminotransferase Deficiency (OAT Deficiency),disease,O43272|P00367|P00480|P00966|P04181|P04424|P05089|P07814|P12277|P14920|P17174|P29475|P30038|P31327|P50440|Q14353|Q5T160|Q7Z4N8|Q96C36|Q9Y619,DrugBank
SMP0000429,Disulfiram Action Pathway,drug_action,O43708|P00325|P04040|P05091|P05181|P07327|P09172|P11086|P14174|P14679|P16930|P17174|P17735|P19801|P20711|P21397|P21964|P30837|P30838|P32754|P40126|P46952|Q93099|Q9NR19|Q9NUB1,DrugBank
SMP0000445,Spermidine and Spermine Biosynthesis,metabolic,P11926|P17707|P19623|P31153|P52788|Q9NZL9,DrugBank
SMP0000465,Carnitine Synthesis,metabolic,O75936|P34896|P49189|Q8WTS6|Q9NVH6,DrugBank
SMP0000494,"Tyrosinemia, Transient, of the Newborn",disease,O43708|P07327|P09172|P11086|P14174|P14679|P16930|P17174|P17735|P19801|P20711|P21397|P21964|P30838|P32754|P40126|P46952|Q93099,DrugBank
SMP0000497,Tyrosine Hydroxylase Deficiency,disease,P07101|P09172|P11086|P20711,DrugBank
SMP0000498,Dopamine beta-Hydroxylase Deficiency,disease,O43708|P07327|P09172|P11086|P14174|P14679|P16930|P17174|P17735|P19801|P20711|P21397|P21964|P30838|P32754|P40126|P46952|Q93099,DrugBank
SMP0000504,"Creatine Deficiency, Guanidinoacetate Methyltransferase Deficiency",disease,O43272|P00367|P00480|P00966|P04181|P04424|P05089|P07814|P12277|P14920|P17174|P29475|P30038|P31327|P50440|Q14353|Q5T160|Q7Z4N8|Q96C36|Q9Y619,DrugBank
SMP0000505,Hyperornithinemia with Gyrate Atrophy (HOGA),disease,O43272|P00367|P00480|P00966|P04181|P04424|P05089|P07814|P12277|P14920|P17174|P29475|P30038|P31327|P50440|Q14353|Q5T160|Q7Z4N8|Q96C36|Q9Y619,DrugBank
SMP0000506,Hyperornithinemia-Hyperammonemia-Homocitrullinuria [HHH-syndrome],disease,O43272|P00367|P00480|P00966|P04181|P04424|P05089|P07814|P12277|P14920|P17174|P29475|P30038|P31327|P50440|Q14353|Q5T160|Q7Z4N8|Q96C36|Q9Y619,DrugBank
SMP0000507,L-Arginine:Glycine Amidinotransferase Deficiency,disease,O43272|P00367|P00480|P00966|P04181|P04424|P05089|P07814|P12277|P14920|P17174|P29475|P30038|P31327|P50440|Q14353|Q5T160|Q7Z4N8|Q96C36|Q9Y619,DrugBank
SMP0000533,Monoamine Oxidase-A Deficiency (MAO-A),disease,O43708|P07327|P09172|P11086|P14174|P14679|P16930|P17174|P17735|P19801|P20711|P21397|P21964|P30838|P32754|P40126|P46952|Q93099,DrugBank
SMP0000609,Mercaptopurine Metabolism Pathway,drug_metabolism,O15439|O15440|O43868|P00492|P20839|P47989|P49915|P51580|P55263|P63000|Q06203|Q06278|Q14542|Q99808|Q9HAS3,DrugBank
SMP0000715,Methylhistidine Metabolism,metabolic,,DrugBank
SMP0014212,Phosphatidylcholine Biosynthesis,metabolic,P35790|P49585|Q99447|Q9UBM1|Q9UG56|Q9Y6K0,DrugBank
SMP0014216,Phosphatidylcholine Biosynthesis PC(14:0/14:0),metabolic,P35790|P49585|Q99447|Q9UBM1|Q9UG56|Q9Y6K0,DrugBank
SMP0014217,Phosphatidylcholine Biosynthesis PC(14:0/14:1(9Z)),metabolic,P35790|P49585|Q99447|Q9UBM1|Q9UG56|Q9Y6K0,DrugBank
SMP0014218,Phosphatidylcholine Biosynthesis PC(14:0/15:0),metabolic,P35790|P49585|Q99447|Q9UBM1|Q9UG56|Q9Y6K0,DrugBank
SMP0014219,Phosphatidylcholine Biosynthesis PC(14:0/16:0),metabolic,P35790|P49585|Q99447|Q9UBM1|Q9UG56|Q9Y6K0,DrugBank
SMP0014220,Phosphatidylcholine Biosynthesis PC(14:0/16:1(9Z)),metabolic,P35790|P49585|Q99447|Q9UBM1|Q9UG56|Q9Y6K0,DrugBank
SMP0014221,Phosphatidylcholine Biosynthesis PC(14:0/18:0),metabolic,P35790|P49585|Q99447|Q9UBM1|Q9UG56|Q9Y6K0,DrugBank
SMP0014222,Phosphatidylcholine Biosynthesis PC(14:0/18:1(11Z)),metabolic,P35790|P49585|Q99447|Q9UBM1|Q9UG56|Q9Y6K0,DrugBank
SMP0014223,Phosphatidylcholine Biosynthesis PC(14:0/18:1(9Z)),metabolic,P35790|P49585|Q99447|Q9UBM1|Q9UG56|Q9Y6K0,DrugBank
SMP0014224,"Phosphatidylcholine Biosynthesis PC(14:0/18:2(9Z,12Z))",metabolic,P35790|P49585|Q99447|Q9UBM1|Q9UG56|Q9Y6K0,DrugBank
SMP0014225,"Phosphatidylcholine Biosynthesis PC(14:0/18:3(6Z,9Z,12Z))",metabolic,P35790|P49585|Q99447|Q9UBM1|Q9UG56|Q9Y6K0,DrugBank
SMP0014226,"Phosphatidylcholine Biosynthesis PC(14:0/18:3(9Z,12Z,15Z))",metabolic,P35790|P49585|Q99447|Q9UBM1|Q9UG56|Q9Y6K0,DrugBank
SMP0014227,"Phosphatidylcholine Biosynthesis PC(14:0/18:4(6Z,9Z,12Z,15Z))",metabolic,P35790|P49585|Q99447|Q9UBM1|Q9UG56|Q9Y6K0,DrugBank
SMP0014228,Phosphatidylcholine Biosynthesis PC(14:0/20:0),metabolic,P35790|P49585|Q99447|Q9UBM1|Q9UG56|Q9Y6K0,DrugBank
SMP0014229,Phosphatidylcholine Biosynthesis PC(14:0/20:1(11Z)),metabolic,P35790|P49585|Q99447|Q9UBM1|Q9UG56|Q9Y6K0,DrugBank
SMP0014230,"Phosphatidylcholine Biosynthesis PC(14:0/20:2(11Z,14Z))",metabolic,P35790|P49585|Q99447|Q9UBM1|Q9UG56|Q9Y6K0,DrugBank
SMP0014231,"Phosphatidylcholine Biosynthesis PC(14:0/20:3(5Z,8Z,11Z))",metabolic,P35790|P49585|Q99447|Q9UBM1|Q9UG56|Q9Y6K0,DrugBank
SMP0014232,"Phosphatidylcholine Biosynthesis PC(14:0/20:3(8Z,11Z,14Z))",metabolic,P35790|P49585|Q99447|Q9UBM1|Q9UG56|Q9Y6K0,DrugBank
SMP0014233,"Phosphatidylcholine Biosynthesis PC(14:0/20:4(5Z,8Z,11Z,14Z))",metabolic,P35790|P49585|Q99447|Q9UBM1|Q9UG56|Q9Y6K0,DrugBank
SMP0014234,"Phosphatidylcholine Biosynthesis PC(14:0/20:4(8Z,11Z,14Z,17Z))",metabolic,P35790|P49585|Q99447|Q9UBM1|Q9UG56|Q9Y6K0,DrugBank
SMP0014235,"Phosphatidylcholine Biosynthesis PC(14:0/20:5(5Z,8Z,11Z,14Z,17Z))",metabolic,P35790|P49585|Q99447|Q9UBM1|Q9UG56|Q9Y6K0,DrugBank
SMP0014236,Phosphatidylcholine Biosynthesis PC(14:0/22:0),metabolic,P35790|P49585|Q99447|Q9UBM1|Q9UG56|Q9Y6K0,DrugBank
SMP0014237,Phosphatidylcholine Biosynthesis PC(14:0/22:1(13Z)),metabolic,P35790|P49585|Q99447|Q9UBM1|Q9UG56|Q9Y6K0,DrugBank
SMP0014238,"Phosphatidylcholine Biosynthesis PC(14:0/22:2(13Z,16Z))",metabolic,P35790|P49585|Q99447|Q9UBM1|Q9UG56|Q9Y6K0,DrugBank
